#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 7357.03 38.785 48.9137 32.409
 4000 12156.9 65.8267 82.7623 53.9921
 6000 16778.8 92.0906 115.526 74.5596
 8000 21383.6 118.159 148.037 94.7531
 10000 26003.5 144.205 180.589 114.943
 12000 30620.4 170.121 213 135.188
 14000 35204.7 195.8 245.144 155.208
 16000 39800.2 221.468 277.278 175.213
 18000 44383.6 247.01 309.167 195.153
 20000 48981.4 272.551 341.152 215.183
 20000 48854.4 271.703 339.255 214.659
 40000 94868.5 525.955 659.054 416.081
 60000 140688 778.395 977.81 614.38
 80000 186582 1031.29 1296.08 812.339
 100000 232325 1283.78 1614.89 1009
 120000 278169 1536.23 1935.3 1205.21
 140000 323995 1789.91 2255.75 1401.47
 160000 369839 2044.09 2576.12 1600.77
 180000 415795 2298.89 2895.7 1799.56
 200000 461647 2552.17 3216.43 1997.3
 200000 461858 2532.27 3221.25 1996.66
 400000 919986 5054.4 6453.59 3950.97
 600000 1.3762e+06 7554.32 9698.31 5845.2
 800000 1.8349e+06 10065.5 12957.3 7829.57
 1e+06 2.29345e+06 12619.5 16206 9812.17
 1.2e+06 2.75146e+06 15194.1 19422.7 11769.2
 1.4e+06 3.20946e+06 17770.5 22617.5 13700.7
 1.6e+06 3.66601e+06 20331.3 25789.6 15652.8
 1.8e+06 4.12192e+06 22881.4 28928 17459.7
 2e+06 4.57987e+06 25423.8 31997.7 19301.3
 2e+06 4.58563e+06 24856.2 33094.4 20105.4
 4e+06 9.14884e+06 50545.6 64514.7 37739.7
 6e+06 1.36991e+07 75545.7 94843.5 53011.9
 8e+06 1.82477e+07 100651 125400 68958
 1e+07 2.28019e+07 126550 155694 87885.5
 1.2e+07 2.73417e+07 151239 186063 108244
 1.4e+07 3.1864e+07 175000 215783 125848
 1.6e+07 3.63786e+07 198327 247170 142584
 1.8e+07 4.09499e+07 224463 278637 157036
 2e+07 4.55266e+07 252435 308183 169723
 2e+07 4.57512e+07 237216 291419 162808
 4e+07 9.22369e+07 472805 632689 318119
 6e+07 1.39734e+08 768748 966750 613380
