#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 3863.35 -252.233 -323.245 -220.381 47.6735 7.11719 13.2879 51.3545 -4.07904 83.9622
 4000 5751.82 -350.843 -498.852 -345.489 68.8597 10.8819 11.1278 80.1267 -7.32057 146.613
 6000 7446.87 -439.79 -666.93 -466.407 88.3935 14.4482 8.32599 107.617 -10.3899 207.923
 8000 9107.27 -529.198 -835.083 -585.642 108.017 18.05 5.41575 134.897 -13.4569 268.72
 10000 10782.6 -621.895 -1006.07 -705.192 128.033 21.8157 2.84244 162.51 -16.4531 329.392
 12000 12380.6 -710.419 -1171.35 -821.786 147.424 25.4444 0.338752 189.549 -19.6974 389.225
 14000 14006.1 -800.536 -1340.94 -936.085 167.223 29.1178 -2.3123 217.2 -22.9363 448.584
 16000 15628.9 -891.771 -1508.46 -1048.04 186.841 33.0763 -5.39429 244.292 -26.2213 507.282
 18000 17196 -982.084 -1670.15 -1159.6 206.306 36.9789 -8.12869 270.646 -29.7251 566.161
 20000 18762.7 -1070.58 -1831.96 -1271.1 225.473 40.7535 -10.9249 296.946 -33.2467 625.006
 20000 18838.5 -1071.98 -1850.47 -1276.04 225.427 41.7391 -11.0146 300.674 -34.009 629.294
 40000 34726.8 -1974.44 -3495.84 -2394.87 417.418 78.7503 -32.5255 570.796 -69.9503 1206.79
 60000 50830.6 -2889.22 -5177.84 -3494.89 610 121.322 -60.6652 843.665 -105.633 1784.69
 80000 66701.7 -3808.89 -6801.22 -4604.47 801.005 159.463 -79.1922 1112.15 -151.086 2374.94
 100000 82480.7 -4729.46 -8421.67 -5712.39 996.84 197.927 -100.292 1379.36 -193.623 2964.12
 120000 98705.5 -5722.57 -10051.7 -6850.07 1200.15 240.214 -115.672 1643.68 -232.425 3549.31
 140000 114907 -6687.39 -11682.9 -8037.49 1399.8 279.595 -130.154 1910.36 -268.428 4144.94
 160000 131191 -7634.65 -13331.7 -9227.79 1596.67 316.693 -140.499 2180.27 -306.272 4743.69
 180000 147772 -8582.3 -15004.2 -10473.8 1790.56 355.213 -152.181 2452.13 -338.84 5346.78
 200000 164027 -9471.75 -16660.3 -11724.1 1980.79 387.247 -161.429 2725.46 -374.04 5957.3
 200000 160539 -9027.33 -16478.3 -11289.9 1907.64 362.986 -181.576 2740.77 -457.356 5992.33
 400000 324604 -18010.8 -33139.2 -24312.1 3774.72 711.04 -268.309 5483.69 -786.425 12270.8
 600000 500974 -26832.9 -52025.4 -36995.1 5529.65 1129.77 -424.933 8553.51 -1134.07 18553.4
 800000 681031 -34997.7 -71995.7 -49809.2 7151.81 1500.82 -518.076 11861.8 -1507.39 24834.1
 1e+06 867301 -44420.6 -92232.5 -62326.8 8878.31 2022.33 -625.235 15100.9 -1868.99 30975.1
 1.2e+06 1.06481e+06 -54801.4 -112812 -77011.4 10689.6 2554.22 -499.956 18357.5 -2165.34 37482.6
 1.4e+06 1.25866e+06 -65328.4 -132568 -92081.4 12517.9 3076.12 -303.303 21447.9 -2365.79 43797.7
 1.6e+06 1.44743e+06 -75924.2 -151707 -106536 14430 3609.78 -250.067 24424.1 -2544.17 50028.7
 1.8e+06 1.63739e+06 -86863.2 -170697 -121170 16414.7 4186.89 -278.588 27242.5 -2483.69 55875.1
 2e+06 1.83056e+06 -97672.4 -190203 -135942 18422.9 4740.14 -363.775 30164.4 -2442.08 61940.9
 2e+06 1.90021e+06 -109636 -197528 -128385 19501 6438.95 -1409.59 29674.9 -831.406 56765.1
 4e+06 3.87822e+06 -222983 -402611 -264250 38205.6 13058.7 -469.333 60901.3 -2673.16 115257
 6e+06 5.37671e+06 -324763 -546119 -373687 59172.4 14918.8 3983.06 84219.9 -2838.56 153325
 8e+06 7.21967e+06 -416879 -754497 -480168 79607.2 16184.4 6495.04 117300 574.903 184814
 1e+07 9.32736e+06 -525166 -988688 -606942 101365 20117 7109.1 151825 6800.75 220852
 1.2e+07 1.1235e+07 -624789 -1.23855e+06 -628307 121943 25671.9 2162.9 190962 5680.1 240575
 1.4e+07 1.35851e+07 -766981 -1.52638e+06 -672508 143211 35428.2 3501.8 233473 5511.63 257083
 1.6e+07 1.61674e+07 -930202 -1.81921e+06 -767503 163327 46873 11389.6 274926 7425.01 278792
 1.8e+07 1.87916e+07 -1.11922e+06 -2.10516e+06 -853544 183595 61735.5 21097.2 316994 -746.558 318785
 2e+07 2.18255e+07 -1.31669e+06 -2.43581e+06 -985913 208507 75195.7 30283.7 365864 -4673.9 367967
 2e+07 2.09014e+07 -903667 -2.56147e+06 -941298 133005 57116.7 22589.7 401765 -12777.9 380951
 4e+07 6.48482e+07 -4.01999e+06 -7.60695e+06 -1.85532e+06 467912 269301 261162 1.15644e+06 -103328 598775
 6e+07 1.28385e+08 -8.85395e+06 -1.408e+07 -4.62789e+06 941366 697629 464167 1.94818e+06 -42954.2 1.272e+06
 8e+07 1.86168e+08 -1.32037e+07 -2.04107e+07 -6.16799e+06 1.46677e+06 1.02226e+06 636524 2.72708e+06 157902 1.14741e+06
 1e+08 1.58614e+08 -1.16334e+07 -1.77291e+07 -3.93118e+06 1.52003e+06 680021 747614 2.83643e+06 -658306 2.03252e+06
