#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 8284.34 46.5673 49.9564 38.1211
 4000 13120.4 73.8727 83.8332 59.8092
 6000 17752 100.054 116.685 80.2827
 8000 22332.5 125.936 149.113 100.523
 10000 26938.5 151.902 181.497 120.759
 12000 31514.6 177.561 213.6 140.785
 14000 36146.1 203.585 245.983 160.995
 16000 40740.5 229.328 278.042 180.879
 18000 45324.5 254.987 309.996 200.84
 20000 49882.2 280.429 341.794 220.63
 20000 50053.8 281.21 342.627 222.156
 40000 95957.7 536.466 662.755 418.705
 60000 141839 790.337 982.2 617.34
 80000 187653 1043.1 1299.28 815.399
 100000 233498 1295.52 1616.58 1014.03
 120000 279465 1547.93 1932.97 1211.84
 140000 325313 1800.51 2250.61 1411.35
 160000 371261 2053.25 2569.12 1609.4
 180000 417097 2305.41 2887.79 1806.73
 200000 463014 2558.43 3207.88 2004.78
 200000 463172 2554.93 3204.55 1997.83
 400000 922127 5095.83 6384.41 3921.49
 600000 1.3814e+06 7631.29 9577.62 5869.64
 800000 1.84063e+06 10160.5 12777 7831.99
 1e+06 2.29921e+06 12651.3 15992 9764.45
 1.2e+06 2.75705e+06 15154.9 19221 11780.8
 1.4e+06 3.21517e+06 17635 22467.9 13780.8
 1.6e+06 3.67218e+06 20075.7 25710.6 15811.1
 1.8e+06 4.12947e+06 22523.1 28978.3 17850.1
 2e+06 4.58727e+06 25037.8 32212.4 19890.4
 2e+06 4.58935e+06 25013.2 33159 20183.8
 4e+06 9.17164e+06 49529 64780.8 40562
 6e+06 1.37775e+07 75725.5 94429.4 58198.9
 8e+06 1.84088e+07 101192 122877 75743.6
 1e+07 2.30607e+07 127039 150003 94387.4
 1.2e+07 2.76703e+07 153714 176650 112031
 1.4e+07 3.22749e+07 181165 204173 130763
 1.6e+07 3.68549e+07 209446 231957 150355
 1.8e+07 4.14325e+07 236514 260140 171005
 2e+07 4.59804e+07 264622 287831 192165
 2e+07 4.56345e+07 265369 290015 175415
 4e+07 9.02767e+07 572834 544808 356332
 6e+07 1.3646e+08 949514 796036 554747
 8e+07 1.83429e+08 1.27252e+06 991275 732682
 1e+08 2.30708e+08 1.47589e+06 1.22235e+06 809152
