#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.26935e+09 6.26718e+09 6.26006e+09 6.26966e+09 6.25849e+09 6.27177e+09 6.26664e+09 6.26619e+09 1.12445e+10
 40 1.95813e+10 1.95747e+10 1.95471e+10 1.95778e+10 1.95382e+10 1.95914e+10 1.95691e+10 1.95686e+10 4.12083e+10
 60 3.46443e+10 3.46287e+10 3.45732e+10 3.46247e+10 3.45449e+10 3.46645e+10 3.46114e+10 3.4613e+10 8.49855e+10
 80 4.9723e+10 4.97017e+10 4.96231e+10 4.96741e+10 4.95523e+10 4.97607e+10 4.96624e+10 4.96705e+10 1.3903e+11
 100 6.47336e+10 6.47283e+10 6.46289e+10 6.46447e+10 6.4482e+10 6.47999e+10 6.46422e+10 6.46641e+10 2.00456e+11
 120 8.01423e+10 8.01821e+10 8.00553e+10 8.00053e+10 7.97965e+10 8.02526e+10 8.00181e+10 8.00615e+10 2.66917e+11
 140 9.64378e+10 9.65459e+10 9.63807e+10 9.6249e+10 9.59861e+10 9.66022e+10 9.62791e+10 9.63494e+10 3.36837e+11
 160 1.13794e+11 1.13988e+11 1.13772e+11 1.13556e+11 1.13229e+11 1.14014e+11 1.136e+11 1.137e+11 4.09164e+11
 180 1.32004e+11 1.32293e+11 1.32022e+11 1.3172e+11 1.31314e+11 1.32277e+11 1.3177e+11 1.31905e+11 4.82804e+11
 200 1.50762e+11 1.51146e+11 1.5083e+11 1.50427e+11 1.49931e+11 1.5108e+11 1.50479e+11 1.50653e+11 5.56642e+11
 200 1.50391e+11 1.51124e+11 1.5088e+11 1.50393e+11 1.49962e+11 1.51015e+11 1.50456e+11 1.50593e+11 5.5647e+11
 400 3.57674e+11 3.59375e+11 3.58805e+11 3.56675e+11 3.55299e+11 3.587e+11 3.56891e+11 3.57582e+11 1.21459e+12
 600 5.84484e+11 5.8717e+11 5.86223e+11 5.81784e+11 5.79541e+11 5.8567e+11 5.82332e+11 5.83782e+11 1.60172e+12
 800 8.2008e+11 8.23324e+11 8.22446e+11 8.15401e+11 8.12133e+11 8.21491e+11 8.16342e+11 8.18585e+11 1.64185e+12
 1000 1.05981e+12 1.06371e+12 1.06256e+12 1.05345e+12 1.04862e+12 1.06145e+12 1.05451e+12 1.05752e+12 1.43532e+12
 1200 1.30155e+12 1.30641e+12 1.30521e+12 1.29431e+12 1.28781e+12 1.30258e+12 1.2949e+12 1.2987e+12 1.1878e+12
 1400 1.54452e+12 1.54985e+12 1.54911e+12 1.53631e+12 1.52848e+12 1.54466e+12 1.53648e+12 1.54102e+12 1.04121e+12
 1600 1.78874e+12 1.79405e+12 1.79387e+12 1.7789e+12 1.77064e+12 1.78734e+12 1.77896e+12 1.78426e+12 1.02609e+12
 1800 2.03375e+12 2.03888e+12 2.0396e+12 2.02213e+12 2.01299e+12 2.03128e+12 2.02213e+12 2.02824e+12 1.10156e+12
 2000 2.27914e+12 2.2841e+12 2.28629e+12 2.26587e+12 2.2553e+12 2.27594e+12 2.2657e+12 2.27269e+12 1.19744e+12
 2000 2.27969e+12 2.28105e+12 2.28414e+12 2.26311e+12 2.26956e+12 2.27619e+12 2.26962e+12 2.27442e+12 1.19611e+12
 4000 4.74019e+12 4.75469e+12 4.75276e+12 4.7209e+12 4.69921e+12 4.74498e+12 4.7217e+12 4.73271e+12 1.27266e+12
 6000 7.21315e+12 7.27776e+12 7.23898e+12 7.21746e+12 7.10112e+12 7.23397e+12 7.18419e+12 7.20783e+12 1.33117e+12
 8000 9.69814e+12 9.80105e+12 9.72316e+12 9.75181e+12 9.53923e+12 9.74671e+12 9.67925e+12 9.70386e+12 1.38448e+12
