#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 8097.39 29.5262 46.473 21.8151
 4000 13647.9 49.7155 75.9571 37.2565
 6000 18919 68.7755 103.617 52.0264
 8000 24162.3 87.6949 131.318 66.6808
 10000 29380.2 106.423 158.77 81.2287
 12000 34622.5 125.207 186.224 95.7788
 14000 39848 143.844 213.529 110.26
 16000 45060.7 162.412 240.736 124.62
 18000 50328.8 181.145 268.172 139.149
 20000 55551.6 199.669 295.203 153.566
 20000 55511.6 199.317 293.938 153.189
 40000 107796 384.328 564.07 295.734
 60000 160030 569.771 833.856 439.739
 80000 212308 754.354 1099.38 583.584
 100000 264488 938.459 1366.46 727.015
 120000 316760 1122.63 1632.15 869.368
 140000 369003 1303.96 1900.04 1012.04
 160000 421316 1485.15 2170.88 1154.91
 180000 473435 1665.78 2439.94 1298.57
 200000 525637 1847.74 2711.72 1441.69
 200000 525659 1856.62 2670.36 1435.03
 400000 1.04875e+06 3688.25 5432.06 2870.47
 600000 1.57048e+06 5488.29 8119.2 4307.04
 800000 2.09181e+06 7347.41 10863.7 5742.98
 1e+06 2.61476e+06 9166.92 13636.9 7170.06
 1.2e+06 3.13904e+06 11003.4 16459.4 8591.99
 1.4e+06 3.66371e+06 12901.6 19235 10014
 1.6e+06 4.18682e+06 14822.6 22016.7 11412.7
 1.8e+06 4.71153e+06 16722.6 24824.6 12774.2
 2e+06 5.23654e+06 18627.3 27720.3 14121
 2e+06 5.23134e+06 18548.5 27024.7 13609.7
 4e+06 1.04835e+07 37847.4 56654.4 27163.4
 6e+06 1.57873e+07 57793.4 82603.2 40285.4
 8e+06 2.10949e+07 78478.5 105808 52308.9
 1e+07 2.63313e+07 99752.2 127372 63809.9
 1.2e+07 3.15477e+07 122213 148433 77088.8
 1.4e+07 3.68453e+07 144856 171892 89988
 1.6e+07 4.21112e+07 167918 198596 102578
 1.8e+07 4.7419e+07 190242 219459 115461
 2e+07 5.27196e+07 215320 238584 130080
 2e+07 5.19008e+07 204646 230549 122877
 4e+07 1.04706e+08 452709 434490 282133
 6e+07 1.56212e+08 705679 750543 434172
