#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2741.87 -175.352 -299.846 -85.3222 23.9615 5.15046 3.60228 102.625 1.61065 14.3371
 4000 4280.91 -283.704 -489.261 -144.271 41.7592 3.39924 5.70617 186.623 0.257126 27.0601
 6000 5606.78 -384.572 -667.287 -199.804 58.6966 0.919625 7.65979 268.823 -1.56272 39.6338
 8000 6893.13 -487.475 -845.391 -254.493 75.9124 -1.68072 9.62609 351.556 -3.49825 52.2016
 10000 8158.51 -589.041 -1023.12 -309.443 92.8523 -4.25912 11.6264 434.276 -5.57458 64.7507
 12000 9412.48 -690.115 -1202.11 -364.336 109.772 -7.00098 13.6561 517.18 -7.43182 77.3825
 14000 10672.3 -791.721 -1384.99 -419.338 126.717 -9.69007 15.7472 600.854 -9.26706 89.9126
 16000 11941.6 -892.834 -1569 -475.481 143.577 -12.4974 17.9115 684.469 -10.7605 102.334
 18000 13236.4 -996.75 -1754.13 -532.592 160.732 -15.1234 20.1112 767.866 -12.1695 114.831
 20000 14484.2 -1097.59 -1933.43 -588.459 177.692 -18.1641 22.2031 850.603 -13.7488 127.21
 20000 14415.6 -1097.1 -1911.56 -589.524 177.756 -19.9847 23.328 848.099 -14.7852 127.312
 40000 26878.3 -2118.02 -3669.76 -1138.79 350.315 -52.093 44.1411 1668.1 -31.1134 248.543
 60000 39487.2 -3185.46 -5395.67 -1691 529.396 -83.9663 66.8335 2484.74 -48.559 369.5
 80000 52012.8 -4232.37 -7126.01 -2259.13 701.916 -109.148 90.6656 3283.44 -64.572 492.085
 100000 64612.8 -5298.42 -8838.51 -2821.94 876.492 -131.267 115.183 4071.51 -85.1003 613.362
 120000 77612.9 -6395.49 -10598.5 -3408.38 1052.28 -146.666 141.066 4844.57 -94.1055 732.438
 140000 90430.4 -7480.15 -12342.9 -3970.78 1225.43 -161.509 167.165 5621.09 -110.499 849.098
 160000 103150 -8555.48 -14090.9 -4510.67 1398.77 -180.35 192.34 6410.81 -128.979 962.483
 180000 115269 -9580.36 -15753 -5039.4 1568.19 -206.432 215.998 7197.43 -154.664 1078.47
 200000 127218 -10608.4 -17358.5 -5546.1 1743.62 -248.37 239.679 8001.11 -184.298 1193.78
 200000 126159 -10574.8 -17362.7 -5447.84 1762.62 -250.03 212.179 8106.11 -217.156 1233
 400000 250014 -21271.9 -33959.4 -10847 3505.88 -535.98 504.034 16099.9 -542.06 2431.7
 600000 376870 -32036.2 -51603.8 -16237.8 5207.64 -723.656 825.549 24144.6 -778.443 3504.15
 800000 511366 -43278.8 -69623.1 -22369.6 6988.38 -1001.35 1188.33 31968.9 -679.345 4475.57
 1e+06 642248 -54936 -84474.9 -29034 8891 -1548.31 1633.7 39311.2 -621.895 5481.82
 1.2e+06 771215 -65999.3 -99314.9 -36192.8 10703.5 -2162.27 2118.5 46537.1 -411.812 6477.93
 1.4e+06 910249 -78015.3 -115770 -43561.5 12552.1 -2415.24 2571.21 53486.1 -146.86 7546.14
 1.6e+06 1.0465e+06 -89495.8 -132595 -50809.1 14363.3 -2797.68 3020.79 61117.5 5.48731 8652.74
 1.8e+06 1.17493e+06 -100036 -150877 -56534.3 16180.5 -3318.39 3321.02 69691.2 125.233 9595.18
 2e+06 1.30513e+06 -111377 -169090 -61556.2 18041.3 -3571.86 3576.55 77425.7 375.862 10361.9
 2e+06 1.39453e+06 -114437 -209385 -54990.9 17492 373.817 2927.2 84837.2 -71.6863 9831.69
 4e+06 2.61455e+06 -232303 -384434 -80854.3 35862.7 286.836 5479.57 161439 -2993.22 14542.1
 6e+06 3.85628e+06 -347613 -528803 -133931 50907.6 5046.73 9125.3 204305 -68.5617 21007.6
 8e+06 4.97199e+06 -462517 -643212 -174450 65843.1 11241.5 12021.2 234652 979.245 26414.8
 1e+07 6.36755e+06 -594940 -797706 -236126 81908.6 15277.8 19218.8 289004 223.815 32097.9
 1.2e+07 7.7151e+06 -736224 -876573 -320872 100728 17918.3 25490.2 310816 2923.73 42905.2
 1.4e+07 8.78224e+06 -851479 -876719 -421504 112837 21691.1 34558.2 298903 4412.14 54342.7
 1.6e+07 1.03284e+07 -995230 -973571 -541989 124358 32928.9 47138.5 309583 5695.36 65579.1
 1.8e+07 1.17961e+07 -1.1345e+06 -1.07042e+06 -651158 137437 41011.5 58428.3 328174 6773.44 76175.1
 2e+07 1.30764e+07 -1.24373e+06 -1.13522e+06 -776378 146500 45280.5 70413 336448 11739.3 87200.6
 2e+07 1.6093e+07 -1.7358e+06 -999990 -883898 211778 58401.7 88944.6 209563 37615.6 69297.3
 4e+07 4.14281e+07 -4.57514e+06 -3.29141e+06 -1.65732e+06 535259 314523 167656 374958 135407 87810.8
 6e+07 4.25779e+07 -4.57821e+06 -4.88332e+06 -926212 503766 511087 89758.2 583088 114485 30877.9
