#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 5.89648e+09 5.89626e+09 5.89761e+09 5.8906e+09 5.89225e+09 5.88494e+09 5.88926e+09 5.89227e+09 1.03576e+10
 40 1.82605e+10 1.82596e+10 1.82626e+10 1.82407e+10 1.82521e+10 1.8223e+10 1.82386e+10 1.82475e+10 3.78755e+10
 60 3.20065e+10 3.20077e+10 3.20114e+10 3.19641e+10 3.19996e+10 3.19468e+10 3.19701e+10 3.19855e+10 7.80473e+10
 80 4.55259e+10 4.55295e+10 4.55378e+10 4.54502e+10 4.55228e+10 4.54495e+10 4.54741e+10 4.54969e+10 1.27762e+11
 100 5.8809e+10 5.8812e+10 5.8832e+10 5.86849e+10 5.88091e+10 5.8712e+10 5.87353e+10 5.87683e+10 1.8443e+11
 120 7.23329e+10 7.23377e+10 7.237e+10 7.21375e+10 7.23359e+10 7.22057e+10 7.22264e+10 7.22746e+10 2.458e+11
 140 8.6619e+10 8.66368e+10 8.6671e+10 8.63377e+10 8.66318e+10 8.64561e+10 8.64752e+10 8.6542e+10 3.10395e+11
 160 1.01902e+11 1.01947e+11 1.01964e+11 1.01534e+11 1.01938e+11 1.01706e+11 1.01726e+11 1.01811e+11 3.77346e+11
 180 1.1799e+11 1.18075e+11 1.18046e+11 1.17535e+11 1.18061e+11 1.17763e+11 1.17786e+11 1.17886e+11 4.45722e+11
 200 1.34547e+11 1.34676e+11 1.34584e+11 1.34001e+11 1.34658e+11 1.34286e+11 1.34315e+11 1.3443e+11 5.14541e+11
 200 1.3435e+11 1.34514e+11 1.34493e+11 1.33994e+11 1.34734e+11 1.34338e+11 1.34355e+11 1.34394e+11 5.14568e+11
 400 3.15654e+11 3.16535e+11 3.16216e+11 3.14382e+11 3.16433e+11 3.15208e+11 3.15341e+11 3.15659e+11 1.15992e+12
