#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 10504.9 36.1194 57.752 28.1633
 4000 16285.6 56.918 88.2421 44.1787
 6000 21559.9 75.9843 115.87 58.8692
 8000 26820.5 94.9409 143.284 73.4664
 10000 32047.6 113.776 170.462 87.96
 12000 37254.3 132.462 197.41 102.357
 14000 42515 151.274 224.659 116.837
 16000 47710.8 169.898 251.513 131.133
 18000 52953.7 188.637 278.537 145.536
 20000 58168.7 207.24 305.366 159.945
 20000 58047.3 207.146 304.218 159.864
 40000 110373 393.405 572.916 303.726
 60000 162645 579.58 839.445 447.219
 80000 214953 765.906 1106.24 591.539
 100000 267392 953.377 1375.97 735.801
 120000 319490 1139.85 1644.12 879.34
 140000 371687 1326.85 1915.04 1024.64
 160000 424150 1514.61 2186.22 1170.53
 180000 476362 1700.78 2455.01 1316.06
 200000 528809 1888.12 2726.39 1461.53
 200000 527988 1879.86 2745.48 1458
 400000 1.052e+06 3760.22 5469.8 2901.34
 600000 1.57449e+06 5629.74 8184.82 4333.22
 800000 2.0986e+06 7546.77 10894 5800.54
 1e+06 2.62405e+06 9455.09 13647.3 7251.38
 1.2e+06 3.1486e+06 11350.3 16417.7 8698.87
 1.4e+06 3.67231e+06 13248.5 19228.7 10149.1
 1.6e+06 4.19781e+06 15126 22060.7 11586.1
 1.8e+06 4.72263e+06 16981.6 24793.8 13023.9
 2e+06 5.24797e+06 18820.9 27582.2 14461
 2e+06 5.24175e+06 19364.5 27197.4 14416.7
 4e+06 1.05158e+07 38033 54072.4 29005
 6e+06 1.5783e+07 57348.2 80007.5 43808.2
 8e+06 2.10967e+07 77915.5 108135 58712.9
 1e+07 2.63707e+07 99173.6 134091 73463.2
 1.2e+07 3.15833e+07 121260 158010 88693.1
 1.4e+07 3.6788e+07 142528 183086 103472
 1.6e+07 4.19917e+07 163570 209506 118619
 1.8e+07 4.71536e+07 184140 233414 133425
 2e+07 5.23302e+07 205318 255670 148929
 2e+07 5.27433e+07 201326 274010 145104
 4e+07 1.05219e+08 382985 549799 305014
 6e+07 1.58114e+08 533744 860565 498802
 8e+07 2.10313e+08 731961 1.21702e+06 654492
 1e+08 2.63073e+08 886796 1.5623e+06 822363
 1.2e+08 3.24665e+08 1.0308e+06 1.63376e+06 997639
