#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 4057.12 -290.355 -464.984 -139.562 37.5742 16.2546 5.73239 128.128 10.4282 18.1323
 4000 5733.79 -410.471 -675.803 -201.989 56.6829 16.0498 7.95697 215.063 9.88517 31.0957
 6000 7100.09 -514.628 -858.353 -257.123 73.8635 14.1839 9.83809 296.613 8.36509 43.5112
 8000 8408.11 -618.675 -1038.09 -312.398 91.002 12.1055 11.8067 377.861 6.74931 55.8804
 10000 9676.58 -722.19 -1214.26 -366.464 108.034 9.98116 13.7643 457.838 4.98154 68.2844
 12000 10936.6 -827.268 -1388.88 -420.484 125.363 7.75487 15.8487 537.596 3.06121 80.632
 14000 12252.2 -937.478 -1568.4 -476.297 143.173 5.92939 18.0904 617.719 1.38274 92.9351
 16000 13524.9 -1044.18 -1747.29 -529.454 160.633 4.23311 20.1376 697.202 -0.48793 105.042
 18000 14800.6 -1151.84 -1923.1 -583.951 178.162 2.5177 22.3173 775.893 -2.27044 117.185
 20000 16064.2 -1259.58 -2097.03 -638.289 195.742 0.792191 24.4916 853.807 -4.06163 129.319
 20000 16064.5 -1262.21 -2083.42 -647.546 194.493 2.12197 25.138 848.664 -2.95863 129.628
 40000 28898.9 -2350.58 -3838.62 -1201.69 371.481 -14.4341 48.4275 1632.85 -21.9048 250.851
 60000 41610.6 -3442.56 -5570.28 -1721.98 548.777 -32.1362 69.6899 2418.54 -44.7406 368.651
 80000 54414.9 -4528.92 -7327.56 -2255.61 725.229 -48.0985 90.7515 3210.99 -68.5627 490.027
 100000 67290.5 -5630.75 -9095.35 -2799.29 903.429 -63.2685 114.084 4005.33 -89.0599 609.046
 120000 80382.8 -6752.24 -10867.2 -3357.82 1084.46 -79.8671 138.362 4798.22 -106.813 728.811
 140000 93376.3 -7866.49 -12640.9 -3901.14 1266.33 -99.706 161.957 5607.16 -129.806 848.832
 160000 106786 -9015.98 -14478.3 -4452.33 1449.8 -112.986 186.87 6429.97 -154.255 969.748
 180000 119611 -10102.3 -16221.9 -5012.15 1628.58 -141.583 213.183 7252.44 -179.23 1090.21
 200000 132580 -11196.2 -18011.4 -5569.46 1810.4 -171.548 238.893 8093.44 -204.37 1211.69
 200000 133521 -11064.8 -18388.2 -5767.18 1795.12 -203.865 251.943 8272.69 -193.908 1241.72
 400000 259712 -21566.8 -36275.9 -11123.9 3515.4 -501.94 532.639 16869.1 -549.518 2440.16
 600000 383737 -31494.8 -54787.2 -16522.2 5109.46 -722.038 822.208 25402 -821.035 3586.6
 800000 518181 -42280.1 -74213 -22551.5 6807.95 -924.839 1150.56 34020.2 -946.072 4723.88
 1e+06 648728 -52788.7 -93088.5 -28364.5 8527.6 -1207.99 1415.24 42720.8 -1126.18 5953.26
 1.2e+06 768405 -62224 -110643 -33753.2 10092.4 -1503.15 1643.14 51111.8 -1450.26 7209.95
 1.4e+06 878026 -71081.8 -126686 -38499.4 11714.4 -2109.36 1840.08 59629.8 -1764.98 8352.88
 1.6e+06 987462 -79416.4 -143238 -43670.4 13265.3 -2762.3 2046.77 68224.3 -1921.81 9480.72
 1.8e+06 1.08675e+06 -87404.3 -157592 -48167.1 14835.7 -3566.89 2226.47 76392.6 -2125.78 10505.9
 2e+06 1.18311e+06 -95781.5 -170330 -52352.2 16522.6 -4491.72 2406.24 84181.9 -2338.99 11470.4
 2e+06 1.18997e+06 -101206 -161105 -51626.3 17585.4 -4976.79 2518.99 83558.6 -3491.96 11716.5
 4e+06 2.15916e+06 -177409 -301444 -97896.5 34281.3 -16778.3 4232.79 169521 -3438.85 21106.3
 6e+06 2.9054e+06 -235036 -436236 -118467 49792.1 -26822.5 1780.75 241912 1136.34 27417.5
 8e+06 3.79649e+06 -299259 -574920 -162838 67313.3 -39858.6 -256.715 313396 11950 35140.8
 1e+07 4.90522e+06 -380368 -762501 -207292 84844.4 -44135.4 -3405.57 380105 24897.1 43341.9
 1.2e+07 6.25873e+06 -494131 -973077 -251641 105925 -45256.5 -5432.21 448373 38191 49564.8
 1.4e+07 7.28608e+06 -581791 -1.13474e+06 -281370 125078 -50801.5 -8563.61 514541 46648.3 56798.1
 1.6e+07 8.42743e+06 -682292 -1.28246e+06 -329304 145957 -58168.4 -9769.74 579830 54533.3 66099.1
 1.8e+07 9.41997e+06 -782686 -1.42469e+06 -343317 167143 -64121.4 -12412.3 649576 56531.2 72533
 2e+07 1.04463e+07 -890475 -1.55817e+06 -359981 189308 -68798.6 -15488.4 711764 58888.2 80189.9
 2e+07 8.54595e+06 -609056 -1.7693e+06 -162982 157118 -80162.3 -31772.4 873337 27462.8 74023.1
 4e+07 2.43092e+07 -1.79799e+06 -4.84562e+06 -486585 345659 48249.6 -93890.7 1.5925e+06 175431 159752
 6e+07 4.26866e+07 -3.20568e+06 -7.87595e+06 -1.19189e+06 540734 167062 -102130 2.24594e+06 368904 233260
 8e+07 4.43033e+07 -2.16797e+06 -9.76533e+06 -2.00993e+06 256951 249560 11888.2 2.76e+06 406374 247837
 1e+08 5.06742e+07 -3.29445e+06 -8.65879e+06 -2.63284e+06 300954 385292 150904 1.91255e+06 446777 170181
 1.2e+08 5.35422e+07 -3.49562e+06 -7.30072e+06 -3.91408e+06 310118 232700 285831 1.73022e+06 437857 301222
