#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2341.83 -146.345 -256.431 -80.5856 23.1312 1.58359 2.24319 103.159 -0.0585833 15.8268
 4000 3856.44 -252.594 -446.212 -138.918 40.933 -0.1687 4.17621 187.416 -1.42866 28.6822
 6000 5207.97 -356.402 -625.345 -195.275 58.1615 -2.38197 6.15523 269.125 -3.00728 41.3601
 8000 6523.27 -460.014 -804.773 -251.691 75.3103 -4.74956 8.0257 351.185 -4.60177 54.1454
 10000 7822.58 -563.642 -985.861 -308.371 92.3998 -7.19176 10.0371 433.407 -6.18177 66.9069
 12000 9094.45 -668.121 -1162.43 -364.673 109.593 -9.33637 12.0328 513.946 -7.87406 79.7795
 14000 10346.5 -770.891 -1339.61 -420.52 126.64 -11.6086 14.0907 594.4 -9.6702 92.4841
 16000 11613.4 -875.014 -1516.93 -478.169 143.843 -13.6758 16.2335 674.255 -11.3154 105.273
 18000 12905 -981.053 -1695.5 -536.77 161.207 -15.6136 18.3361 754.371 -12.9549 118.216
 20000 14160.4 -1085.52 -1870.57 -592.543 178.385 -17.4431 20.4119 833.306 -14.9887 130.952
 20000 14152 -1092.17 -1861.91 -588.468 179.298 -18.1376 21.0159 840.541 -20.2664 131.983
 40000 26873.8 -2141.31 -3629.78 -1162.02 354.606 -40.1915 40.8112 1638.47 -35.0838 259.357
 60000 39408.8 -3185.43 -5400.26 -1700.96 526.227 -58.1322 59.6066 2442.17 -58.623 387.373
 80000 51925.8 -4253.27 -7046.86 -2266.78 700.656 -78.8621 81.6505 3209.19 -82.659 515.559
 100000 64281.6 -5303.06 -8676 -2844.12 874.24 -104.423 104.218 3964.98 -97.0893 641.581
 120000 76769 -6371.84 -10249.8 -3458.65 1051.18 -131.145 128.2 4680.83 -102.036 768.284
 140000 89341.8 -7438.94 -11838.3 -4072.52 1227.78 -160.497 152.709 5410.24 -108.647 894.867
 160000 101482 -8450.32 -13454.9 -4656.23 1400.87 -198.093 174.687 6172.41 -115.431 1018.23
 180000 112822 -9392.13 -14959.1 -5223.77 1567.38 -246.5 196.495 6928.8 -127.305 1140.08
 200000 124316 -10345.8 -16460.6 -5798.56 1736.3 -301.922 220.402 7685.25 -131.989 1256.81
 200000 122431 -10421 -16064.5 -5540.46 1771.42 -315.548 207.916 7678.57 -206.992 1256.15
 400000 237298 -20166.9 -30609.6 -11172.6 3505.96 -873.082 432.577 15090.5 -289.407 2429.26
 600000 353774 -29696.8 -45127.3 -17667.2 5180.8 -1349.3 636.08 21829 -42.3883 3660.81
 800000 463290 -39727.7 -55296.7 -24295.2 7024.97 -2121.88 895.158 27616.5 123.491 4889.73
 1e+06 570845 -49686.6 -63734 -31847.7 8892.27 -3061.4 1232.22 33094.9 301.506 6238.01
 1.2e+06 687599 -60249.8 -73848.9 -39781.7 10765.6 -3773.88 1582.28 38594.6 553.516 7609.68
 1.4e+06 811440 -70709.7 -87325.3 -47323.1 12632.1 -4324.91 1786.06 44821.8 923.282 9028.59
 1.6e+06 934712 -81346.1 -100551 -54751 14552.1 -5013.82 2041.02 51389.2 1261.12 10372
 1.8e+06 1.05072e+06 -90249.3 -115029 -62004 16348.2 -5864.68 2137.97 58403.4 1858.32 11728.3
 2e+06 1.17436e+06 -100227 -131013 -68656.4 18289.1 -6527.68 2171.95 65441.8 2534.23 12992.7
 2e+06 1.03601e+06 -85174.1 -133299 -53829.8 16615.9 -5266.3 -8.61858 65074.2 1379.39 13167.7
 4e+06 2.15555e+06 -177896 -263316 -120323 34849.3 -11344.3 -74.4279 122978 7872.58 26500.8
 6e+06 3.21493e+06 -248705 -430657 -179312 46048.5 -10422 387.881 185170 10049 39892.5
 8e+06 4.11052e+06 -333129 -543509 -210842 59088.8 -1907.75 -3001.93 209873 10540 52891.3
 1e+07 5.32243e+06 -439988 -733512 -240667 73604.4 11233.3 -5733.1 253255 11906.3 63849
 1.2e+07 6.52856e+06 -540303 -947840 -262310 85052 25655.7 -6589.64 310924 8703.51 72757.2
 1.4e+07 7.44336e+06 -591406 -1.21621e+06 -251055 88945.8 43234.9 -10558.8 376881 9557.33 75528.2
 1.6e+07 8.26085e+06 -649174 -1.4854e+06 -203202 96119.7 62072.5 -18456.4 451919 2640.34 79532.7
 1.8e+07 8.86385e+06 -686336 -1.75262e+06 -132675 97427.6 90693.1 -28988 508233 -7934.08 84170.4
 2e+07 9.95804e+06 -768377 -2.07562e+06 -85734.7 100594 127828 -36205.1 569644 -20112.1 90960.7
 2e+07 1.45615e+07 -805358 -2.85575e+06 -730665 98975.7 63917.4 17718 897419 71395.9 116736
 4e+07 1.54115e+07 -1.19296e+06 -3.5255e+06 65027.8 143273 219103 -48803.5 1.22338e+06 -197396 183289
 6e+07 2.48466e+07 -3.0735e+06 -1.8292e+06 -633759 493547 89947.2 -10381.9 892633 -222018 322971
