#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 7993.18 28.3362 47.012 19.5747
 4000 13537.6 48.4131 76.5294 34.8266
 6000 18849.5 67.6752 104.459 49.6738
 8000 24083.3 86.5377 131.923 64.3077
 10000 29290.7 105.261 159.022 78.8337
 12000 34542.4 124.034 186.276 93.3937
 14000 39776.7 142.744 213.365 107.858
 16000 45014.9 161.431 240.484 122.316
 18000 50275.2 180.182 267.711 136.87
 20000 55514.3 198.843 294.693 151.355
 20000 55416.4 198.827 294.551 151.088
 40000 107805 385.253 563.355 295.447
 60000 160121 572.34 834.442 439.054
 80000 212452 759.855 1099.16 581.807
 100000 264594 947.043 1363.29 724.618
 120000 316778 1134.5 1625.95 866.081
 140000 369037 1321.68 1890.24 1009.44
 160000 421245 1507.16 2156.27 1150.41
 180000 473281 1690.6 2417.37 1292.11
 200000 525479 1873.89 2682.35 1433.17
 200000 525826 1883.88 2729.18 1431.57
 400000 1.04997e+06 3753.31 5414.26 2849.25
 600000 1.5733e+06 5599.66 7946.84 4289.35
 800000 2.09845e+06 7469.88 10389.2 5682.96
 1e+06 2.62593e+06 9355.8 12929.5 7084.88
 1.2e+06 3.15179e+06 11225.9 15507.3 8467.56
 1.4e+06 3.67865e+06 13136.5 18012.6 9860.17
 1.6e+06 4.20524e+06 15028.5 20518.7 11190.6
 1.8e+06 4.73114e+06 16880.5 23008.6 12562.1
 2e+06 5.25883e+06 18714.1 25543.2 13924.5
 2e+06 5.23459e+06 18784.2 24094.7 13832.4
 4e+06 1.0456e+07 36168.7 49732.6 27496.7
 6e+06 1.56797e+07 52963.2 74653.2 41221.6
 8e+06 2.08514e+07 70527.3 101376 55583.9
 1e+07 2.59838e+07 90357.4 127172 69156
 1.2e+07 3.10929e+07 110271 153266 82690.6
 1.4e+07 3.63032e+07 130806 184111 94238.1
 1.6e+07 4.14444e+07 153170 221101 106164
 1.8e+07 4.65673e+07 173824 256733 118286
 2e+07 5.1696e+07 195457 294533 129978
 2e+07 5.18842e+07 180739 306331 148576
 4e+07 1.02305e+08 373161 691479 254624
 6e+07 1.57024e+08 579247 1.18139e+06 379348
