#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 8200.11 43.9446 57.436 35.1596
 4000 13063.6 71.2714 91.8036 56.6557
 6000 17725.5 97.6064 124.809 77.0118
 8000 22314.6 123.48 157.147 97.0138
 10000 26934.4 149.42 189.653 117.095
 12000 31507.2 175.05 221.622 136.991
 14000 36114.5 200.803 253.823 156.986
 16000 40691.6 226.362 285.693 176.829
 18000 45292.1 252.048 317.707 196.682
 20000 49871.4 277.575 349.416 216.494
 20000 49859.7 277.337 348.155 216.278
 40000 95886.8 532.55 665.771 415.078
 60000 141593 785.124 981.093 611.832
 80000 187512 1037.64 1297.37 810.557
 100000 233428 1290 1614.56 1006.78
 120000 279267 1542.12 1931.72 1199.6
 140000 325107 1793.11 2249.8 1392.7
 160000 370892 2042.72 2568.92 1584.12
 180000 416880 2293.67 2888.43 1778.46
 200000 462575 2542.68 3205.73 1969.12
 200000 462469 2532.95 3204.81 1952.12
 400000 920831 5042.73 6367.14 3905.8
 600000 1.37898e+06 7535.53 9519.47 5875.29
 800000 1.83677e+06 10005.2 12690.3 7837.52
 1e+06 2.29332e+06 12471.2 15851.9 9788.94
 1.2e+06 2.74869e+06 14928.7 19085.8 11716.2
 1.4e+06 3.2043e+06 17417.6 22293.6 13613
 1.6e+06 3.66022e+06 19906.4 25462.8 15524.9
 1.8e+06 4.11658e+06 22386.9 28611.7 17497.6
 2e+06 4.57349e+06 24868.9 31717.6 19497.3
 2e+06 4.57392e+06 25058.7 31917.4 19083.6
 4e+06 9.15976e+06 49777.7 63850.2 41136
 6e+06 1.37282e+07 74607.5 95704.1 64480.4
 8e+06 1.82894e+07 99694.9 127034 90932.1
 1e+07 2.28399e+07 124536 157089 116543
 1.2e+07 2.73938e+07 149660 187816 140199
 1.4e+07 3.19294e+07 175676 220404 162789
 1.6e+07 3.64762e+07 201872 253718 186216
 1.8e+07 4.10391e+07 229036 288080 208903
 2e+07 4.56181e+07 256737 323930 232495
 2e+07 4.57351e+07 248302 312651 194820
 4e+07 9.0884e+07 517518 678907 350749
 6e+07 1.35246e+08 764499 992315 446083
 8e+07 1.8106e+08 980471 1.33178e+06 599783
 1e+08 2.25663e+08 1.13274e+06 1.76827e+06 833620
