# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -7392.1
200000 -7391
300000 -7394.78
400000 -7397.4
500000 -7395.43
600000 -7387.13
700000 -7398.16
800000 -7396.12
900000 -7400.96
1000000 -7389.62
1100000 -7404.24
1200000 -7394.73
1300000 -7400.7
1400000 -7387.97
1500000 -7397.89
1600000 -7396.48
1700000 -7397.75
1800000 -7392.29
1900000 -7403.6
2000000 -7401.44
2100000 -7395.89
2200000 -7399.15
2300000 -7391.51
2400000 -7393.16
2500000 -7399.65
2600000 -7396.96
2700000 -7386.61
2800000 -7393.76
2900000 -7392.9
3000000 -7395.35
3100000 -7400.63
3200000 -7387.46
3300000 -7395.62
3400000 -7401.4
3500000 -7390.66
3600000 -7386.65
3700000 -7392.31
3800000 -7390.14
3900000 -7390.39
4000000 -7393.82
4100000 -7394.28
4200000 -7397.37
4300000 -7398.59
4400000 -7396.92
4500000 -7392.63
4600000 -7403.63
4700000 -7388.44
4800000 -7393.02
4900000 -7398.58
5000000 -7391.77
5100000 -7400.81
5200000 -7392.73
5300000 -7398.29
5400000 -7402.1
5500000 -7396.49
5600000 -7394.65
5700000 -7397.39
5800000 -7396.3
5900000 -7387.55
6000000 -7398.96
6100000 -7388.36
6200000 -7398.13
6300000 -7395.81
6400000 -7398.83
6500000 -7394.02
6600000 -7405.45
6700000 -7394.13
6800000 -7400.29
6900000 -7394.67
7000000 -7395.82
7100000 -7394.22
7200000 -7398.02
7300000 -7401.77
7400000 -7386.05
7500000 -7398.62
7600000 -7399.47
7700000 -7400.51
7800000 -7387.07
7900000 -7392.52
8000000 -7389.83
8100000 -7392.16
8200000 -7397.15
8300000 -7396.75
8400000 -7400.34
8500000 -7396.52
8600000 -7393.52
8700000 -7400.1
8800000 -7397.2
8900000 -7401.68
9000000 -7398.29
9100000 -7395.3
9200000 -7390.44
9300000 -7399.08
9400000 -7392.45
9500000 -7410.71
9600000 -7400.15
9700000 -7390.48
9800000 -7388.77
9900000 -7390.24
10000000 -7393.53
