#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2255.24 -97.53 -276.505 -103.76 26.0708 -17.1209 -2.69035 135.468 8.32462 22.9222
 4000 3743.53 -198.407 -465.033 -162.913 44.0737 -21.0975 -1.19735 223.565 7.29619 36.3311
 6000 5072.86 -298.555 -644.994 -217.457 60.8932 -23.7099 0.705465 306.775 5.24946 48.8269
 8000 6351.87 -398.161 -826.045 -271.981 77.7046 -26.4421 2.59478 389.829 3.52126 61.2699
 10000 7609.75 -498.556 -1004.97 -325.476 94.4187 -28.9052 4.55969 472.02 1.46259 73.5873
 12000 8862.71 -599.753 -1184.21 -378.307 111.023 -31.0287 6.54084 553.442 -0.565515 85.6878
 14000 10100.1 -699.225 -1366.42 -431.2 127.757 -33.7456 8.42266 636.963 -2.38046 97.9414
 16000 11336.9 -798.031 -1548.7 -485.155 144.436 -36.2825 10.2327 719.988 -3.95029 110.175
 18000 12566.5 -897.81 -1729.1 -537.405 161.205 -38.9588 12.0663 803.294 -5.85799 122.258
 20000 13796 -996.35 -1911.57 -590.625 177.739 -41.4053 13.9249 886.306 -7.59009 134.391
 20000 13911.8 -999.53 -1921.89 -599.027 179.151 -44.9384 14.7029 890.067 -6.01308 134.457
 40000 26353.8 -2003.42 -3758.25 -1129.28 346.708 -67.3996 33.3562 1725.18 -24.3868 255.845
 60000 39013.7 -3024.07 -5649.95 -1651.49 515.763 -87.4898 51.8458 2574.45 -42.8467 375.597
 80000 51512.4 -4031.45 -7536.54 -2158.45 681.931 -103.745 69.5697 3413.74 -62.0059 492.985
 100000 64057.9 -5036.07 -9409.71 -2680.1 847.929 -123.727 87.8441 4257.97 -80.8945 612.767
 120000 76394.7 -6060.4 -11200.1 -3185.48 1017.72 -143.769 107.08 5072.57 -103.656 729.985
 140000 88629.5 -7073.21 -13008.8 -3669.93 1183.77 -155.61 123.733 5890.41 -134.051 850.162
 160000 101013 -8098.56 -14839.5 -4145.09 1353.64 -171.084 139.112 6715.88 -161.265 967.842
 180000 113131 -9079.85 -16656.3 -4644.13 1518.29 -192.685 156.475 7556.97 -188.66 1088.02
 200000 125533 -10086.9 -18505.5 -5151.3 1686.76 -217.155 174.217 8407.07 -209.944 1207.58
 200000 127548 -10284.8 -18704.9 -5222.09 1728.38 -238.51 179.191 8503.53 -203.243 1213.61
 400000 259559 -20941.7 -38062.5 -10841.6 3403.47 -335.117 425.417 17125.8 -496.114 2487.77
 600000 382447 -31065.5 -55569.5 -16234.4 5098.31 -638.091 659.655 25727.5 -936.838 3817.86
 800000 513452 -41707.2 -74207.7 -22115.2 6820.25 -856.751 918.662 34459.1 -1307.85 5191.03
 1e+06 655881 -53332.8 -94088.4 -28668.4 8691.6 -1064.62 1201.91 43559.5 -1617.72 6665.22
 1.2e+06 807900 -64796.7 -117932 -35445.9 10396.2 -832.51 1416.45 52969.2 -1759.56 8196.71
 1.4e+06 954725 -75837.6 -140175 -42611.3 12082.1 -797.786 1685.63 62384.8 -2021.26 9823.12
 1.6e+06 1.09176e+06 -86004.4 -160696 -49767.7 13643.9 -788.413 1928.69 71054.2 -2171.32 11422.4
 1.8e+06 1.23529e+06 -96335.5 -183155 -57071.2 15282.9 -879.647 2167.95 80719.4 -2330.81 13064.8
 2e+06 1.37181e+06 -106399 -203984 -63870.7 16994.3 -1194 2356.03 90080.1 -2386.85 14586
 2e+06 1.32533e+06 -102741 -193840 -64510.1 17067.3 -2730.41 2366.51 87480.7 -1021.52 13888.7
 4e+06 2.5598e+06 -189366 -374877 -138213 33219.1 -11215.9 5516.35 184086 -2143.5 28976.1
 6e+06 3.65811e+06 -257736 -552446 -206311 48852.8 -25436.9 8332.35 289550 -1144.6 41791.2
 8e+06 4.63217e+06 -321650 -710358 -260507 63152.9 -37071.1 10324.5 379045 872.967 51502.8
 1e+07 5.52801e+06 -386564 -850346 -305032 77606 -49890.1 13247.2 469231 -378.475 59324.3
 1.2e+07 6.53684e+06 -469525 -991345 -350818 94376 -58038.4 14278.9 544719 880.546 68877.8
 1.4e+07 7.33511e+06 -531537 -1.08244e+06 -404587 107944 -69244.6 16551.6 606138 2691.38 78286.1
 1.6e+07 8.27436e+06 -596231 -1.19658e+06 -477315 122606 -83708 19980.2 683511 5575.08 90198.4
 1.8e+07 8.80146e+06 -642017 -1.2306e+06 -523060 139666 -106802 20483.6 751939 6268.81 100944
 2e+07 9.41947e+06 -680265 -1.29564e+06 -585331 155109 -130143 21619 826297 12116.3 111779
 2e+07 7.77089e+06 -744504 -778829 -386282 165267 -130446 22897 697688 -39855 90983.6
 4e+07 9.49091e+06 -692682 -1.08048e+06 -714174 296254 -448550 8988.44 1.73939e+06 -133125 256039
 6e+07 1.7787e+07 -623386 -3.28066e+06 -1.59423e+06 381180 -570642 -60686.4 2.60627e+06 76305.3 460317
 8e+07 1.99142e+07 303865 -5.34378e+06 -2.25907e+06 440344 -875508 -196862 3.67297e+06 395297 641050
 1e+08 2.20701e+07 1.12407e+06 -7.58225e+06 -2.65013e+06 567867 -1.33074e+06 -318532 5.00958e+06 826449 657121
 1.2e+08 2.46194e+07 -744067 -4.6317e+06 -2.32081e+06 1.04229e+06 -1.75825e+06 -288744 4.80529e+06 843467 515351
