# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -10732.6
200000 -10735.9
300000 -10738.7
400000 -10733.7
500000 -10728.9
600000 -10731.7
700000 -10731.8
800000 -10737.6
900000 -10736.9
1000000 -10730.9
1100000 -10731.7
1200000 -10735.6
1300000 -10733.5
1400000 -10731.5
1500000 -10734.9
1600000 -10731.5
1700000 -10737.4
1800000 -10736.4
1900000 -10727.1
2000000 -10735.6
2100000 -10734.2
2200000 -10737.9
2300000 -10727.2
2400000 -10735.8
2500000 -10729.3
2600000 -10733.1
2700000 -10735.3
2800000 -10735.8
2900000 -10734.4
3000000 -10735
3100000 -10738.5
3200000 -10729.7
3300000 -10742.5
3400000 -10739.5
3500000 -10731.6
3600000 -10740.7
3700000 -10739.5
3800000 -10730.7
3900000 -10735.5
4000000 -10730.4
4100000 -10735.6
4200000 -10731.2
4300000 -10739.7
4400000 -10731.3
4500000 -10731.6
4600000 -10733.4
4700000 -10729.7
4800000 -10734.8
4900000 -10734.9
5000000 -10738.8
5100000 -10738.6
5200000 -10733.4
5300000 -10733.5
5400000 -10733.3
5500000 -10730.2
5600000 -10736.4
5700000 -10729.3
5800000 -10735.9
5900000 -10735.8
6000000 -10734.3
6100000 -10737
6200000 -10734
6300000 -10731.9
6400000 -10732.4
6500000 -10733.8
6600000 -10741.4
6700000 -10738.5
6800000 -10733.3
6900000 -10736.3
7000000 -10736
7100000 -10734.7
7200000 -10738.4
7300000 -10739.1
7400000 -10738.7
7500000 -10734.9
7600000 -10740.5
7700000 -10740
7800000 -10734
7900000 -10735.2
8000000 -10734.8
8100000 -10736.1
8200000 -10735.7
8300000 -10731
8400000 -10735.3
8500000 -10736.7
8600000 -10735.9
8700000 -10735.9
8800000 -10725.8
8900000 -10726.4
9000000 -10734.9
9100000 -10733
9200000 -10734.1
9300000 -10734.6
9400000 -10731.4
9500000 -10739.3
9600000 -10734.2
9700000 -10735.5
9800000 -10729.6
9900000 -10735.3
10000000 -10735.5
10100000 -10734.2
10200000 -10735.4
10300000 -10732.3
10400000 -10729.5
10500000 -10727.1
10600000 -10728.6
10700000 -10746.2
10800000 -10730.7
10900000 -10738.7
11000000 -10735.8
11100000 -10737.6
11200000 -10733.6
11300000 -10737.9
11400000 -10730.5
11500000 -10738.4
11600000 -10731
11700000 -10742.4
11800000 -10735.8
11900000 -10737.8
12000000 -10734.8
12100000 -10735.7
12200000 -10732.7
12300000 -10730.1
12400000 -10737.5
12500000 -10738
12600000 -10731.8
12700000 -10733.1
12800000 -10736.4
12900000 -10738.8
13000000 -10731.3
13100000 -10732.3
13200000 -10738.4
13300000 -10731.3
13400000 -10729.3
13500000 -10734.3
13600000 -10726.9
13700000 -10730.5
13800000 -10730.3
13900000 -10737.1
14000000 -10734.6
14100000 -10731.6
14200000 -10730
14300000 -10728.1
14400000 -10736.4
14500000 -10737
14600000 -10737
14700000 -10739.6
14800000 -10734.2
14900000 -10737.4
15000000 -10733.2
15100000 -10733.3
15200000 -10734.4
15300000 -10739.5
15400000 -10737.8
15500000 -10738.2
15600000 -10734.8
15700000 -10731.5
15800000 -10729.2
15900000 -10736.2
16000000 -10732.4
16100000 -10734.5
16200000 -10734.3
16300000 -10734.4
16400000 -10737.9
16500000 -10735.8
16600000 -10736.5
16700000 -10733.8
16800000 -10725.3
16900000 -10736.9
17000000 -10732
17100000 -10734
17200000 -10732.3
17300000 -10731.9
17400000 -10739.6
17500000 -10733
17600000 -10732.6
17700000 -10735.3
17800000 -10732.3
17900000 -10737.5
18000000 -10739.7
18100000 -10737.2
18200000 -10736.7
18300000 -10731.4
18400000 -10733.8
18500000 -10731.1
18600000 -10732.3
18700000 -10737.6
18800000 -10735.1
18900000 -10730.9
19000000 -10735.8
19100000 -10732.5
19200000 -10737
19300000 -10728.5
19400000 -10736
19500000 -10737.3
19600000 -10735.4
19700000 -10735.1
19800000 -10735.9
19900000 -10733.1
20000000 -10740.6
20100000 -10732.7
20200000 -10731.7
20300000 -10728.5
20400000 -10734.7
20500000 -10729.1
20600000 -10737.4
20700000 -10734.5
20800000 -10733.7
20900000 -10732.4
21000000 -10732.8
21100000 -10728.7
21200000 -10737.2
21300000 -10736
21400000 -10736.1
21500000 -10729.8
21600000 -10737.9
21700000 -10736.5
21800000 -10739.2
21900000 -10731.1
22000000 -10737.8
22100000 -10737.1
22200000 -10733.1
22300000 -10735
22400000 -10733.8
22500000 -10733.9
22600000 -10728.3
22700000 -10735.1
22800000 -10733.2
22900000 -10733.8
23000000 -10737.1
23100000 -10738
23200000 -10731.6
23300000 -10731.9
23400000 -10743.9
23500000 -10732.8
23600000 -10735
23700000 -10737.4
23800000 -10737.1
23900000 -10735.3
24000000 -10733.5
24100000 -10732.5
24200000 -10734
24300000 -10735.6
24400000 -10732
24500000 -10730.4
24600000 -10739.7
24700000 -10733.4
24800000 -10731.5
24900000 -10733
25000000 -10733.2
25100000 -10730
25200000 -10728.8
25300000 -10739.7
25400000 -10733.1
25500000 -10732.8
25600000 -10738.1
25700000 -10733.9
25800000 -10729.5
25900000 -10731.4
26000000 -10733.6
26100000 -10732.3
26200000 -10728.8
26300000 -10732.9
26400000 -10733.1
26500000 -10737.4
26600000 -10729.7
26700000 -10737.7
26800000 -10733.3
26900000 -10725.4
27000000 -10737.3
27100000 -10738.1
27200000 -10735.5
27300000 -10733.2
27400000 -10731.7
27500000 -10730.6
27600000 -10739.2
27700000 -10734.1
27800000 -10727.5
27900000 -10741.5
28000000 -10740.3
28100000 -10730.1
28200000 -10736
28300000 -10735.4
28400000 -10728.8
28500000 -10735.9
28600000 -10736.2
28700000 -10733.9
28800000 -10729.1
28900000 -10739.2
29000000 -10733.1
29100000 -10731.7
29200000 -10732
29300000 -10732.3
29400000 -10733.5
29500000 -10737.8
29600000 -10732.3
29700000 -10728.9
29800000 -10736.1
29900000 -10734.5
30000000 -10736.3
