#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 10492.3 36.9938 53.6427 29.3878
 4000 16267.2 57.869 83.7471 45.5844
 6000 21558.3 76.9922 111.375 60.3908
 8000 26833.6 96.0522 138.79 75.162
 10000 32055.3 114.8 165.882 89.7642
 12000 37249.3 133.382 192.986 104.211
 14000 42504.1 152.157 220.379 118.75
 16000 47698.7 170.639 247.396 133.113
 18000 52931.6 189.235 274.633 147.539
 20000 58181.7 207.874 301.768 161.963
 20000 58241.4 208.2 302.932 162.089
 40000 110650 394.811 572.102 305.696
 60000 162783 579.748 842.83 449.412
 80000 214952 764.677 1112.75 593.603
 100000 267088 950.975 1382.77 737.874
 120000 319300 1137.36 1651.43 882.242
 140000 371324 1322.94 1919.28 1026.32
 160000 423476 1508.52 2189.84 1171.08
 180000 475771 1692.97 2461.22 1316.9
 200000 527854 1876.26 2734.48 1461.97
 200000 527496 1877.44 2731.87 1463.99
 400000 1.04884e+06 3668.85 5518.75 2904.68
 600000 1.57002e+06 5435.97 8339.8 4352.54
 800000 2.09067e+06 7209.77 11117.3 5780.4
 1e+06 2.61102e+06 9009.51 13952.6 7216.26
 1.2e+06 3.13056e+06 10803.5 16747.8 8653.06
 1.4e+06 3.65197e+06 12636.8 19518.5 10076.2
 1.6e+06 4.1716e+06 14467.9 22181.9 11461.8
 1.8e+06 4.6914e+06 16286.6 24865.9 12836.8
 2e+06 5.21058e+06 18085.1 27470.2 14201.5
 2e+06 5.19731e+06 18451.3 27472.8 14061.9
 4e+06 1.04309e+07 36043.8 53537.9 27793.7
 6e+06 1.56523e+07 53880.1 79598.8 40891.8
 8e+06 2.08638e+07 72032.8 105983 52925.2
 1e+07 2.60894e+07 90254.9 132254 64692
 1.2e+07 3.1348e+07 108249 156807 76402.7
 1.4e+07 3.66232e+07 125939 179129 88370.8
 1.6e+07 4.19224e+07 144421 201140 100545
 1.8e+07 4.72174e+07 161675 220229 113180
 2e+07 5.2515e+07 178689 239910 126727
 2e+07 5.25991e+07 176367 237525 126083
 4e+07 1.05581e+08 365064 469799 290522
 6e+07 1.58686e+08 580901 813218 457012
 8e+07 2.12292e+08 775883 1.17481e+06 650289
 1e+08 2.62525e+08 944000 1.46982e+06 828491
 1.2e+08 3.10882e+08 1.15737e+06 1.85342e+06 1.14062e+06
