#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2268.99 -101.093 -182.742 -146.25 22.2628 2.99889 -1.94745 32.5289 -5.97911 79.3306
 4000 4101.07 -193.775 -353.931 -271.202 42.3929 6.56053 -4.21094 60.6347 -8.92455 141.817
 6000 5850.11 -285.44 -526.991 -396.725 62.3175 10.1452 -6.6671 88.5154 -11.123 202.735
 8000 7562.07 -375.181 -700.702 -521.692 82.1442 13.6523 -9.17319 116.435 -13.5006 263.582
 10000 9253.06 -466.456 -873.87 -646.554 102.049 17.2662 -11.5845 144.363 -15.8102 324.064
 12000 10913.4 -556.683 -1044.14 -770.701 121.921 20.7331 -14.0864 171.954 -18.176 384.473
 14000 12567.2 -647.47 -1212.53 -895.831 141.8 24.2424 -16.7192 199.249 -20.7644 446.136
 16000 14184.6 -735.994 -1378.42 -1017.08 161.667 27.5873 -19.521 226.56 -23.9488 507.816
 18000 15787.4 -825.452 -1542.94 -1135.59 181.727 30.9262 -22.3686 253.768 -27.4425 569.482
 20000 17404.6 -915.337 -1708.25 -1255.19 201.746 34.2258 -25.0838 280.749 -30.4803 630.145
 20000 17361.5 -913.903 -1699.95 -1254.81 199.996 34.0539 -22.1432 280.394 -33.0564 628.16
 40000 33952.9 -1824.34 -3394.56 -2504.9 396.288 68.927 -45.6474 554.856 -58.5858 1239.71
 60000 49618.6 -2668.02 -5026.31 -3667.68 594.053 97.0648 -78.9222 826.437 -88.9803 1841.06
 80000 65579.9 -3533.28 -6678.74 -4840.37 791.016 125.845 -106.393 1104.22 -125.934 2447.51
 100000 80845.8 -4358.16 -8254.81 -5999.76 979.709 154.391 -134.698 1369.18 -163.652 3059.35
 120000 96047.8 -5196.28 -9812.01 -7132.51 1172.66 184.619 -166.712 1630.14 -205.392 3672.75
 140000 111571 -6060.49 -11420.9 -8285.23 1362.46 221.593 -197.213 1896.2 -245.221 4292
 160000 127262 -6921.51 -13037.1 -9452.87 1549.98 256.519 -224.075 2167.8 -293.431 4931.17
 180000 143317 -7788.08 -14702.2 -10654.9 1732.55 294.553 -245.817 2444.59 -339.365 5567.26
 200000 159218 -8622.12 -16369.7 -11843.2 1913.04 328.616 -265.362 2724.97 -387.41 6198.47
 200000 156591 -8066 -15987.3 -12599.4 1820.06 265.661 -203.645 2718 -422.253 6507.09
 400000 329830 -17637 -34221.8 -24476.7 3745.38 624.374 -174.206 5737.94 -801.666 12217.8
 600000 503610 -27154.6 -52470.7 -36335.8 5577.18 1071.94 -233.207 8765.84 -1375.88 18513.9
 800000 652670 -34465.5 -68110.2 -48188 7307.45 1201.13 -280.075 11556 -1894.95 24695.8
 1e+06 789071 -43120.6 -81623.8 -57713.4 9202.9 1496.5 -427.857 13941.9 -2593.05 30480.4
 1.2e+06 916955 -52303.7 -94327.2 -65044.7 11079.7 1791.06 -315.808 16401 -3795.27 36227.9
 1.4e+06 1.05563e+06 -62598 -108247 -72141.3 13000.6 2223.15 -120.998 18940.5 -4927.39 41596.6
 1.6e+06 1.2235e+06 -74120.8 -124941 -82318.8 14834.8 2849.52 191.68 21712.4 -5776.64 47287.6
 1.8e+06 1.39542e+06 -86044.9 -141486 -93935.2 16657.5 3449.32 772.135 24447.5 -6575.1 53083.2
 2e+06 1.58193e+06 -99655.7 -158045 -109003 18707.2 4116.6 1510.6 27120.5 -7297.13 59862.7
 2e+06 1.62218e+06 -112141 -157024 -110491 18252.2 5450.36 4326.59 27251 -10022.3 62960.4
 4e+06 3.37561e+06 -231805 -313225 -260548 34781.3 13399.9 7897.01 53032.4 -20889.1 144533
 6e+06 5.44644e+06 -339835 -481449 -530637 51640.2 17692 15353.6 74753 -11378.8 219989
 8e+06 7.43552e+06 -409783 -687594 -736513 61637.5 21087 20321.3 106792 -10038.1 293395
 1e+07 8.857e+06 -427069 -854028 -887237 69190.7 20026.1 18104.8 135309 -9456.72 357116
 1.2e+07 9.82711e+06 -395341 -1.01847e+06 -939004 70545.6 16597.6 11332.8 168992 -17804.3 409112
 1.4e+07 9.53735e+06 -252854 -1.09739e+06 -851095 62889.2 4771.85 -6735.51 201186 -44785.2 466421
 1.6e+07 1.03708e+07 -215350 -1.24545e+06 -892097 64131.4 1518.29 -16217.1 232529 -55245.4 523996
 1.8e+07 1.11933e+07 -161675 -1.40521e+06 -925170 64071.6 -3280.31 -26510.7 266478 -64792.5 577082
 2e+07 1.20315e+07 -135824 -1.49212e+06 -1.09694e+06 63996.4 -6240.28 -29625.6 279712 -56943.4 633197
 2e+07 9.14505e+06 -451043 -936115 -747422 68050.4 18228.4 32337.4 192472 -112728 524709
 4e+07 1.77146e+07 -718122 -1.35958e+06 -2.82544e+06 59973.9 53324.4 68626.4 137807 138860 713970
