#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 6733.56 34.6287 43.2831 31.0739
 4000 11539.4 61.6738 77.1607 52.5665
 6000 16166.2 87.9083 110.034 73.0437
 8000 20768 113.955 142.576 93.2579
 10000 25380.1 139.943 175.054 113.454
 12000 29952.8 165.684 207.228 133.455
 14000 34559.4 191.513 239.537 153.619
 16000 39144.2 217.176 271.7 173.621
 18000 43749.2 242.98 303.952 193.642
 20000 48352.7 268.786 336.18 213.566
 20000 48290.4 268.201 335.819 214.243
 40000 94256.8 524.03 656.525 414.298
 60000 140172 781.232 977.946 610.955
 80000 186124 1037.03 1299.46 810.199
 100000 231983 1290.36 1620.37 1006.94
 120000 277973 1544.37 1941.33 1203
 140000 324019 1797.92 2264.44 1404.38
 160000 369979 2050.3 2588.38 1611.88
 180000 415886 2301.28 2909.54 1818.96
 200000 461960 2551.6 3232.47 2025.68
 200000 461773 2551.76 3234.72 2065.53
 400000 922086 5025.6 6457.77 4121.13
 600000 1.3819e+06 7512.28 9686.29 6192.43
 800000 1.842e+06 9983.34 12867.3 8246.73
 1e+06 2.30317e+06 12461.4 16015.6 10354.2
 1.2e+06 2.76307e+06 14923.2 19237.7 12449.8
 1.4e+06 3.22464e+06 17412.3 22448.8 14448.6
 1.6e+06 3.6878e+06 19833.7 25598.5 16449.9
 1.8e+06 4.15305e+06 22269.2 28797.2 18369
 2e+06 4.61863e+06 24673.1 31954.6 20323.2
 2e+06 4.61381e+06 25165.8 32392.6 21197.6
 4e+06 9.29292e+06 48717.7 63866.5 41807.5
 6e+06 1.39872e+07 72472.4 91611.8 63438.9
 8e+06 1.86667e+07 98086.3 121376 82928.3
 1e+07 2.33874e+07 123802 149652 105960
 1.2e+07 2.80769e+07 149112 178145 124757
 1.4e+07 3.28023e+07 170935 207117 143684
 1.6e+07 3.74858e+07 191091 234215 162301
 1.8e+07 4.20627e+07 209879 262802 185513
 2e+07 4.67023e+07 229543 292951 206910
 2e+07 4.71574e+07 234514 319706 202223
 4e+07 9.49408e+07 435022 617675 247696
