#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 6713.68 36.7833 43.3192 33.7232
 4000 11491.5 63.7046 76.977 55.1546
 6000 16105.5 89.7933 109.654 75.4482
 8000 20716.8 115.838 142.237 95.5571
 10000 25309.4 141.634 174.653 115.503
 12000 29928.3 167.538 207.163 135.475
 14000 34505.7 193.117 239.463 155.233
 16000 39088.9 218.596 271.68 175.042
 18000 43651.5 243.981 303.686 194.596
 20000 48269.5 269.626 336.065 214.447
 20000 48349.7 270.315 336.122 213.94
 40000 94340.4 527.129 658.574 411.269
 60000 140163 782.33 978.994 604.594
 80000 186083 1036.68 1298.62 801.765
 100000 232005 1291.01 1619.25 997.955
 120000 277977 1545 1941.1 1195.27
 140000 324002 1798.08 2264.39 1393.6
 160000 369981 2051.05 2587.55 1593.76
 180000 415960 2304.41 2908.39 1794.04
 200000 461878 2556.81 3230.19 1995.38
 200000 462022 2578.95 3241.56 2017.36
 400000 922191 5096.87 6464.93 3982.76
 600000 1.38054e+06 7665.81 9741.4 5886.99
 800000 1.83969e+06 10190 12968.6 7782.1
 1e+06 2.29889e+06 12715 16213.3 9680.76
 1.2e+06 2.75584e+06 15247.5 19524.7 11599
 1.4e+06 3.21309e+06 17794.8 22829.2 13551.5
 1.6e+06 3.67112e+06 20354.9 26118.9 15539
 1.8e+06 4.13051e+06 22974.2 29434.2 17542.4
 2e+06 4.58961e+06 25645.2 32720.4 19639.1
 2e+06 4.59999e+06 25697.3 33418.1 20159.4
 4e+06 9.22931e+06 52820.7 65824.2 42261.7
 6e+06 1.39007e+07 81968.9 94831.3 63874.2
 8e+06 1.858e+07 111103 123959 83177
 1e+07 2.32958e+07 139589 152542 104082
 1.2e+07 2.79973e+07 167048 183501 121428
 1.4e+07 3.26277e+07 194845 216711 146309
 1.6e+07 3.7315e+07 221240 246818 172146
 1.8e+07 4.20471e+07 246581 279153 196589
 2e+07 4.6892e+07 271077 307846 218401
 2e+07 4.61848e+07 289854 299170 163516
 4e+07 9.36495e+07 605820 586349 467857
