#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.20242e+09 6.19414e+09 6.19539e+09 6.19229e+09 6.18731e+09 6.19125e+09 6.19028e+09 6.1931e+09 1.11238e+10
 40 1.93756e+10 1.93485e+10 1.93467e+10 1.93348e+10 1.93196e+10 1.93344e+10 1.93296e+10 1.93405e+10 4.07718e+10
 60 3.42803e+10 3.42344e+10 3.42112e+10 3.41935e+10 3.41664e+10 3.42035e+10 3.41878e+10 3.42095e+10 8.40966e+10
 80 4.91993e+10 4.91455e+10 4.90824e+10 4.90516e+10 4.90195e+10 4.90959e+10 4.90557e+10 4.90904e+10 1.3759e+11
 100 6.40563e+10 6.40145e+10 6.38972e+10 6.38217e+10 6.37997e+10 6.39303e+10 6.38506e+10 6.39061e+10 1.98394e+11
 120 7.93236e+10 7.93083e+10 7.91276e+10 7.89573e+10 7.89634e+10 7.91653e+10 7.90287e+10 7.91185e+10 2.64184e+11
 140 9.54864e+10 9.55014e+10 9.52563e+10 9.49391e+10 9.49921e+10 9.5279e+10 9.50701e+10 9.52079e+10 3.33396e+11
 160 1.12707e+11 1.12752e+11 1.1244e+11 1.11953e+11 1.12064e+11 1.12442e+11 1.12153e+11 1.12345e+11 4.04983e+11
 180 1.30773e+11 1.30844e+11 1.3047e+11 1.29807e+11 1.29973e+11 1.30449e+11 1.30076e+11 1.30324e+11 4.7786e+11
 200 1.4938e+11 1.49475e+11 1.49051e+11 1.48194e+11 1.48414e+11 1.48992e+11 1.48533e+11 1.48841e+11 5.50927e+11
 200 1.49167e+11 1.49296e+11 1.49134e+11 1.48216e+11 1.48464e+11 1.49111e+11 1.48597e+11 1.48838e+11 5.51057e+11
 400 3.54971e+11 3.55585e+11 3.54161e+11 3.51026e+11 3.52116e+11 3.53928e+11 3.52357e+11 3.53376e+11 1.20212e+12
 600 5.79822e+11 5.81433e+11 5.78255e+11 5.72768e+11 5.74351e+11 5.77639e+11 5.7492e+11 5.76886e+11 1.5844e+12
 800 8.13157e+11 8.15786e+11 8.10397e+11 8.03655e+11 8.04318e+11 8.09594e+11 8.05856e+11 8.08759e+11 1.62318e+12
 1000 1.05052e+12 1.05377e+12 1.04591e+12 1.0396e+12 1.03756e+12 1.0457e+12 1.04095e+12 1.0446e+12 1.41906e+12
 1200 1.28907e+12 1.29414e+12 1.28382e+12 1.27778e+12 1.27235e+12 1.28291e+12 1.27768e+12 1.28221e+12 1.17532e+12
 1400 1.52817e+12 1.53521e+12 1.5225e+12 1.51732e+12 1.50853e+12 1.52102e+12 1.51562e+12 1.52083e+12 1.03064e+12
 1600 1.76816e+12 1.7759e+12 1.76068e+12 1.75761e+12 1.74645e+12 1.75931e+12 1.75445e+12 1.75997e+12 1.01405e+12
 1800 2.008e+12 2.01738e+12 1.99947e+12 1.99883e+12 1.98462e+12 1.99822e+12 1.99389e+12 1.99964e+12 1.08945e+12
 2000 2.24804e+12 2.25886e+12 2.23905e+12 2.24065e+12 2.22281e+12 2.23685e+12 2.23344e+12 2.23952e+12 1.18398e+12
 2000 2.25715e+12 2.2537e+12 2.23637e+12 2.24063e+12 2.23368e+12 2.24235e+12 2.23889e+12 2.24296e+12 1.17935e+12
 4000 4.63487e+12 4.68745e+12 4.63162e+12 4.71646e+12 4.64898e+12 4.65196e+12 4.67247e+12 4.664e+12 1.26533e+12
 6000 7.03368e+12 7.18823e+12 7.04837e+12 7.22078e+12 7.03979e+12 7.08119e+12 7.11392e+12 7.10439e+12 1.31217e+12
 8000 9.44907e+12 9.69238e+12 9.45127e+12 9.77223e+12 9.4586e+12 9.54553e+12 9.59212e+12 9.56763e+12 1.36146e+12
 10000 1.18965e+13 1.22164e+13 1.18518e+13 1.23669e+13 1.18521e+13 1.20228e+13 1.20806e+13 1.20436e+13 1.43776e+12
 12000 1.43924e+13 1.47654e+13 1.42647e+13 1.49756e+13 1.42588e+13 1.44788e+13 1.45711e+13 1.45323e+13 1.50212e+12
 14000 1.68942e+13 1.73296e+13 1.67014e+13 1.75509e+13 1.66861e+13 1.69288e+13 1.70553e+13 1.70232e+13 1.56994e+12
 16000 1.93701e+13 1.98789e+13 1.9111e+13 2.01109e+13 1.90789e+13 1.93904e+13 1.95267e+13 1.94974e+13 1.64277e+12
 18000 2.18471e+13 2.23939e+13 2.1515e+13 2.26466e+13 2.14591e+13 2.18628e+13 2.19895e+13 2.19612e+13 1.71228e+12
 20000 2.43524e+13 2.49012e+13 2.39104e+13 2.5202e+13 2.38483e+13 2.43254e+13 2.44586e+13 2.44303e+13 1.76145e+12
