#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 7336.3 39.9354 46.5481 32.8909
 4000 12139.5 66.9816 80.3049 54.3612
 6000 16774 93.1756 113.106 74.9241
 8000 21343.4 119.023 145.413 95.1585
 10000 25939.6 144.936 177.75 115.459
 12000 30558 170.869 210.085 135.754
 14000 35159.4 196.751 242.319 156.037
 16000 39714.9 222.266 274.207 175.988
 18000 44304.4 247.944 306.192 196.141
 20000 48882.9 273.504 338.07 216.21
 20000 48938.1 273.633 337.672 216.673
 40000 94875.7 528.197 656.931 415.108
 60000 140752 781.002 975.189 612.155
 80000 186623 1032.33 1291.86 809.273
 100000 232377 1283.23 1608.26 1007.09
 120000 278346 1534.87 1924.72 1205.21
 140000 324307 1786.74 2242.52 1404.46
 160000 370211 2038.54 2560.05 1602.61
 180000 415965 2288.68 2877.14 1798.9
 200000 461872 2539.47 3194.61 1997.41
 200000 462784 2555.58 3202.92 1994.04
 400000 920851 5068.67 6330.81 3906.71
 600000 1.38081e+06 7594.18 9464.63 5834.76
 800000 1.84159e+06 10148.8 12591.9 7712.88
 1e+06 2.30192e+06 12666.2 15755.5 9538.23
 1.2e+06 2.76212e+06 15194.7 18931.7 11417.3
 1.4e+06 3.22231e+06 17718.1 22088.3 13316.9
 1.6e+06 3.68208e+06 20216.1 25245.7 15254.4
 1.8e+06 4.14107e+06 22703.8 28420 17151.1
 2e+06 4.60116e+06 25262.3 31592.8 19067.1
 2e+06 4.59304e+06 25718.1 31927.5 19488.4
 4e+06 9.17747e+06 50785.1 62881 39934.3
 6e+06 1.37596e+07 77485.3 92634.1 55884.9
 8e+06 1.83381e+07 103531 121808 72186.5
 1e+07 2.29372e+07 129553 150483 87738.5
 1.2e+07 2.75192e+07 157833 179657 102471
 1.4e+07 3.21168e+07 186417 208458 117249
 1.6e+07 3.66774e+07 215873 236877 132901
 1.8e+07 4.1296e+07 243431 263083 150642
 2e+07 4.59075e+07 271496 287808 169803
 2e+07 4.45204e+07 264998 277505 180024
 4e+07 8.88712e+07 549433 510410 327678
 6e+07 1.3421e+08 827208 775042 521221
