#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2066.12 -113.808 -227.94 -69.1615 20.1122 -2.26285 1.47363 94.5276 0.147887 13.8907
 4000 3545.68 -217.264 -412.328 -125.292 37.5635 -4.66098 3.37825 178.792 -1.68282 26.4776
 6000 4868.42 -318.2 -590.788 -179.355 54.4484 -7.36007 5.34815 262.366 -3.92324 38.8592
 8000 6147.69 -418.711 -770.235 -233.356 71.361 -10.2318 7.25209 346.374 -6.00921 51.2782
 10000 7404.37 -518.996 -947.485 -286.914 88.331 -13.4423 9.24702 430.356 -8.48255 63.7216
 12000 8648.76 -619.548 -1124.65 -340.335 105.3 -16.3041 11.2428 513.186 -10.853 76.0704
 14000 9874.61 -718.896 -1303.91 -392.757 122.049 -19.0131 13.2315 596.471 -13.325 88.3839
 16000 11121.2 -819.94 -1483.93 -445.617 138.877 -21.515 15.2584 679.449 -15.6844 100.518
 18000 12368 -921.991 -1663.46 -498.031 155.876 -24.0645 17.2161 762.204 -17.9948 112.616
 20000 13600.5 -1023.09 -1841.41 -550.093 172.739 -26.518 19.1805 843.878 -20.2801 124.668
 20000 13554.9 -1024.78 -1820.07 -555.548 173.977 -28.6647 19.8476 838.874 -19.6094 124.453
 40000 25804.8 -2044.58 -3581.6 -1053.41 346.143 -54.074 37.9918 1657.24 -45.1548 242.909
 60000 38509.3 -3125.09 -5380.47 -1552.6 522.913 -71.2414 57.5827 2479.89 -74.1061 361.416
 80000 50981.5 -4173.21 -7157.67 -2062.54 695.027 -88.1528 77.2321 3291.7 -101.758 482.026
 100000 63070.6 -5206.15 -8840.58 -2550.57 866.048 -109.018 96.0592 4083.74 -134.472 601.286
 120000 74814.5 -6216.63 -10418.9 -3054.25 1035.47 -136.342 117.251 4844.9 -168.561 721.483
 140000 86465.8 -7210.81 -12015 -3539.24 1200.5 -156.742 135.904 5608.36 -208.179 844.121
 160000 98028.2 -8213.38 -13579.3 -4008.95 1369.93 -186.533 155.231 6380.85 -249.728 963.999
 180000 109347 -9174.38 -15127.8 -4500.31 1531.14 -217.641 178.532 7171.59 -299.84 1087.07
 200000 120952 -10186 -16647.7 -4990.07 1699.01 -251.514 203.407 7950.9 -349.953 1209.91
 200000 121863 -10186.5 -16847.3 -5072.81 1720.3 -288.658 203.063 8084.51 -344.293 1220.37
 400000 244064 -20966.5 -32488.5 -10349.6 3459.18 -545.084 495.782 16077.6 -991.91 2569.59
 600000 357604 -31296.4 -45722.5 -15772.2 5158.13 -952.538 851.461 23743.2 -1796.13 3962.02
 800000 488652 -43189.8 -60633.4 -22002.1 6970.64 -1130.16 1266.96 31210.5 -2420.95 5341.04
 1e+06 624565 -56245.5 -73788.3 -29065.8 8916.04 -1282.63 1778.48 38006.5 -3057.04 6804.04
 1.2e+06 771381 -70045.7 -89638 -35980.3 10803.2 -983.157 2272.03 44932.5 -3792.49 8318.63
 1.4e+06 915456 -82500.4 -106918 -43331.4 12537.1 -800.389 2729.66 52445.4 -4377.47 9912.79
 1.6e+06 1.04794e+06 -93997.5 -122507 -50411.6 14124.3 -595.645 3156.5 59256.2 -4919.65 11459.6
 1.8e+06 1.1842e+06 -105781 -139651 -56789.6 15849.8 -512.057 3519.53 66816.2 -5421.81 12876.5
 2e+06 1.3101e+06 -117287 -153913 -62934.1 17664.4 -721.412 3859.33 73650.1 -5699.07 14139.4
 2e+06 1.27216e+06 -115747 -150825 -58615.6 17612 -1709.71 4212.8 75643.3 -5928.62 12662
 4e+06 2.43846e+06 -210906 -283924 -133693 33726.4 -9658.71 9355.1 152375 -7227.5 25211.6
 6e+06 3.50398e+06 -300291 -391975 -205023 49529.5 -18021.2 13638.5 211784 -4103.42 35295.7
 8e+06 4.71893e+06 -423448 -521065 -250041 67850 -14417.5 15186.6 246852 1826.26 40889.3
 1e+07 5.8821e+06 -547635 -664677 -270509 86546.3 -8762.05 15269 282331 7773.33 42256.3
 1.2e+07 6.94945e+06 -677754 -761785 -286975 106643 -900.528 13394.4 286951 18035.2 42766.4
 1.4e+07 7.6651e+06 -730108 -863444 -327817 114467 4729.88 11401.7 295121 30368.4 48748.1
 1.6e+07 9.04379e+06 -852296 -968328 -432378 130204 9442.63 15988.9 308816 41757.3 61735.9
 1.8e+07 9.99336e+06 -959010 -972337 -513672 149032 4084.83 18125.9 313251 48545.4 75425.3
 2e+07 1.08272e+07 -1.02257e+06 -997758 -618674 160171 -3463.8 22550.3 324007 60104.3 88669.8
 2e+07 1.00381e+07 -1.11366e+06 -472396 -595567 190294 -50553.1 29244.1 266417 32550.8 87768.1
 4e+07 7.59607e+06 -607048 -367743 -791455 149003 -115024 698.741 353429 48415.4 171137
 6e+07 5.89346e+06 -412247 -480494 -598110 96926.9 4573.61 -41485.7 55324.6 81833.7 164276
