#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 8027.79 30.4586 46.1889 19.3961
 4000 13550.5 50.5318 75.4874 34.5837
 6000 18802.7 69.5559 103.008 49.2829
 8000 24063.4 88.6126 130.569 63.959
 10000 29285.1 107.414 157.827 78.5425
 12000 34516.8 126.168 185.11 93.0717
 14000 39768.9 144.969 212.54 107.602
 16000 45001 163.648 239.898 122.041
 18000 50236.3 182.315 267.252 136.49
 20000 55431.1 200.814 294.182 150.828
 20000 55341.8 200.199 293.043 150.088
 40000 107649 386.219 561.57 293.731
 60000 159896 571.956 828.981 436.705
 80000 212034 758.016 1095.13 579.501
 100000 264238 946.288 1363.42 722.1
 120000 316467 1133.91 1629.85 863.412
 140000 368713 1321.29 1897.9 1004.3
 160000 420713 1507.5 2168.4 1144.38
 180000 472871 1693.75 2438.52 1284.39
 200000 525010 1879.93 2708.74 1424.33
 200000 524714 1898.11 2660.93 1423.42
 400000 1.04587e+06 3755.65 5406.9 2820.55
 600000 1.56663e+06 5553.4 8125.98 4215.9
 800000 2.09024e+06 7373.02 10770.4 5613.33
 1e+06 2.61379e+06 9214.75 13456.4 6989.66
 1.2e+06 3.13606e+06 11027.2 16035 8339.22
 1.4e+06 3.65765e+06 12854.5 18479.5 9659.34
 1.6e+06 4.17953e+06 14717.6 20906.3 10948.8
 1.8e+06 4.70381e+06 16570.3 23328 12212
 2e+06 5.22919e+06 18377.1 25713.9 13466
 2e+06 5.24355e+06 18806.3 23482.2 13126
 4e+06 1.04949e+07 37026.9 47317.7 25165.2
 6e+06 1.57664e+07 53961.5 70625.1 37951.4
 8e+06 2.10465e+07 72634.6 94396.9 51325.4
 1e+07 2.6293e+07 94085.3 118363 63180.4
 1.2e+07 3.14951e+07 116838 136983 74447.7
 1.4e+07 3.6769e+07 139300 158583 84185
 1.6e+07 4.20124e+07 163321 182573 94204.4
 1.8e+07 4.72505e+07 186245 202597 104516
 2e+07 5.24652e+07 212910 225731 115113
 2e+07 5.16869e+07 209302 198831 115285
 4e+07 1.01419e+08 475842 395258 204006
 6e+07 1.52026e+08 725426 648145 223794
