#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2397.04 -156.747 -217.192 -97.7383 24.1064 -2.28334 6.0128 93.8278 -2.10877 17.2246
 4000 3914.91 -263.747 -402.044 -157.763 41.789 -4.46026 8.48853 177.783 -4.14997 30.2183
 6000 5297.45 -369.312 -589.217 -213.607 58.8201 -5.80984 10.5776 260.784 -6.11514 42.7194
 8000 6630.34 -476.513 -773.951 -269.68 76.2246 -7.52481 12.7758 344.283 -7.98639 55.2111
 10000 7938.64 -582.775 -956.92 -324.097 93.4112 -9.42176 14.948 427.201 -10.0786 67.5241
 12000 9233.62 -690.2 -1139.71 -379.316 110.879 -11.3879 17.3455 510.071 -12.0828 79.7985
 14000 10534.6 -797.927 -1322.93 -435.495 128.267 -13.1697 19.7416 592.068 -14.0171 92.197
 16000 11825.8 -905.632 -1501.43 -490.975 145.758 -15.1529 22.0568 672.738 -15.976 104.439
 18000 13137.1 -1014.5 -1682.11 -547.095 163.31 -17.0276 24.5106 753.608 -18.0999 116.631
 20000 14395.5 -1121.38 -1860.19 -599.932 180.779 -18.5342 26.6859 833.397 -20.1321 128.542
 20000 14325.4 -1133.09 -1828.41 -594.901 182.83 -18.5963 27.3903 826.32 -23.0578 128.511
 40000 26971.8 -2202.26 -3599.73 -1138.94 360.033 -39.9457 50.6329 1630.45 -41.6348 247.428
 60000 40238.3 -3333.42 -5434.97 -1693.9 541.384 -54.8597 74.8576 2444.45 -55.9676 365.358
 80000 53544.7 -4490.13 -7164.23 -2277.18 727.579 -78.9092 105.103 3253.06 -82.489 487.771
 100000 66688.8 -5649.56 -8886.65 -2838.58 917.085 -108.066 134.156 4076.24 -107.693 606.365
 120000 79757.3 -6807.96 -10554.4 -3407.83 1107.75 -135.927 160.972 4861.39 -129.465 727.489
 140000 93161.6 -8001.35 -12239.7 -3995.53 1299.12 -155.696 191.569 5639.98 -154.456 848.578
 160000 106474 -9212.84 -13844.7 -4582.11 1491.48 -176.823 223.673 6398.92 -182.354 968.939
 180000 119772 -10407 -15444.7 -5201.39 1683.43 -200.249 255.629 7151.27 -206.247 1095.82
 200000 133123 -11605 -17046.3 -5815.45 1877.07 -228.591 287.191 7905.64 -225.67 1219.9
 200000 127771 -11253.9 -16311.9 -5489.11 1905.24 -339.274 235.328 7965.31 -301.681 1267.43
 400000 263430 -23385.8 -32723.6 -11718.9 3830.3 -552.318 569.413 15527.4 -522.103 2522.91
 600000 389235 -34624.7 -46918.8 -18213.2 5623.99 -826.866 915.37 21995.2 -493.902 3654.81
 800000 512526 -45903.5 -60306.9 -24435.4 7482.32 -1208.11 1225.64 28191.9 -364.038 4732.65
 1e+06 624297 -55684.6 -72958.8 -30426.9 9131.21 -1646.93 1510.96 34210.3 -225.834 5765.01
 1.2e+06 737556 -65901.9 -86263 -35899.8 10762.6 -1748.99 1745.87 39550 6.6117 6689.57
 1.4e+06 848810 -76290.6 -99080.7 -40806.5 12404.7 -1730.64 1929.2 44365.2 204.256 7585.48
 1.6e+06 963045 -87628.5 -111943 -45137.6 14147.4 -1645.52 2152.87 49610.3 122.956 8443.41
 1.8e+06 1.07792e+06 -98211.7 -127196 -48985.7 15820.1 -1488.92 2237.56 55337.5 207.429 9238.97
 2e+06 1.19259e+06 -109003 -142266 -52706 17517.5 -1311.7 2317.36 60759 429.27 9953.73
 2e+06 1.0296e+06 -93852.6 -133777 -38580.3 16655.1 -2549.38 372.374 60747.4 169.25 9485.3
 4e+06 2.06546e+06 -197393 -275452 -58329.2 32581 -711.995 1609.13 117029 -1761.52 14022.4
 6e+06 2.83431e+06 -298419 -327178 -69025.1 48782.9 -1861.25 3488.65 152947 -9560.58 19056
 8e+06 3.35098e+06 -375106 -348731 -72383.8 62466.6 -2688.21 2961.04 173101 -15317.5 24369.6
 1e+07 4.2141e+06 -487378 -372755 -109724 77978.9 -1214.21 7533.39 186602 -20229.3 30334
 1.2e+07 5.08877e+06 -613873 -341342 -161762 95643.9 -2062.28 13711 186408 -27023.7 38627.5
 1.4e+07 5.66139e+06 -694448 -303002 -209292 106046 -3075.04 19154.4 186213 -35776.2 48223
 1.6e+07 6.35705e+06 -780497 -289189 -267249 118774 -7774.87 24912.2 199227 -40150 57257.1
 1.8e+07 6.6618e+06 -842076 -197002 -312378 129477 -15684.7 29724 196653 -50252.5 68131.7
 2e+07 7.30272e+06 -929060 -146533 -377460 141189 -23903 39473.7 216147 -62969 78201.4
 2e+07 6.0949e+06 -652198 -321682 -377110 120269 -49822.9 14435.8 256130 -83.5573 77244.9
 4e+07 1.19428e+07 -1.28302e+06 105406 -1.1966e+06 169929 -55434.1 106316 230615 -86804.1 202782
 6e+07 1.68113e+07 -983221 -400999 -2.63283e+06 76714.5 -52153.6 171867 442997 -94332.5 484363
