# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
2.54931 1.19803	1.19837	0.230018	0.22993	0.41954	0.418874	
2.56979 1.16377	1.16412	0.243336	0.243231	0.681393	0.680297	
2.59026 1.12529	1.12563	0.259355	0.259229	1.01275	1.01112	
2.61074 1.08868	1.08902	0.278019	0.277869	1.38616	1.38397	
2.63122 1.04916	1.04949	0.297343	0.297167	1.78078	1.77807	
2.65169 1.0087	1.00902	0.321146	0.32094	2.16625	2.16314	
2.67217 0.971387	0.971691	0.34641	0.34617	2.50343	2.50012	
2.69265 0.936762	0.937051	0.375144	0.374867	2.76846	2.76517	
2.71312 0.902057	0.902328	0.405041	0.404723	2.94913	2.94608	
2.7336 0.869616	0.869869	0.4362	0.435838	3.04686	3.0442	
2.75408 0.840485	0.840718	0.471894	0.471482	3.06654	3.06437	
2.77455 0.813156	0.813369	0.509984	0.509518	3.00645	3.00482	
2.79503 0.787606	0.787799	0.549562	0.549039	2.90599	2.90488	
2.8155 0.768371	0.768544	0.591915	0.591332	2.75982	2.75917	
2.83598 0.751454	0.751607	0.637775	0.637126	2.59102	2.59076	
2.85646 0.736381	0.736514	0.684762	0.684048	2.4127	2.41275	
2.87693 0.724432	0.724546	0.73466	0.733876	2.23006	2.23035	
2.89741 0.714789	0.714883	0.790284	0.789426	2.04933	2.0498	
2.91789 0.709269	0.709343	0.844673	0.843744	1.87955	1.88012	
2.93836 0.705192	0.705247	0.903476	0.902475	1.72661	1.72725	
2.95884 0.701703	0.701738	0.964616	0.963543	1.58226	1.58293	
2.97932 0.702788	0.702804	1.02649	1.02536	1.45708	1.45776	
2.99979 0.701577	0.701572	1.08975	1.08855	1.34498	1.34565	
3.02027 0.705225	0.7052	1.155	1.15374	1.24983	1.25049	
3.04074 0.710197	0.710151	1.21806	1.21676	1.16856	1.16919	
3.06122 0.715173	0.715107	1.27835	1.27703	1.09636	1.09697	
3.0817 0.722179	0.722092	1.33425	1.33291	1.03748	1.03806	
3.10217 0.730469	0.730361	1.38412	1.38279	0.987424	0.987973	
3.12265 0.738892	0.738762	1.43192	1.43061	0.947644	0.948166	
3.14313 0.749779	0.749628	1.47045	1.46917	0.910629	0.911122	
3.1636 0.758615	0.758442	1.50239	1.50117	0.882265	0.882731	
3.18408 0.769293	0.769099	1.52689	1.52573	0.862946	0.86339	
3.20456 0.783538	0.783322	1.54653	1.54545	0.84673	0.847151	
3.22503 0.792108	0.791871	1.55662	1.55563	0.830645	0.831043	
3.24551 0.808124	0.807864	1.55966	1.55876	0.819444	0.819819	
3.26598 0.821324	0.821044	1.56093	1.56013	0.811128	0.811482	
3.28646 0.834166	0.833865	1.55228	1.55159	0.806556	0.80689	
3.30694 0.84881	0.84849	1.54116	1.54057	0.804111	0.804426	
3.32741 0.863004	0.862664	1.52636	1.52587	0.799468	0.799762	
3.34789 0.876486	0.876128	1.50836	1.50797	0.79714	0.797414	
3.36837 0.892872	0.892496	1.48727	1.48696	0.799181	0.799436	
3.38884 0.907122	0.906729	1.46554	1.46533	0.802196	0.802433	
3.40932 0.922332	0.921923	1.44134	1.44121	0.8035	0.803718	
3.4298 0.938169	0.937746	1.42005	1.41999	0.806213	0.806412	
3.45027 0.952739	0.952304	1.39332	1.39333	0.811874	0.812055	
3.47075 0.967128	0.966682	1.36672	1.36679	0.815253	0.815415	
3.49123 0.98378	0.983325	1.34041	1.34055	0.818615	0.818759	
3.5117 0.997387	0.996924	1.31685	1.31704	0.826547	0.826673	
3.53218 1.01271	1.01224	1.28966	1.2899	0.832908	0.833016	
3.55265 1.02924	1.02877	1.2652	1.26548	0.834437	0.834527	
3.57313 1.04237	1.0419	1.2417	1.24201	0.84174	0.841813	
3.59361 1.0549	1.05443	1.21652	1.21687	0.845245	0.8453	
3.61408 1.06798	1.06751	1.19359	1.19396	0.852293	0.852331	
3.63456 1.08197	1.08152	1.17182	1.17221	0.860106	0.860127	
3.65504 1.0945	1.09405	1.14961	1.15002	0.863872	0.863877	
3.67551 1.10321	1.10277	1.12966	1.13008	0.875748	0.875737	
3.69599 1.11458	1.11416	1.11078	1.11121	0.879507	0.87948	
3.71647 1.12589	1.12548	1.09172	1.09216	0.884259	0.884217	
3.73694 1.13493	1.13454	1.07582	1.07626	0.892191	0.892135	
3.75742 1.14274	1.14238	1.05969	1.06014	0.904625	0.904555	
3.77789 1.14975	1.14941	1.04613	1.04658	0.906021	0.905938	
3.79837 1.15385	1.15354	1.03568	1.03613	0.914649	0.914553	
3.81885 1.15924	1.15895	1.02389	1.02434	0.92439	0.924281	
3.83932 1.16322	1.16296	1.01611	1.01656	0.931998	0.931879	
3.8598 1.16772	1.16749	1.00828	1.00872	0.936563	0.936434	
3.88028 1.16821	1.16801	1.00083	1.00127	0.944862	0.944723	
3.90075 1.1658	1.16564	0.995125	0.995564	0.951728	0.95158	
3.92123 1.16748	1.16735	0.990809	0.991245	0.965014	0.964859	
3.94171 1.16316	1.16306	0.98646	0.986892	0.969034	0.968873	
3.96218 1.16039	1.16032	0.983399	0.983827	0.977737	0.977571	
3.98266 1.15535	1.15531	0.981052	0.981476	0.984657	0.984487	
4.00314 1.14872	1.14871	0.977201	0.97762	0.989376	0.989204	
4.02361 1.14199	1.14201	0.976807	0.977222	1.00177	1.0016	
4.04409 1.1356	1.13565	0.973838	0.974247	1.0086	1.00843	
4.06456 1.12912	1.12919	0.973136	0.97354	1.01589	1.01572	
4.08504 1.12008	1.12017	0.972129	0.972528	1.02464	1.02447	
4.10552 1.11193	1.11205	0.971788	0.972182	1.03045	1.03029	
4.12599 1.10143	1.10156	0.970269	0.970658	1.03819	1.03803	
4.14647 1.09498	1.09513	0.970764	0.971147	1.04686	1.04671	
4.16695 1.08695	1.08712	0.969668	0.970045	1.04902	1.04888	
4.18742 1.07847	1.07866	0.968866	0.969237	1.05845	1.05831	
4.2079 1.07243	1.07263	0.968397	0.968763	1.06227	1.06215	
4.22838 1.06528	1.06549	0.967674	0.968033	1.06926	1.06915	
4.24885 1.05962	1.05985	0.96639	0.966743	1.07563	1.07554	
4.26933 1.05474	1.05497	0.967307	0.967654	1.07932	1.07925	
4.2898 1.04891	1.04915	0.965755	0.966095	1.08385	1.0838	
4.31028 1.04553	1.04578	0.964893	0.965226	1.08904	1.089	
4.33076 1.04279	1.04305	0.964772	0.965098	1.09153	1.09152	
4.35123 1.04024	1.04051	0.963983	0.964302	1.09916	1.09916	
4.37171 1.03662	1.03689	0.962969	0.96328	1.1016	1.10163	
4.39219 1.03362	1.0339	0.96136	0.961663	1.10445	1.1045	
4.41266 1.03294	1.03323	0.960144	0.960439	1.10498	1.10506	
4.43314 1.03173	1.03203	0.960389	0.960675	1.10815	1.10826	
4.45362 1.0294	1.0297	0.96156	0.961839	1.11044	1.11056	
4.47409 1.02869	1.029	0.958298	0.958568	1.10873	1.10889	
4.49457 1.02718	1.02749	0.960265	0.960527	1.11185	1.11203	
4.51504 1.02657	1.02689	0.95829	0.958543	1.11124	1.11145	
4.53552 1.02635	1.02667	0.957082	0.957325	1.11398	1.11422	
4.556 1.02524	1.02557	0.957503	0.957738	1.11346	1.11372	
4.57647 1.02405	1.02438	0.957427	0.957652	1.10966	1.10995	
4.59695 1.02346	1.0238	0.956922	0.957138	1.10951	1.10983	
4.61743 1.02241	1.02276	0.957753	0.95796	1.10873	1.10908	
4.6379 1.02221	1.02256	0.958538	0.958735	1.10335	1.10373	
4.65838 1.02036	1.02072	0.958794	0.958982	1.10151	1.1019	
4.67886 1.01917	1.01953	0.960397	0.960577	1.09995	1.10037	
4.69933 1.01847	1.01884	0.961094	0.961265	1.09659	1.09703	
4.71981 1.01706	1.01742	0.962001	0.962163	1.09239	1.09286	
4.74029 1.01574	1.01611	0.963235	0.96339	1.08915	1.08964	
4.76076 1.01372	1.0141	0.964345	0.964491	1.08733	1.08784	
4.78124 1.0123	1.01268	0.966191	0.96633	1.08218	1.08272	
4.80171 1.01047	1.01085	0.967696	0.967827	1.07935	1.07991	
4.82219 1.00853	1.00891	0.970554	0.970678	1.07512	1.0757	
4.84267 1.00621	1.00659	0.971274	0.971391	1.07079	1.07138	
4.86314 1.00384	1.00422	0.974217	0.974328	1.06596	1.06657	
4.88362 1.00107	1.00145	0.976373	0.976478	1.05968	1.0603	
4.9041 0.998926	0.999305	0.97882	0.97892	1.05729	1.05792	
4.92457 0.996156	0.996533	0.980641	0.980737	1.05101	1.05165	
4.94505 0.994429	0.994804	0.984201	0.984293	1.04511	1.04576	
4.96553 0.992217	0.992589	0.985815	0.985903	1.04142	1.04208	
4.986 0.989918	0.990287	0.988518	0.988603	1.03696	1.03763	
5.00648 0.985885	0.986248	0.990471	0.990554	1.02873	1.0294	
5.02695 0.984493	0.984852	0.993253	0.993334	1.02427	1.02494	
5.04743 0.981828	0.982181	0.995075	0.995155	1.02017	1.02085	
5.06791 0.97971	0.980057	0.997015	0.997094	1.0136	1.01428	
5.08838 0.977664	0.978004	1.00044	1.00052	1.00967	1.01035	
5.10886 0.976162	0.976496	1.00231	1.00239	1.00386	1.00454	
5.12934 0.973525	0.97385	1.00376	1.00384	0.998394	0.999067	
5.14981 0.971436	0.971752	1.00704	1.00712	0.993892	0.99456	
5.17029 0.969307	0.969614	1.00862	1.0087	0.989665	0.990328	
5.19077 0.968173	0.968471	1.01052	1.01061	0.983821	0.984475	
5.21124 0.966682	0.96697	1.0122	1.01229	0.979342	0.979988	
5.23172 0.964921	0.965199	1.01351	1.0136	0.973642	0.974277	
5.2522 0.963472	0.963739	1.01509	1.0152	0.969532	0.970155	
5.27267 0.963417	0.963673	1.01585	1.01596	0.963557	0.964165	
5.29315 0.962295	0.962539	1.01652	1.01663	0.96059	0.961186	
5.31362 0.962073	0.962306	1.01875	1.01887	0.95629	0.956871	
5.3341 0.960964	0.961186	1.01933	1.01945	0.951195	0.951758	
5.35458 0.961128	0.961338	1.02028	1.02041	0.946428	0.946972	
5.37505 0.96033	0.960528	1.02072	1.02086	0.942093	0.942618	
5.39553 0.961568	0.961755	1.02171	1.02186	0.936364	0.936867	
5.41601 0.960409	0.960584	1.02091	1.02106	0.932496	0.932977	
5.43648 0.961466	0.961629	1.0211	1.02126	0.928754	0.929212	
5.45696 0.962531	0.962682	1.02082	1.02098	0.926017	0.926451	
5.47744 0.9634	0.96354	1.022	1.02217	0.922974	0.923383	
5.49791 0.963851	0.963979	1.01994	1.02012	0.917409	0.917791	
5.51839 0.964651	0.964769	1.02084	1.02103	0.913742	0.914097	
5.53886 0.964937	0.965043	1.01974	1.01993	0.911934	0.912261	
5.55934 0.96654	0.966635	1.01819	1.01839	0.910392	0.910691	
5.57982 0.968491	0.968576	1.01659	1.0168	0.90922	0.909491	
5.60029 0.968745	0.96882	1.01628	1.0165	0.907095	0.907336	
5.62077 0.971691	0.971757	1.01612	1.01634	0.904696	0.904907	
5.64125 0.972547	0.972603	1.0141	1.01432	0.905082	0.905264	
5.66172 0.973822	0.97387	1.01283	1.01306	0.905021	0.905172	
5.6822 0.97547	0.975509	1.01073	1.01096	0.904986	0.905107	
