#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2922 -189.548 -331.112 -87.9328 26.9421 3.36359 3.98618 120.592 0.203698 14.9529
 4000 4476.94 -299.153 -525.33 -145.52 44.8702 1.59207 6.12545 206.552 -1.47886 27.5492
 6000 5811.19 -400.331 -706.826 -200.486 61.7672 -0.682905 8.08723 289.705 -3.27957 39.9792
 8000 7106.94 -502.866 -889.626 -254.763 78.7231 -2.78445 10.0395 372.869 -5.16454 52.4344
 10000 8391.25 -605.704 -1070.41 -309.126 95.6152 -4.92508 12.0048 455.163 -7.21893 64.8613
 12000 9640.56 -705.919 -1250.56 -362.957 112.344 -7.33369 13.9135 537.524 -9.13099 77.2731
 14000 10903.2 -806.977 -1434.22 -417.505 129.017 -9.55021 15.8812 620.103 -10.7532 89.5839
 16000 12162.7 -908.67 -1615.49 -472.118 145.774 -11.8508 17.9467 702.04 -12.4095 101.867
 18000 13429.1 -1010.75 -1796.23 -528.533 162.573 -14.1991 20.1012 783.505 -13.8828 114.272
 20000 14680.5 -1112.3 -1976.1 -583.916 179.321 -16.4608 22.1568 864.914 -15.4181 126.594
 20000 14543.6 -1108.35 -1948.65 -574.831 178.815 -17.2301 22.2356 861.008 -18.1353 126.271
 40000 27033.8 -2131.15 -3729.37 -1115.69 349.185 -40.758 41.8709 1669.5 -34.7191 247.517
 60000 39288.5 -3154.26 -5459.23 -1642.65 520.665 -66.4835 60.9571 2471.63 -53.0315 368.269
 80000 51544.7 -4168.4 -7202.77 -2175.49 689.128 -88.7398 80.2824 3268.72 -71.3664 490.302
 100000 63909.5 -5197.65 -8959.47 -2705.17 859.069 -106.821 99.4371 4065.77 -91.9517 612.279
 120000 76345.7 -6235.89 -10668.2 -3262.12 1030.3 -128.838 119.99 4841.37 -105.071 734.069
 140000 88427.8 -7243.67 -12353 -3787.85 1199.59 -155.789 139.768 5624.62 -123.237 852.54
 160000 100410 -8245.1 -14036.4 -4301.7 1367.53 -182.248 159.848 6407.88 -142.329 967.9
 180000 112225 -9223.16 -15703.9 -4814.91 1532.63 -210.392 178.998 7191.06 -162.933 1084.12
 200000 124037 -10221.4 -17360.6 -5307.7 1702.08 -243.201 199.196 7988.11 -187.248 1197.79
 200000 123359 -10345.4 -17156.2 -5110.23 1743.58 -262.437 184.309 8030.82 -234.288 1204.57
 400000 243875 -20532.1 -34455.6 -10002.7 3464.57 -530.372 372.424 16070.2 -422.26 2333.5
 600000 361698 -29959.3 -51835.2 -15192.4 5078.45 -912.916 592.043 24298.7 -533.338 3424.11
 800000 485398 -40003.9 -69753.1 -20592.4 6798.22 -1297.84 814.335 32575.6 -551.811 4502.9
 1e+06 612626 -50344.2 -87330.3 -26571.8 8587.36 -1832.71 1082.18 40943.8 -470.817 5598.25
 1.2e+06 735638 -59976.6 -104355 -32933.5 10280.6 -2408.98 1350.54 49037.3 -320.756 6759.02
 1.4e+06 868692 -70574.8 -122554 -39683.8 12058 -2787.73 1612.3 57037.5 -91.6668 7971.81
 1.6e+06 1.00471e+06 -81483.8 -140651 -46910.7 13902.9 -3302.14 1943.35 65366.4 144.249 9202.54
 1.8e+06 1.13798e+06 -91933.8 -158946 -53939 15776.1 -4032.45 2258.24 74291.5 348.678 10412.8
 2e+06 1.27129e+06 -102810 -177278 -60380.6 17719.6 -4721.75 2536.56 83143.8 597.44 11511.3
 2e+06 1.28961e+06 -101111 -189669 -60002.9 16652.4 -2742.82 2572.09 83685.2 320.651 11498.3
 4e+06 2.61451e+06 -215120 -373995 -113051 36769.9 -7918.12 4667.29 169682 1616.92 21308.5
 6e+06 3.8214e+06 -313605 -534277 -173561 52956.4 -9289.36 6169.6 227260 8787.31 30332.8
 8e+06 5.06575e+06 -419539 -683778 -239470 69129.7 -9452.22 8899.15 279979 14648.9 39529.4
 1e+07 6.41872e+06 -530101 -857612 -311882 86998.5 -14215.1 13306.3 358463 17296.3 50029.6
 1.2e+07 7.58021e+06 -625699 -1.00109e+06 -376264 104090 -20797.3 16090.9 429491 19565.8 61149.2
 1.4e+07 8.29454e+06 -680958 -1.04663e+06 -448501 115305 -30362.3 19282.1 465596 23173.4 72859.1
 1.6e+07 9.28775e+06 -760356 -1.14434e+06 -522856 128099 -35594.3 23565.9 514632 25555.9 84126.8
 1.8e+07 1.05463e+07 -888179 -1.26134e+06 -580145 148314 -39851.9 28643.9 577388 22382.6 93308.1
 2e+07 1.18929e+07 -1.02575e+06 -1.34124e+06 -668932 167605 -42872.8 36944.2 612241 25232.2 101914
 2e+07 1.22305e+07 -1.32858e+06 -771961 -654984 215233 -64693.9 56839.1 450805 13759.5 74469.1
 4e+07 2.75204e+07 -3.36771e+06 -1.09369e+06 -1.29564e+06 539228 -106395 115218 687488 11473.4 154004
 6e+07 4.28378e+07 -5.39087e+06 -1.84177e+06 -1.69162e+06 784054 34088.3 175483 734862 -40783.1 197905
 8e+07 5.10713e+07 -6.16377e+06 -3.30155e+06 -1.71142e+06 895838 93784 166610 1.15115e+06 -17863.2 201042
 1e+08 4.77595e+07 -4.66097e+06 -6.2307e+06 -1.29198e+06 636347 171147 123625 2.14166e+06 -1506.17 146920
 1.2e+08 2.6272e+07 -2.5997e+06 -3.5086e+06 -608763 535807 -262415 18419.5 2.04365e+06 18558.6 119124
