# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -10733.7
200000 -10733.9
300000 -10733.1
400000 -10735.4
500000 -10741.3
600000 -10732.7
700000 -10735.6
800000 -10737.9
900000 -10730.6
1000000 -10735.1
1100000 -10738.9
1200000 -10735.7
1300000 -10739.4
1400000 -10739.4
1500000 -10733.1
1600000 -10738.9
1700000 -10733.7
1800000 -10737.1
1900000 -10738.1
2000000 -10732.7
2100000 -10735.7
2200000 -10737.4
2300000 -10733
2400000 -10734.9
2500000 -10731.2
2600000 -10732.7
2700000 -10741.6
2800000 -10738.5
2900000 -10736.7
3000000 -10739.5
3100000 -10732.4
3200000 -10739
3300000 -10743.6
3400000 -10738.5
3500000 -10735.3
3600000 -10732.3
3700000 -10741.7
3800000 -10725.7
3900000 -10733.1
4000000 -10731
4100000 -10731.7
4200000 -10731.4
4300000 -10735.8
4400000 -10732.7
4500000 -10734.6
4600000 -10734.6
4700000 -10737.3
4800000 -10733
4900000 -10740.6
5000000 -10738.3
5100000 -10734
5200000 -10730.8
5300000 -10738.5
5400000 -10738.6
5500000 -10735.8
5600000 -10728.1
5700000 -10732.3
5800000 -10735.8
5900000 -10740.1
6000000 -10741.7
6100000 -10731.3
6200000 -10726.9
6300000 -10739.2
6400000 -10734.2
6500000 -10732.3
6600000 -10740.7
6700000 -10731.4
6800000 -10733.3
6900000 -10734
7000000 -10731.8
7100000 -10734
7200000 -10731.9
7300000 -10737.9
7400000 -10734.7
7500000 -10731.1
7600000 -10737.4
7700000 -10734.4
7800000 -10730.2
7900000 -10739.7
8000000 -10738.8
8100000 -10738.6
8200000 -10736.1
8300000 -10732.8
8400000 -10739.6
8500000 -10737.3
8600000 -10737.5
8700000 -10737.7
8800000 -10732.9
8900000 -10731.7
9000000 -10730.6
9100000 -10736.2
9200000 -10734
9300000 -10736.2
9400000 -10731.7
9500000 -10737.5
9600000 -10733.2
9700000 -10728.8
9800000 -10734.7
9900000 -10734.9
10000000 -10734.6
10100000 -10733.8
10200000 -10734.5
10300000 -10734.7
10400000 -10731
10500000 -10728.7
10600000 -10730.3
10700000 -10727.8
10800000 -10733
10900000 -10739.9
11000000 -10736.1
11100000 -10731.8
11200000 -10736.6
11300000 -10735
11400000 -10730.3
11500000 -10738.1
11600000 -10737.4
11700000 -10735
11800000 -10732.7
11900000 -10730.5
12000000 -10728.8
12100000 -10735.7
12200000 -10736.9
12300000 -10729.1
12400000 -10729.6
12500000 -10733.1
12600000 -10736.1
12700000 -10737.1
12800000 -10735.5
12900000 -10728.5
13000000 -10734.4
13100000 -10729.8
13200000 -10732.2
13300000 -10732.9
13400000 -10730.6
13500000 -10735.3
13600000 -10729.5
13700000 -10732
13800000 -10735.7
13900000 -10731.4
14000000 -10736.1
14100000 -10737.3
14200000 -10734.5
14300000 -10730.6
14400000 -10729.2
14500000 -10735.4
14600000 -10729.9
14700000 -10738
14800000 -10734
14900000 -10737
15000000 -10735.6
15100000 -10731.8
15200000 -10734
15300000 -10730.2
15400000 -10734.1
15500000 -10736.7
15600000 -10734.1
15700000 -10728.8
15800000 -10727.7
15900000 -10735.3
16000000 -10740.7
16100000 -10737.4
16200000 -10726.1
