#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2807.22 -124.417 -231.641 -187.036 30.7105 2.47229 -4.75622 36.1908 3.33751 74.7129
 4000 4661.31 -217.228 -405.41 -311.89 51.3987 6.0944 -8.22422 64.316 1.19202 136.44
 6000 6397.67 -308.936 -577.79 -432.367 71.487 9.82902 -11.3297 92.0391 -1.09765 196.449
 8000 8072.32 -398.248 -747.458 -553.02 91.2914 13.4058 -14.3301 119.138 -3.0899 255.608
 10000 9773.39 -489.715 -921.547 -676.662 111.107 17.2289 -17.2651 146.556 -4.63054 314.687
 12000 11418.9 -577.982 -1091.49 -796.864 130.62 20.8843 -20.4392 173.637 -6.51276 373.689
 14000 13071.2 -668.179 -1262.74 -916.408 150.42 24.5664 -23.6258 200.95 -8.21807 432.525
 16000 14712.1 -759.697 -1430.94 -1034.83 170.166 28.3471 -26.5344 227.803 -10.4581 491.062
 18000 16333.4 -848.427 -1598.4 -1151.97 189.79 31.9779 -29.6119 254.757 -12.9057 549.635
 20000 17951.9 -937.187 -1764.69 -1270.85 209.508 35.5352 -32.5608 281.536 -15.3678 608.516
 20000 18004.9 -927.706 -1776.29 -1266.89 208.921 35.6805 -34.3993 282.885 -14.6567 606.235
 40000 34185.2 -1839.79 -3435.27 -2473.07 400.265 74.9229 -58.4697 547.428 -33.4821 1185.5
 60000 50776.6 -2802.91 -5123.39 -3686.34 601.406 119.272 -87.4138 812.451 -50.4898 1770.86
 80000 67129.3 -3743.89 -6773.96 -4916.54 793.561 166.576 -117.393 1070.65 -72.0429 2370.16
 100000 83679.2 -4715.45 -8434.53 -6167.07 992.709 214.183 -145.071 1330.02 -92.0266 2972.57
 120000 100542 -5711.35 -10107.7 -7434.21 1192.31 262.897 -169.51 1585.97 -106.303 3562.82
 140000 116481 -6665.1 -11701.9 -8615.95 1395.17 304.26 -196.377 1837.26 -124.833 4133.5
 160000 131975 -7582.65 -13241.8 -9812.39 1595.76 343.579 -228.082 2079.71 -140.407 4711.57
 180000 148162 -8517.43 -14824.5 -11128 1790.32 383.572 -248.971 2325.94 -150.984 5304.09
 200000 164115 -9404.83 -16411.1 -12446 1979.34 418.961 -266.632 2577.27 -164.619 5906.93
 200000 171777 -9648.74 -17036.7 -13698.1 1946.01 452.507 -195.474 2587.35 8.47035 5894.56
 400000 326867 -19000.6 -32697.8 -24437.8 3941.46 890.045 -551.191 5044.97 -241.737 11458.8
 600000 464067 -27260.7 -47147.7 -32695.4 5715.77 1272.76 -882.867 7413.26 -648.632 16329.9
 800000 588277 -36037.1 -60118.9 -38402.6 7541.44 1737.5 -1320.37 9541.94 -1196.73 20696.5
 1e+06 707237 -44863.9 -72419.7 -43687.6 9419.75 2233.25 -1878.24 11506.4 -1656.27 24877.2
 1.2e+06 844824 -54303.2 -86643.8 -51027.8 11307 2725.13 -2137.53 13770.2 -2065.86 29292.5
 1.4e+06 987078 -63598.5 -102306 -56670.8 13266.4 3252.73 -2693.67 16210.1 -2403.99 33311.4
 1.6e+06 1.12548e+06 -73155.5 -117440 -61733.3 15220.3 3805.68 -3190.48 18650.3 -2980.34 37573.1
 1.8e+06 1.26921e+06 -83377.6 -132320 -68464.8 17201.4 4380.62 -3482.34 21004.3 -3508.21 42058.9
 2e+06 1.42468e+06 -93904.8 -148713 -75959.3 19051 5029.86 -3645.88 23527.6 -3916.09 46368
 2e+06 1.63535e+06 -109276 -174054 -78589.8 19481.3 7397.04 -3650.75 26360.2 -4055.29 48255.3
 4e+06 3.03262e+06 -171458 -322379 -191958 33161.7 8171.45 -1532.12 49797.8 -1571.35 85158.2
 6e+06 4.67223e+06 -252224 -480651 -356441 49343.1 9666.07 2628.93 72820 5632.71 128487
 8e+06 6.56243e+06 -363310 -686403 -458975 62509.4 19685.7 3112.85 101262 5583.99 169675
 1e+07 8.4779e+06 -455859 -875721 -640067 73590.5 26889.5 6402.03 122503 20486.7 202090
 1.2e+07 9.87637e+06 -528052 -1.01363e+06 -767308 87976.9 29337.6 7643.84 141120 28260.8 233356
 1.4e+07 1.11165e+07 -609397 -1.12327e+06 -882599 103127 31565.1 11948.9 156023 33397.2 261799
 1.6e+07 1.1495e+07 -665172 -1.13958e+06 -909734 122103 29666.4 9586.33 158686 36668.5 268248
 1.8e+07 1.17836e+07 -720173 -1.11935e+06 -988957 140243 27498.7 8634.81 154852 40976.8 291701
 2e+07 1.19639e+07 -817474 -1.0471e+06 -1.08465e+06 162150 26649.6 16296 142124 43316.8 313352
 2e+07 1.31642e+07 -853502 -1.0688e+06 -1.45652e+06 144600 32766.1 43504.5 108910 121352 234152
 4e+07 2.90545e+07 -2.84742e+06 -2.16621e+06 -2.16276e+06 416582 180621 71031.1 185061 153924 402851
 6e+07 4.90905e+07 -3.81153e+06 -4.33543e+06 -3.54405e+06 621282 270839 -75557.8 412596 344400 729016
