#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.23662e+09 6.23461e+09 6.24867e+09 6.23393e+09 6.24299e+09 6.24462e+09 6.24051e+09 6.24029e+09 1.1208e+10
 40 1.9476e+10 1.94706e+10 1.95205e+10 1.94669e+10 1.94945e+10 1.9509e+10 1.94901e+10 1.94897e+10 4.10807e+10
 60 3.44491e+10 3.44477e+10 3.45324e+10 3.44269e+10 3.44852e+10 3.4522e+10 3.4478e+10 3.44774e+10 8.47346e+10
 80 4.94447e+10 4.94454e+10 4.95537e+10 4.93882e+10 4.94981e+10 4.95638e+10 4.94834e+10 4.94825e+10 1.38639e+11
 100 6.43882e+10 6.43724e+10 6.45052e+10 6.42762e+10 6.445e+10 6.45532e+10 6.44265e+10 6.44246e+10 1.99922e+11
 120 7.97348e+10 7.97005e+10 7.98565e+10 7.95603e+10 7.97995e+10 7.99457e+10 7.97685e+10 7.97667e+10 2.6625e+11
 140 9.59634e+10 9.59252e+10 9.61026e+10 9.57246e+10 9.6032e+10 9.62167e+10 9.59911e+10 9.59935e+10 3.36051e+11
 160 1.13246e+11 1.13223e+11 1.13418e+11 1.12945e+11 1.13321e+11 1.13534e+11 1.13267e+11 1.13278e+11 4.08268e+11
 180 1.31371e+11 1.31379e+11 1.31578e+11 1.31025e+11 1.3146e+11 1.31688e+11 1.31391e+11 1.31412e+11 4.81796e+11
 200 1.50024e+11 1.50083e+11 1.50264e+11 1.49661e+11 1.50145e+11 1.5037e+11 1.50059e+11 1.50085e+11 5.55517e+11
 200 1.49989e+11 1.50114e+11 1.5024e+11 1.49666e+11 1.50076e+11 1.50573e+11 1.50105e+11 1.50109e+11 5.55296e+11
 400 3.55991e+11 3.57189e+11 3.56772e+11 3.551e+11 3.56361e+11 3.56498e+11 3.55986e+11 3.56252e+11 1.21274e+12
 600 5.80551e+11 5.83099e+11 5.82712e+11 5.78676e+11 5.81495e+11 5.81962e+11 5.80711e+11 5.81275e+11 1.59636e+12
 800 8.14181e+11 8.17285e+11 8.18317e+11 8.1088e+11 8.15365e+11 8.15705e+11 8.13983e+11 8.15028e+11 1.63313e+12
 1000 1.05218e+12 1.05597e+12 1.05853e+12 1.04685e+12 1.05437e+12 1.0546e+12 1.05194e+12 1.05339e+12 1.4267e+12
 1200 1.2915e+12 1.29707e+12 1.30113e+12 1.28452e+12 1.29616e+12 1.29715e+12 1.29261e+12 1.29419e+12 1.18579e+12
 1400 1.53214e+12 1.53851e+12 1.54532e+12 1.52403e+12 1.5396e+12 1.54205e+12 1.53523e+12 1.5366e+12 1.04652e+12
 1600 1.77393e+12 1.78155e+12 1.79022e+12 1.76448e+12 1.7832e+12 1.78841e+12 1.7787e+12 1.77998e+12 1.03238e+12
 1800 2.01553e+12 2.02537e+12 2.03568e+12 2.00602e+12 2.02738e+12 2.03595e+12 2.02312e+12 2.02408e+12 1.10169e+12
 2000 2.25819e+12 2.27009e+12 2.28244e+12 2.24836e+12 2.27158e+12 2.28436e+12 2.2681e+12 2.26896e+12 1.19145e+12
 2000 2.25078e+12 2.24436e+12 2.2677e+12 2.23586e+12 2.2822e+12 2.297e+12 2.27169e+12 2.26472e+12 1.18073e+12
 4000 4.71142e+12 4.70626e+12 4.75259e+12 4.68454e+12 4.73571e+12 4.79429e+12 4.73818e+12 4.73228e+12 1.24945e+12
 6000 7.19494e+12 7.19537e+12 7.26346e+12 7.17301e+12 7.18861e+12 7.30374e+12 7.22179e+12 7.22024e+12 1.30753e+12
 8000 9.71987e+12 9.69028e+12 9.82747e+12 9.67288e+12 9.66773e+12 9.79521e+12 9.71194e+12 9.72551e+12 1.37943e+12
 10000 1.22301e+13 1.21812e+13 1.23793e+13 1.21716e+13 1.2202e+13 1.22664e+13 1.22133e+13 1.22334e+13 1.44317e+12
 12000 1.47311e+13 1.46702e+13 1.49168e+13 1.46689e+13 1.4709e+13 1.47695e+13 1.47158e+13 1.47386e+13 1.49919e+12
 14000 1.72474e+13 1.71746e+13 1.744e+13 1.71714e+13 1.72135e+13 1.72554e+13 1.72135e+13 1.7243e+13 1.55427e+12
 16000 1.98258e+13 1.9703e+13 1.99432e+13 1.967e+13 1.97236e+13 1.97448e+13 1.97128e+13 1.97573e+13 1.61217e+12
 18000 2.24314e+13 2.22612e+13 2.24473e+13 2.21684e+13 2.22299e+13 2.22016e+13 2.22e+13 2.2272e+13 1.67629e+12
 20000 2.51109e+13 2.48245e+13 2.49706e+13 2.46879e+13 2.46885e+13 2.46452e+13 2.46739e+13 2.47918e+13 1.73045e+12
 20000 2.45578e+13 2.44366e+13 2.52562e+13 2.50441e+13 2.48199e+13 2.49395e+13 2.49345e+13 2.48608e+13 1.7589e+12
 40000 5.08612e+13 4.95424e+13 5.04306e+13 4.90807e+13 5.11361e+13 4.92261e+13 4.98143e+13 4.99998e+13 2.37286e+12
 60000 7.6272e+13 7.3342e+13 7.43762e+13 7.44405e+13 7.60009e+13 7.33303e+13 7.45906e+13 7.46197e+13 2.96084e+12
 80000 1.00894e+14 9.83655e+13 9.83392e+13 1.0054e+14 9.83726e+13 9.85855e+13 9.91661e+13 9.91795e+13 3.45174e+12
 100000 1.27036e+14 1.23918e+14 1.23193e+14 1.27181e+14 1.18544e+14 1.24771e+14 1.23499e+14 1.23985e+14 3.96314e+12
 120000 1.53412e+14 1.48473e+14 1.47559e+14 1.52866e+14 1.38416e+14 1.51848e+14 1.4771e+14 1.48552e+14 4.48335e+12
 140000 1.79225e+14 1.73908e+14 1.71432e+14 1.79488e+14 1.57515e+14 1.78895e+14 1.71966e+14 1.73121e+14 5.04275e+12
 160000 2.05791e+14 1.99747e+14 1.96231e+14 2.05566e+14 1.773e+14 2.05785e+14 1.96217e+14 1.97966e+14 5.53361e+12
 180000 2.32315e+14 2.25201e+14 2.20342e+14 2.3206e+14 1.96544e+14 2.32847e+14 2.20483e+14 2.22671e+14 6.06385e+12
 200000 2.58719e+14 2.50398e+14 2.44724e+14 2.58636e+14 2.16603e+14 2.60082e+14 2.45107e+14 2.47577e+14 6.67835e+12
 200000 2.75197e+14 2.37849e+14 2.52679e+14 2.52549e+14 2.04271e+14 2.53137e+14 2.36652e+14 2.44088e+14 6.37002e+12
 400000 5.55311e+14 4.9412e+14 5.0315e+14 4.68564e+14 4.36908e+14 5.16894e+14 4.74122e+14 4.91484e+14 1.10057e+13
 600000 8.36719e+14 7.44877e+14 6.96746e+14 6.80833e+14 6.6055e+14 7.27986e+14 6.8979e+14 7.17653e+14 1.64343e+13
 800000 1.11951e+15 9.64769e+14 8.84778e+14 9.56419e+14 9.03516e+14 9.28727e+14 9.29554e+14 9.53607e+14 2.12432e+13
 1e+06 1.38435e+15 1.17286e+15 1.14368e+15 1.26303e+15 1.14802e+15 1.17433e+15 1.19513e+15 1.21053e+15 2.66613e+13
 1.2e+06 1.64859e+15 1.35913e+15 1.4022e+15 1.52789e+15 1.42187e+15 1.38188e+15 1.44388e+15 1.45432e+15 3.10438e+13
 1.4e+06 1.88518e+15 1.53364e+15 1.64395e+15 1.76926e+15 1.70568e+15 1.57722e+15 1.68405e+15 1.68547e+15 3.64172e+13
 1.6e+06 2.06613e+15 1.7134e+15 1.935e+15 2.05165e+15 1.98251e+15 1.79949e+15 1.94455e+15 1.92867e+15 4.17966e+13
 1.8e+06 2.2159e+15 1.8958e+15 2.15362e+15 2.32821e+15 2.26349e+15 2.03311e+15 2.20827e+15 2.16034e+15 4.60996e+13
 2e+06 2.33672e+15 2.05267e+15 2.33002e+15 2.54109e+15 2.56353e+15 2.26035e+15 2.45499e+15 2.36891e+15 5.00825e+13
