#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 7389.26 40.8945 48.1692 37.2983
 4000 12225.7 68.1396 82.079 58.9447
 6000 16862 94.3321 114.749 79.2566
 8000 21453.4 120.142 147.053 99.2327
 10000 26072.4 146.089 179.361 119.33
 12000 30652.4 171.666 211.253 139.26
 14000 35277.5 197.435 243.42 159.336
 16000 39850.3 222.881 275.205 179.145
 18000 44448.5 248.462 307.074 198.852
 20000 49060 274.118 339.018 218.785
 20000 49122.1 274.282 338.999 218.451
 40000 95046.8 529.299 655.634 415.578
 60000 141083 785.072 972.951 615.848
 80000 186892 1039.11 1289.16 815.453
 100000 232750 1294.13 1606.13 1013.36
 120000 278606 1549.83 1921.22 1207.92
 140000 324691 1805.72 2238.84 1402.96
 160000 370478 2061.13 2554.35 1597.5
 180000 416456 2318.92 2870.69 1795.03
 200000 462357 2575.69 3187.9 1994.24
 200000 462348 2563.4 3184.02 1994.44
 400000 921054 5131.96 6343.06 4017.3
 600000 1.37917e+06 7699.74 9503.9 6059.01
 800000 1.83821e+06 10319.6 12637.2 8003.46
 1e+06 2.29723e+06 12958.1 15806.3 9938.3
 1.2e+06 2.75646e+06 15651.3 18949.3 11835.1
 1.4e+06 3.21742e+06 18353.1 22057.8 13769
 1.6e+06 3.67779e+06 21035.7 25160.1 15723.8
 1.8e+06 4.13823e+06 23714 28265 17699.4
 2e+06 4.59804e+06 26408.5 31348.6 19651.7
 2e+06 4.58851e+06 26456.5 31335.5 20511.4
 4e+06 9.20945e+06 53039.6 60818 39578
 6e+06 1.38442e+07 81151.1 90247.3 57966.4
 8e+06 1.84564e+07 108828 120620 76345.6
 1e+07 2.30369e+07 136971 148992 93798
 1.2e+07 2.75603e+07 163981 178199 110530
 1.4e+07 3.2033e+07 190468 206988 126496
 1.6e+07 3.65892e+07 217950 232781 146268
 1.8e+07 4.11447e+07 245301 259213 165325
 2e+07 4.56908e+07 273452 284754 186513
 2e+07 4.63864e+07 270841 287865 173293
 4e+07 9.2405e+07 579383 553963 518887
 6e+07 1.38488e+08 889166 858073 981963
