#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2407.09 -121.691 -185.259 -153.204 25.7026 3.35025 -0.168332 31.0492 -3.45655 72.7473
 4000 4232.42 -215.675 -353.747 -280.323 46.0804 6.91691 -2.5691 58.541 -5.93844 134.895
 6000 5973.72 -308.389 -523.962 -405.804 66.0555 10.4576 -4.68622 85.9303 -8.22841 195.127
 8000 7653.94 -398.696 -693.436 -526.429 86.0561 13.7842 -7.06413 113.259 -10.8091 255.031
 10000 9333.58 -491.275 -863.993 -649.025 106.141 17.275 -9.08799 140.908 -13.4036 314.57
 12000 11002 -584.19 -1034.58 -771.502 126.251 20.8107 -11.0562 168.473 -15.8211 373.724
 14000 12647.5 -676.206 -1203.57 -893.642 146.209 24.2773 -13.0504 195.793 -17.9582 432.335
 16000 14308 -769.624 -1372.6 -1017.27 166.535 27.7547 -14.9696 223.093 -20.2084 491.083
 18000 15946.1 -863.719 -1539.45 -1136.71 186.76 31.3636 -16.9182 250.065 -22.6974 549.007
 20000 17595.5 -957.487 -1707.68 -1257.37 206.781 34.9857 -18.6466 277.275 -25.3535 607.502
 20000 17710.7 -944.084 -1720.02 -1289.11 203 36.5974 -20.9468 279.289 -24.7644 614.532
 40000 34279.6 -1889.72 -3408.75 -2502.22 399.835 72.3382 -31.8371 554.299 -54.1622 1200.79
 60000 50996.2 -2845.17 -5127.4 -3659.01 594.526 111.994 -43.0434 829.121 -81.9667 1759.07
 80000 67702.8 -3805.85 -6869.44 -4796.65 788.773 150.522 -49.2012 1111.22 -107.428 2294.79
 100000 84591.8 -4761.9 -8595.48 -6033 978.873 186.889 -45.8465 1387.35 -126.148 2843.55
 120000 100890 -5708.05 -10263.9 -7213.01 1171.51 222.707 -45.8406 1657.6 -150.197 3386.36
 140000 117310 -6649.16 -11935.8 -8409.21 1369.7 259.576 -60.8625 1924.04 -168.39 3944.26
 160000 133643 -7548.19 -13600.5 -9661.03 1564.17 293.56 -78.8251 2189.98 -182.873 4520.37
 180000 149670 -8459.61 -15238.8 -10865 1761.25 327.942 -96.6648 2454.12 -201.128 5085.13
 200000 165731 -9348.38 -16864.1 -12136.5 1956.26 358.518 -109.619 2715.06 -212.927 5653.46
 200000 160038 -8611.21 -16325.2 -12320.1 1901.11 276.632 -134.43 2643.27 -105.332 5471.3
 400000 325323 -18459.3 -32390.5 -25461.1 3888.94 664.826 -178.459 5153.41 -211.746 11134.1
 600000 482363 -27176.2 -48838.9 -36263.9 5814.01 1019.31 -487.27 7813.53 -454.194 16580.4
 800000 642097 -36528.9 -65945.9 -45639.7 7820.79 1447.71 -827.149 10553.5 -760.871 21705.3
 1e+06 780527 -45038.3 -80468.6 -54221.6 9811.4 1859.62 -1434.64 12923.5 -1152.72 27132.1
 1.2e+06 920878 -54105.4 -95426.9 -61672.7 11631 2444.97 -1977.26 15277.7 -1587.71 32096.7
 1.4e+06 1.07247e+06 -63374.9 -111821 -69714.8 13349.4 3184.44 -2641.57 17771.8 -2051.36 37548.2
 1.6e+06 1.24445e+06 -74274.3 -129882 -79252.4 15172 4084.21 -3211.31 20357.5 -2325.12 42963.3
 1.8e+06 1.41204e+06 -84393.6 -147225 -90051.9 16820.6 4926.08 -3681.8 22863.6 -2594.2 48739.6
 2e+06 1.57849e+06 -93149.2 -164566 -102620 18358 5582.82 -4080.6 25383.2 -2630.36 54642.5
 2e+06 1.40477e+06 -95608.7 -139146 -89364.2 18780.2 5187.12 -2717.92 21222.3 -2306.61 46202.6
 4e+06 2.47005e+06 -165024 -230277 -194157 35456.7 6438.48 -3745.77 38701.3 -9430.6 107963
 6e+06 3.32546e+06 -204963 -317028 -271611 49153.4 6674.55 -9463.39 56261.7 -16955.7 167233
 8e+06 3.64145e+06 -218759 -350326 -300690 61390.8 4585.55 -17677.4 67547.2 -27328 217387
 1e+07 3.88298e+06 -231645 -374138 -320169 72968.3 911.198 -21974.7 79083.8 -39744.3 262013
 1.2e+07 3.94748e+06 -241954 -392682 -286142 83186.2 -1485.44 -27754.3 89671 -54013.4 291599
 1.4e+07 4.34109e+06 -271867 -422185 -327874 91149.5 -2815.24 -24923.2 96797.2 -57298.2 312429
 1.6e+07 5.52657e+06 -351597 -532668 -421187 97725.5 4827.02 -20872.3 110039 -56074.4 341126
 1.8e+07 6.10459e+06 -418830 -565066 -475924 102112 10881.8 -14593.7 114169 -62128.5 368227
 2e+07 6.5084e+06 -463535 -581636 -529488 100111 14150.9 -1428.57 116815 -66902.3 381079
 2e+07 4.67157e+06 -573446 -138216 -680546 134520 -4048.29 33552.7 49157.8 -55930.1 362039
 4e+07 1.0465e+07 -508039 -932312 -1.24577e+06 69902.8 44938.5 -9450.17 131362 -3384.5 529580
 6e+07 2.17006e+07 -2.01243e+06 -1.98352e+06 -943867 260598 166452 15068.6 267575 -92790.9 580692
