#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 7243.62 39.7025 47.5633 30.9478
 4000 12070.6 66.9401 81.5351 52.3945
 6000 16693.1 93.11 114.225 72.7636
 8000 21300.5 119.097 146.773 92.9456
 10000 25918 145.054 179.263 113.063
 12000 30531.6 170.881 211.608 133.031
 14000 35100.9 196.365 243.548 152.96
 16000 39732.2 222.162 275.793 172.903
 18000 44313.7 247.612 307.666 192.607
 20000 48932.8 273.3 339.71 212.368
 20000 48714.1 272.104 337.962 212.669
 40000 94801.2 526.87 657.975 408.972
 60000 140706 780.793 974.622 601.424
 80000 186716 1033.5 1293.9 792.936
 100000 232687 1284.62 1612.26 984.972
 120000 278644 1537.01 1931.77 1176.01
 140000 324521 1788.9 2253.56 1366.77
 160000 370423 2040.1 2575.75 1560.38
 180000 416263 2293.02 2898.84 1752.82
 200000 462077 2544.84 3224.49 1942.05
 200000 462355 2548 3225.83 1924.39
 400000 920346 5068.74 6496.52 3811.92
 600000 1.3772e+06 7621.65 9779.92 5740.49
 800000 1.8335e+06 10199.6 13048.3 7615.3
 1e+06 2.29077e+06 12787.9 16302.5 9502.27
 1.2e+06 2.74795e+06 15417.9 19595.3 11356.7
 1.4e+06 3.20577e+06 18014 22835.4 13203.9
 1.6e+06 3.66202e+06 20576.6 26014.5 15070.9
 1.8e+06 4.1162e+06 23169.3 29226.5 16922.7
 2e+06 4.57061e+06 25730.6 32389.4 18757.7
 2e+06 4.5769e+06 25553.7 32502.6 19212.3
 4e+06 9.12984e+06 51522.9 62323.7 36929
 6e+06 1.36365e+07 77393 91681.4 52979.2
 8e+06 1.81243e+07 103631 120782 67861.2
 1e+07 2.26365e+07 129392 149313 80843.4
 1.2e+07 2.70908e+07 156447 177809 91640.3
 1.4e+07 3.14942e+07 183462 209007 103997
 1.6e+07 3.59314e+07 210976 240922 116615
 1.8e+07 4.03187e+07 236651 274975 129227
 2e+07 4.474e+07 263509 310955 139768
 2e+07 4.45886e+07 250704 283005 111190
 4e+07 8.77406e+07 510378 620586 209367
 6e+07 1.33183e+08 807265 943655 398996
