# Radius 	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	finiterdf__O_Water_H_Water	rdf__O_Water_H_Water	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	
2.7336 3.04659	3.04393	0.437473	0.43711	0.869685	0.869937	
2.75408 3.06432	3.06216	0.4724	0.471988	0.839356	0.839589	
2.77455 3.01275	3.01111	0.509382	0.508917	0.81272	0.812933	
2.79503 2.90576	2.90465	0.550399	0.549876	0.78928	0.789474	
2.8155 2.7607	2.76005	0.592388	0.591804	0.768665	0.768838	
2.83598 2.59169	2.59143	0.637077	0.636429	0.750879	0.751032	
2.85646 2.41246	2.41252	0.684676	0.683961	0.736452	0.736585	
2.87693 2.22628	2.22657	0.735422	0.734637	0.724586	0.724699	
2.89741 2.05009	2.05055	0.788393	0.787537	0.714862	0.714956	
2.91789 1.87983	1.8804	0.844712	0.843783	0.70874	0.708815	
2.93836 1.72257	1.72321	0.902973	0.901971	0.704044	0.704099	
2.95884 1.58325	1.58392	0.964474	0.963401	0.702274	0.702309	
2.97932 1.45833	1.45901	1.02641	1.02527	0.70123	0.701245	
2.99979 1.34706	1.34774	1.09081	1.08961	0.703374	0.703369	
3.02027 1.24965	1.25031	1.1542	1.15294	0.705688	0.705663	
3.04074 1.16771	1.16835	1.21654	1.21524	0.710027	0.709982	
3.06122 1.09958	1.10019	1.27614	1.27482	0.715782	0.715716	
3.0817 1.03931	1.03989	1.33249	1.33115	0.722879	0.722792	
3.10217 0.988137	0.988686	1.38473	1.38339	0.730144	0.730036	
3.12265 0.946135	0.946656	1.43171	1.43039	0.739744	0.739614	
3.14313 0.912933	0.913427	1.47084	1.46956	0.748643	0.748492	
3.1636 0.886406	0.886875	1.50242	1.50119	0.75981	0.759637	
3.18408 0.861421	0.861864	1.52822	1.52706	0.770301	0.770107	
3.20456 0.843482	0.843902	1.54621	1.54513	0.781915	0.781699	
3.22503 0.829736	0.830133	1.55688	1.55588	0.79469	0.794453	
3.24551 0.819035	0.819411	1.56197	1.56107	0.8067	0.806441	
3.26598 0.811348	0.811703	1.55984	1.55904	0.820496	0.820216	
3.28646 0.806441	0.806776	1.55366	1.55297	0.833499	0.8332	
3.30694 0.802027	0.802341	1.54163	1.54104	0.847776	0.847456	
3.32741 0.800036	0.80033	1.52641	1.52592	0.862499	0.862159	
3.34789 0.799137	0.799411	1.50906	1.50867	0.87733	0.876971	
3.36837 0.800484	0.80074	1.48782	1.48751	0.892746	0.89237	
3.38884 0.800478	0.800714	1.46555	1.46534	0.906989	0.906597	
3.40932 0.804414	0.804632	1.44128	1.44115	0.922446	0.922038	
3.4298 0.806116	0.806314	1.4171	1.41704	0.936469	0.936047	
3.45027 0.810985	0.811165	1.3923	1.39232	0.95249	0.952055	
3.47075 0.815272	0.815435	1.3674	1.36747	0.968541	0.968095	
3.49123 0.819806	0.81995	1.34105	1.34119	0.983592	0.983137	
3.5117 0.82456	0.824685	1.31628	1.31647	0.998299	0.997836	
3.53218 0.829633	0.829741	1.29068	1.29091	1.01224	1.01177	
3.55265 0.835956	0.836046	1.26666	1.26694	1.02745	1.02698	
3.57313 0.84048	0.840552	1.24051	1.24082	1.04112	1.04065	
3.59361 0.847458	0.847513	1.21781	1.21815	1.05532	1.05485	
3.61408 0.85402	0.854058	1.194	1.19436	1.06861	1.06814	
3.63456 0.86043	0.860451	1.17131	1.1717	1.08151	1.08105	
3.65504 0.867419	0.867424	1.15006	1.15046	1.09341	1.09296	
3.67551 0.873491	0.87348	1.12979	1.13021	1.10531	1.10487	
3.69599 0.880184	0.880158	1.11046	1.11089	1.11554	1.11511	
3.71647 0.885733	0.885691	1.09297	1.09341	1.12556	1.12516	
3.73694 0.893507	0.893451	1.07649	1.07693	1.13452	1.13413	
3.75742 0.900888	0.900819	1.06175	1.0622	1.14275	1.14239	
3.77789 0.909196	0.909113	1.04787	1.04832	1.14949	1.14915	
3.79837 0.914252	0.914156	1.03602	1.03647	1.15586	1.15555	
3.81885 0.923854	0.923746	1.02503	1.02548	1.16084	1.16055	
3.83932 0.929878	0.929759	1.01617	1.01662	1.16453	1.16427	
3.8598 0.937106	0.936977	1.00795	1.0084	1.16615	1.16593	
3.88028 0.944896	0.944758	1.00087	1.00132	1.16758	1.16738	
3.90075 0.953665	0.953518	0.994784	0.995225	1.16754	1.16737	
3.92123 0.961523	0.961369	0.989914	0.990351	1.16543	1.1653	
3.94171 0.970031	0.96987	0.985893	0.986326	1.16432	1.16422	
3.96218 0.97747	0.977304	0.982471	0.9829	1.16022	1.16015	
3.98266 0.983728	0.983559	0.980231	0.980656	1.15588	1.15584	
4.00314 0.992882	0.99271	0.977972	0.978392	1.14954	1.14953	
4.02361 0.999941	0.999767	0.975471	0.975886	1.14306	1.14308	
4.04409 1.00722	1.00705	0.97469	0.9751	1.1355	1.13555	
4.06456 1.01504	1.01487	0.973107	0.973511	1.12738	1.12745	
4.08504 1.02206	1.02189	0.971518	0.971917	1.11956	1.11966	
4.10552 1.03108	1.03092	0.971316	0.971711	1.11156	1.11167	
4.12599 1.03701	1.03685	0.970039	0.970427	1.10293	1.10307	
4.14647 1.04505	1.0449	0.969784	0.970167	1.09444	1.0946	
4.16695 1.05148	1.05134	0.968929	0.969306	1.08654	1.08671	
4.18742 1.05891	1.05878	0.968884	0.969255	1.07948	1.07967	
4.2079 1.06452	1.0644	0.96825	0.968616	1.07213	1.07233	
4.22838 1.06997	1.06987	0.968177	0.968536	1.06596	1.06618	
4.24885 1.07507	1.07498	0.967935	0.968289	1.0598	1.06002	
4.26933 1.08001	1.07994	0.966736	0.967083	1.0547	1.05493	
4.2898 1.08575	1.08569	0.966264	0.966604	1.04982	1.05007	
4.31028 1.09059	1.09056	0.965672	0.966006	1.04557	1.04583	
4.33076 1.09466	1.09464	0.964572	0.964899	1.04203	1.04229	
4.35123 1.0981	1.09811	0.96352	0.963839	1.03909	1.03936	
4.37171 1.10225	1.10228	0.962789	0.963101	1.03615	1.03643	
4.39219 1.103	1.10305	0.961377	0.96168	1.03444	1.03473	
4.41266 1.10597	1.10605	0.961362	0.961658	1.03311	1.0334	
4.43314 1.10884	1.10894	0.960571	0.960858	1.03029	1.03058	
4.45362 1.11016	1.11029	0.959922	0.960201	1.0299	1.03021	
4.47409 1.11123	1.11139	0.959424	0.959695	1.02817	1.02848	
4.49457 1.11211	1.1123	0.958364	0.958626	1.02774	1.02806	
4.51504 1.11214	1.11235	0.957878	0.958131	1.02688	1.0272	
4.53552 1.11083	1.11106	0.957645	0.957888	1.0256	1.02593	
4.556 1.11158	1.11184	0.957717	0.957952	1.02493	1.02526	
4.57647 1.11022	1.11052	0.957459	0.957685	1.02459	1.02493	
4.59695 1.10908	1.1094	0.956951	0.957167	1.02293	1.02327	
4.61743 1.10733	1.10768	0.957757	0.957964	1.02244	1.02279	
4.6379 1.10459	1.10496	0.95833	0.958528	1.0219	1.02225	
4.65838 1.10295	1.10335	0.958583	0.958772	1.02015	1.0205	
4.67886 1.09989	1.10031	0.959371	0.959551	1.01968	1.02004	
4.69933 1.09798	1.09843	0.960666	0.960837	1.0182	1.01856	
4.71981 1.09237	1.09284	0.961688	0.961851	1.01718	1.01754	
4.74029 1.08982	1.09032	0.962607	0.962761	1.01475	1.01512	
4.76076 1.08654	1.08706	0.964625	0.964771	1.0131	1.01347	
4.78124 1.08154	1.08208	0.965997	0.966135	1.01163	1.012	
4.80171 1.07786	1.07841	0.967858	0.967989	1.0099	1.01028	
4.82219 1.07472	1.0753	0.969929	0.970053	1.00805	1.00843	
4.84267 1.06932	1.06991	0.97218	0.972297	1.00635	1.00673	
4.86314 1.06518	1.06579	0.97461	0.974721	1.00342	1.0038	
4.88362 1.06048	1.0611	0.976137	0.976242	1.00128	1.00166	
4.9041 1.05486	1.05549	0.978356	0.978456	0.999314	0.999693	
4.92457 1.04984	1.05048	0.9814	0.981495	0.996595	0.996972	
4.94505 1.04462	1.04527	0.983381	0.983472	0.993673	0.994047	
4.96553 1.04025	1.04091	0.985726	0.985813	0.991969	0.99234	
4.986 1.03533	1.036	0.988444	0.988529	0.989402	0.98977	
5.00648 1.03004	1.03072	0.990659	0.990742	0.987107	0.98747	
5.02695 1.02542	1.02609	0.993657	0.993738	0.984393	0.984752	
5.04743 1.01943	1.0201	0.995707	0.995787	0.982166	0.982519	
5.06791 1.01508	1.01576	0.997652	0.997732	0.979607	0.979954	
5.08838 1.00909	1.00977	1.0003	1.00038	0.977465	0.977805	
5.10886 1.0041	1.00477	1.00223	1.00231	0.975094	0.975426	
5.12934 0.999563	1.00024	1.00479	1.00487	0.973666	0.97399	
5.14981 0.99439	0.995059	1.00653	1.00661	0.97176	0.972076	
5.17029 0.989674	0.990337	1.00815	1.00824	0.969586	0.969893	
5.19077 0.983705	0.98436	1.01035	1.01044	0.968229	0.968526	
5.21124 0.978134	0.978778	1.01258	1.01267	0.966856	0.967144	
5.23172 0.97399	0.974624	1.01363	1.01373	0.965787	0.966064	
5.2522 0.968604	0.969226	1.01526	1.01536	0.964229	0.964496	
5.27267 0.964696	0.965306	1.01649	1.0166	0.963503	0.96376	
5.29315 0.96039	0.960985	1.01726	1.01737	0.962351	0.962596	
5.31362 0.95514	0.955719	1.0183	1.01842	0.962039	0.962272	
5.3341 0.950715	0.951277	1.01934	1.01946	0.96108	0.961302	
5.35458 0.946148	0.946692	1.01994	1.02007	0.96095	0.96116	
5.37505 0.94134	0.941864	1.02083	1.02097	0.960608	0.960806	
5.39553 0.937714	0.938217	1.021	1.02114	0.961053	0.96124	
5.41601 0.932545	0.933026	1.02137	1.02152	0.96098	0.961154	
5.43648 0.928419	0.928876	1.02096	1.02112	0.961461	0.961624	
5.45696 0.92497	0.925403	1.02063	1.02079	0.96227	0.962421	
5.47744 0.921573	0.92198	1.02088	1.02105	0.962553	0.962693	
5.49791 0.918438	0.91882	1.02026	1.02044	0.963911	0.96404	
5.51839 0.915329	0.915683	1.01973	1.01992	0.964106	0.964223	
5.53886 0.91295	0.913277	1.01916	1.01935	0.965892	0.965998	
5.55934 0.910015	0.910313	1.01869	1.01889	0.966682	0.966777	
5.57982 0.907773	0.908043	1.01716	1.01737	0.968058	0.968143	
5.60029 0.907081	0.907322	1.01625	1.01646	0.969867	0.969942	
5.62077 0.905229	0.90544	1.01537	1.01559	0.971063	0.971129	
5.64125 0.904869	0.90505	1.01342	1.01364	0.972237	0.972293	
5.66172 0.904668	0.904818	1.01192	1.01214	0.973964	0.974011	
5.6822 0.905304	0.905424	1.01035	1.01058	0.975928	0.975967	
5.70268 0.905419	0.905509	1.00885	1.00908	0.977563	0.977595	
5.72315 0.906449	0.906508	1.00704	1.00727	0.979538	0.979562	
5.74363 0.907986	0.908015	1.00515	1.00538	0.980899	0.980917	
5.76411 0.908707	0.908706	1.00281	1.00305	0.982935	0.982947	
5.78458 0.91151	0.91148	1.00094	1.00118	0.984553	0.984559	
5.80506 0.91311	0.91305	0.998636	0.998872	0.986509	0.98651	
5.82553 0.915932	0.915844	0.996671	0.996905	0.987901	0.987897	
5.84601 0.918037	0.91792	0.994453	0.994684	0.989576	0.989569	
5.86649 0.921121	0.920976	0.992018	0.992245	0.991324	0.991314	
5.88696 0.924262	0.92409	0.989986	0.99021	0.993011	0.992998	
5.90744 0.927396	0.927197	0.987939	0.988157	0.99456	0.994545	
5.92792 0.931327	0.931103	0.98572	0.985932	0.995283	0.995266	
5.94839 0.935194	0.934945	0.983729	0.983935	0.997014	0.996996	
5.96887 0.938572	0.938299	0.982181	0.98238	0.998199	0.99818	
5.98935 0.942145	0.94185	0.979522	0.979712	0.999275	0.999256	
6.00982 0.946182	0.945865	0.978145	0.978327	1.00026	1.00025	
6.0303 0.950055	0.949718	0.97647	0.976643	1.00139	1.00137	
6.05077 0.954111	0.953754	0.974832	0.974994	1.00211	1.00209	
6.07125 0.957563	0.957189	0.974089	0.974241	1.00281	1.00279	
6.09173 0.961431	0.96104	0.972391	0.972531	1.00361	1.00359	
6.1122 0.964721	0.964314	0.971744	0.971874	1.00424	1.00423	
6.13268 0.968763	0.968342	0.970296	0.970413	1.00463	1.00462	
6.15316 0.97249	0.972056	0.969769	0.969875	1.00498	1.00497	
6.17363 0.976623	0.976177	0.969007	0.9691	1.00549	1.00549	
6.19411 0.98089	0.980434	0.968639	0.968719	1.00557	1.00557	
6.21459 0.984594	0.984129	0.967971	0.968037	1.00579	1.00579	
6.23506 0.987651	0.98718	0.96795	0.968003	1.00579	1.00579	
6.25554 0.990597	0.99012	0.96811	0.96815	1.00541	1.00541	
6.27601 0.993787	0.993306	0.967862	0.967888	1.00549	1.00549	
6.29649 0.997555	0.997071	0.967956	0.967969	1.00549	1.0055	
6.31697 1.00046	0.999973	0.968292	0.968291	1.00502	1.00503	
6.33744 1.00445	1.00397	0.968753	0.968739	1.00471	1.00472	
6.35792 1.00739	1.0069	0.969559	0.969531	1.00434	1.00436	
6.3784 1.00938	1.0089	0.970288	0.970247	1.00425	1.00426	
6.39887 1.01255	1.01208	0.970885	0.970831	1.00399	1.00401	
6.41935 1.01557	1.0151	0.971698	0.971632	1.00308	1.0031	
6.43983 1.01869	1.01823	0.972927	0.972849	1.00265	1.00267	
6.4603 1.02144	1.02098	0.973619	0.973529	1.00239	1.00241	
6.48078 1.0234	1.02296	0.974931	0.974829	1.00207	1.00209	
6.50126 1.02447	1.02403	0.976121	0.976007	1.00135	1.00137	
6.52173 1.02743	1.02701	0.977283	0.977159	1.00095	1.00097	
6.54221 1.02967	1.02926	0.978787	0.978653	1.00021	1.00024	
6.56268 1.03085	1.03046	0.979679	0.979535	1.00024	1.00027	
6.58316 1.03323	1.03286	0.981307	0.981154	0.999599	0.999623	
6.60364 1.03492	1.03456	0.982737	0.982576	0.999246	0.999269	
6.62411 1.03629	1.03595	0.984115	0.983946	0.998764	0.998786	
6.64459 1.03747	1.03715	0.985388	0.985211	0.998241	0.998262	
6.66507 1.03879	1.03848	0.987227	0.987043	0.998067	0.998088	
6.68554 1.03975	1.03946	0.98849	0.9883	0.99801	0.99803	
6.70602 1.04017	1.03991	0.989735	0.98954	0.997723	0.997741	
6.7265 1.04158	1.04134	0.99162	0.991421	0.997471	0.997488	
6.74697 1.04239	1.04216	0.993241	0.993037	0.997324	0.99734	
6.76745 1.04311	1.04291	0.994677	0.99447	0.997281	0.997295	
6.78792 1.04269	1.04251	0.995956	0.995746	0.996953	0.996965	
6.8084 1.04331	1.04316	0.997239	0.997028	0.996801	0.996812	
6.82888 1.04327	1.04314	0.998735	0.998523	0.997174	0.997184	
6.84935 1.04356	1.04345	1.00036	1.00015	0.997048	0.997056	
6.86983 1.04342	1.04334	1.00169	1.00148	0.997128	0.997135	
6.89031 1.04321	1.04315	1.00289	1.00268	0.99716	0.997165	
6.91078 1.04287	1.04284	1.00407	1.00386	0.997445	0.997449	
6.93126 1.04195	1.04194	1.00581	1.00561	0.997331	0.997333	
6.95174 1.04126	1.04128	1.00681	1.00661	0.997301	0.997301	
6.97221 1.04042	1.04046	1.00814	1.00794	0.99779	0.997789	
6.99269 1.03973	1.03979	1.00918	1.00899	0.998005	0.998004	
7.01317 1.03927	1.03935	1.01042	1.01023	0.998221	0.998218	
7.03364 1.03829	1.0384	1.01155	1.01137	0.998493	0.99849	
7.05412 1.03679	1.03691	1.01235	1.01218	0.998471	0.998467	
7.07459 1.03545	1.03559	1.01349	1.01333	0.998869	0.998864	
7.09507 1.03424	1.0344	1.01454	1.01438	0.998988	0.998983	
7.11555 1.03316	1.03335	1.01492	1.01477	0.999151	0.999145	
7.13602 1.03185	1.03205	1.01578	1.01563	0.999223	0.999216	
7.1565 1.03	1.03022	1.01647	1.01634	0.999943	0.999937	
7.17698 1.02883	1.02907	1.01763	1.01751	1	0.999999	
7.19745 1.02683	1.02709	1.01824	1.01813	1.00028	1.00027	
7.21793 1.0252	1.02547	1.01885	1.01875	1.00079	1.00078	
7.23841 1.02439	1.02467	1.01938	1.01929	1.00091	1.00091	
7.25888 1.02224	1.02254	1.02018	1.0201	1.00096	1.00095	
7.27936 1.02076	1.02107	1.02039	1.02033	1.00159	1.00158	
7.29983 1.01842	1.01874	1.02034	1.02029	1.00157	1.00157	
7.32031 1.01702	1.01736	1.021	1.02096	1.00186	1.00186	
7.34079 1.01557	1.01591	1.02137	1.02134	1.00255	1.00255	
7.36126 1.01346	1.01381	1.02156	1.02155	1.00245	1.00246	
7.38174 1.01277	1.01312	1.02178	1.02178	1.00275	1.00275	
7.40222 1.01109	1.01146	1.02164	1.02166	1.00286	1.00286	
7.42269 1.00869	1.00906	1.02174	1.02177	1.00299	1.003	
7.44317 1.00762	1.00799	1.02174	1.02178	1.00344	1.00345	
7.46365 1.00597	1.00635	1.02151	1.02157	1.00395	1.00397	
7.48412 1.00455	1.00493	1.02135	1.02143	1.00372	1.00374	
7.5046 1.00309	1.00347	1.02109	1.02118	1.00393	1.00395	
7.52507 1.00235	1.00273	1.02082	1.02092	1.0041	1.00412	
7.54555 1.00032	1.0007	1.02085	1.02097	1.00471	1.00473	
7.56603 0.999521	0.999902	1.02013	1.02026	1.00467	1.00469	
7.5865 0.998129	0.998509	1.01978	1.01992	1.0049	1.00492	
7.60698 0.997139	0.997518	1.01971	1.01986	1.00532	1.00535	
7.62746 0.995769	0.996144	1.01867	1.01884	1.00539	1.00542	
7.64793 0.994278	0.994649	1.01848	1.01865	1.00548	1.00552	
7.66841 0.994037	0.994404	1.01785	1.01804	1.00541	1.00545	
7.68889 0.993224	0.993587	1.01715	1.01735	1.00593	1.00598	
7.70936 0.992075	0.992432	1.01682	1.01703	1.00599	1.00604	
7.72984 0.990659	0.991009	1.01535	1.01557	1.00579	1.00584	
7.75032 0.989881	0.990224	1.01478	1.01501	1.00623	1.00629	
7.77079 0.989684	0.99002	1.01415	1.01439	1.00661	1.00667	
7.79127 0.98819	0.988518	1.01312	1.01338	1.00643	1.0065	
7.81174 0.988889	0.98921	1.01265	1.01292	1.00641	1.00648	
7.83222 0.987677	0.987989	1.01171	1.01199	1.00662	1.0067	
7.8527 0.987157	0.98746	1.01078	1.01106	1.00687	1.00696	
7.87317 0.987254	0.987548	1.00988	1.01017	1.00675	1.00684	
7.89365 0.987022	0.987307	1.00911	1.0094	1.00692	1.00702	
7.91413 0.986327	0.986602	1.00819	1.00849	1.00674	1.00684	
7.9346 0.986378	0.986644	1.00721	1.00751	1.00681	1.00692	
7.95508 0.986391	0.986647	1.0065	1.00681	1.00664	1.00675	
7.97556 0.986236	0.986482	1.00548	1.0058	1.00669	1.0068	
7.99603 0.986079	0.986315	1.0044	1.00472	1.0068	1.00692	
8.01651 0.986406	0.986632	1.00327	1.00359	1.00701	1.00713	
8.03698 0.98626	0.986476	1.00298	1.0033	1.00658	1.00671	
8.05746 0.986631	0.986837	1.00179	1.00211	1.00653	1.00667	
8.07794 0.986668	0.986865	1.00098	1.0013	1.00624	1.00637	
8.09841 0.987116	0.987303	1.00029	1.00061	1.00638	1.00652	
8.11889 0.987177	0.987355	0.999287	0.99961	1.00628	1.00643	
8.13937 0.987213	0.987381	0.998489	0.998811	1.00596	1.00612	
8.15984 0.987671	0.98783	0.997544	0.997864	1.0057	1.00586	
8.18032 0.987799	0.987948	0.996868	0.997186	1.00567	1.00583	
8.2008 0.988343	0.988483	0.996318	0.996633	1.00548	1.00565	
8.22127 0.988811	0.988943	0.995413	0.995725	1.00524	1.00541	
8.24175 0.989328	0.989451	0.994588	0.994895	1.00503	1.0052	
8.26223 0.989696	0.989811	0.994469	0.994772	1.00477	1.00495	
8.2827 0.990254	0.990362	0.993413	0.99371	1.00473	1.00492	
8.30318 0.990595	0.990696	0.993283	0.993575	1.00422	1.00441	
8.32365 0.990521	0.990614	0.992277	0.992563	1.0039	1.00409	
8.34413 0.991319	0.991405	0.991802	0.992082	1.00371	1.00391	
8.36461 0.992062	0.992141	0.991677	0.99195	1.00333	1.00352	
8.38508 0.992585	0.992658	0.991339	0.991605	1.00314	1.00334	
8.40556 0.993449	0.993517	0.990429	0.990687	1.00268	1.00288	
8.42604 0.993559	0.993622	0.990546	0.990797	1.00265	1.00285	
8.44651 0.993899	0.993957	0.990269	0.990511	1.00194	1.00214	
8.46699 0.994144	0.994197	0.989949	0.990183	1.00191	1.00212	
8.48747 0.995673	0.995722	0.989779	0.990005	1.00143	1.00164	
8.50794 0.996051	0.996097	0.989405	0.989622	1.00108	1.00129	
8.52842 0.995938	0.995981	0.989512	0.98972	1.00028	1.00049	
8.54889 0.996197	0.996236	0.989426	0.989625	1.00013	1.00034	
8.56937 0.99734	0.997377	0.989088	0.989277	0.999857	1.00007	
8.58985 0.997486	0.997521	0.989281	0.989462	0.999431	0.999642	
