#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__O_Water_O_Water	MSD__O_Water_H_Water	MSD__H_Water_H_Water	
 1000 0.508037 -8.06425 128.007
 2000 0.85841 -13.6259 216.288
 3000 1.17118 -18.5905 295.094
 4000 1.45519 -23.0988 366.656
 5000 1.71208 -27.1764 431.381
 6000 1.94761 -30.9152 490.728
 7000 2.15898 -34.2703 543.985
 8000 2.35079 -37.315 592.315
 9000 2.52551 -40.0883 636.337
 10000 2.68461 -42.6138 676.424
 10000 2.68628 -42.6402 676.844
 20000 3.60707 -57.2563 908.85
 30000 3.93631 -62.4825 991.808
 40000 4.04729 -64.2441 1019.77
 50000 4.11598 -65.3345 1037.08
 60000 4.12623 -65.4971 1039.66
 70000 4.17262 -66.2335 1051.35
 80000 4.14619 -65.814 1044.69
 90000 4.12454 -65.4704 1039.24
 100000 4.13642 -65.6589 1042.23
 100000 4.24046 -67.3104 1068.44
 200000 4.21883 -66.9671 1062.99
 300000 4.36968 -69.3615 1101
 400000 4.24584 -67.3957 1069.8
 500000 4.15615 -65.9721 1047.2
 600000 4.24386 -67.3643 1069.3
 700000 4.19406 -66.5738 1056.75
 800000 4.28607 -68.0344 1079.94
 900000 4.17944 -66.3417 1053.07
 1e+06 4.13599 -65.6521 1042.12
 1e+06 4.00969 -63.6473 1010.3
 2e+06 3.53245 -56.0717 890.044
 3e+06 3.15998 -50.1581 796.156
 4e+06 3.34997 -53.1721 843.969
 5e+06 3.43918 -54.5885 866.462
 6e+06 3.65022 -57.9376 919.609
 7e+06 3.45109 -54.7758 869.408
 8e+06 3.69071 -58.5767 929.701
 9e+06 3.55227 -56.3766 894.738
 1e+07 3.54859 -56.3165 893.758
 1e+07 4.83037 -76.6708 1216.98
 2e+07 5.82608 -92.4435 1466.86
 3e+07 5.60925 -88.9814 1411.62
 4e+07 2.24792 -35.5821 563.373
 5e+07 3.24855 -51.3465 811.801
 6e+07 0.91831 -14.4598 228.007
