#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 6694.82 35.9284 44.7733 33.4235
 4000 11494.1 62.9645 78.5878 55.0127
 6000 16092.3 88.9361 111.106 75.263
 8000 20697 114.928 143.603 95.3286
 10000 25318.5 140.913 176.157 115.482
 12000 29882.1 166.449 208.12 135.34
 14000 34480.2 192.185 240.275 155.323
 16000 39063.8 217.759 272.207 175.191
 18000 43660.7 243.406 304.113 195.009
 20000 48271.7 269.092 336.133 214.933
 20000 48216.6 269.064 334.959 215.431
 40000 94087.3 524.671 653.086 411.099
 60000 140021 779.608 970.926 605.105
 80000 185963 1034.95 1288.38 799.825
 100000 231763 1289.52 1604.53 993.986
 120000 277639 1543.95 1921.19 1185.72
 140000 323406 1798.41 2237.37 1381.75
 160000 369239 2053.41 2552.9 1581.08
 180000 415101 2307.39 2868.91 1780.54
 200000 460882 2562.5 3185.94 1983.78
 200000 460822 2574.89 3179.39 1976.9
 400000 918985 5088.08 6353.34 4027.42
 600000 1.37829e+06 7618.07 9542.2 5989.85
 800000 1.83716e+06 10138.8 12708.5 7960.49
 1e+06 2.29721e+06 12645.9 15922 9934.76
 1.2e+06 2.75678e+06 15115 19200.6 11869.5
 1.4e+06 3.21634e+06 17576.6 22400.5 13851.6
 1.6e+06 3.67366e+06 20006.8 25549.4 15831.2
 1.8e+06 4.1323e+06 22467 28688.5 17803.7
 2e+06 4.58997e+06 24925.8 31826.8 19756.8
 2e+06 4.60452e+06 24245.2 32171.4 19791.8
 4e+06 9.18391e+06 49445.4 63481.7 41481.7
 6e+06 1.37408e+07 75293.5 96754.8 64962.3
 8e+06 1.82886e+07 101409 132578 85234.9
 1e+07 2.28396e+07 128263 166009 104097
 1.2e+07 2.73586e+07 155553 198121 120036
 1.4e+07 3.18408e+07 183012 228707 138294
 1.6e+07 3.64031e+07 210346 260198 156875
 1.8e+07 4.09202e+07 238233 289920 174919
 2e+07 4.55224e+07 266946 317536 192529
 2e+07 4.56474e+07 275897 308404 271392
 4e+07 9.26303e+07 557457 603869 637767
