#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.31884e+09 6.31203e+09 6.31389e+09 6.3089e+09 6.28943e+09 6.30772e+09 6.30202e+09 6.30718e+09 1.13582e+10
 40 1.97415e+10 1.9713e+10 1.97162e+10 1.9702e+10 1.963e+10 1.9693e+10 1.9675e+10 1.96944e+10 4.16382e+10
 60 3.49205e+10 3.48708e+10 3.48625e+10 3.48473e+10 3.47024e+10 3.48225e+10 3.47907e+10 3.48283e+10 8.59051e+10
 80 5.00917e+10 5.00447e+10 4.99988e+10 4.99908e+10 4.97754e+10 4.9953e+10 4.99064e+10 4.99619e+10 1.40589e+11
 100 6.51785e+10 6.51574e+10 6.50428e+10 6.50496e+10 6.47819e+10 6.50061e+10 6.49459e+10 6.5018e+10 2.02776e+11
 120 8.06732e+10 8.06844e+10 8.04809e+10 8.05066e+10 8.01963e+10 8.04701e+10 8.0391e+10 8.04797e+10 2.70083e+11
 140 9.70791e+10 9.71218e+10 9.68202e+10 9.68534e+10 9.65022e+10 9.68467e+10 9.67341e+10 9.68433e+10 3.40906e+11
 160 1.14561e+11 1.14644e+11 1.1423e+11 1.14258e+11 1.13877e+11 1.14305e+11 1.14147e+11 1.1428e+11 4.14177e+11
 180 1.32899e+11 1.33034e+11 1.32502e+11 1.32504e+11 1.32118e+11 1.32626e+11 1.32416e+11 1.32574e+11 4.88782e+11
 200 1.51782e+11 1.51977e+11 1.51326e+11 1.51284e+11 1.5091e+11 1.51485e+11 1.51227e+11 1.51414e+11 5.63593e+11
 200 1.51798e+11 1.52083e+11 1.51342e+11 1.51155e+11 1.5066e+11 1.51686e+11 1.51167e+11 1.51397e+11 5.63746e+11
 400 3.60459e+11 3.61891e+11 3.59427e+11 3.58073e+11 3.58072e+11 3.59541e+11 3.58562e+11 3.59374e+11 1.23218e+12
 600 5.87909e+11 5.91053e+11 5.8807e+11 5.83994e+11 5.84001e+11 5.86253e+11 5.84749e+11 5.86454e+11 1.62279e+12
 800 8.23504e+11 8.29487e+11 8.25658e+11 8.1896e+11 8.16736e+11 8.2149e+11 8.19062e+11 8.21924e+11 1.66082e+12
 1000 1.06361e+12 1.07301e+12 1.06765e+12 1.05865e+12 1.05322e+12 1.06086e+12 1.05758e+12 1.06178e+12 1.44758e+12
 1200 1.30761e+12 1.32033e+12 1.31308e+12 1.30045e+12 1.29248e+12 1.30214e+12 1.29836e+12 1.30448e+12 1.20061e+12
