#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 8277.56 43.9681 55.8046 35.6556
 4000 13159.9 71.397 90.2668 57.4079
 6000 17751.2 97.4241 122.782 77.7431
 8000 22393.4 123.661 155.468 98.0237
 10000 27013.7 149.703 187.956 118.255
 12000 31594 175.414 220.089 138.364
 14000 36203.7 201.225 252.372 158.476
 16000 40767.3 226.711 284.27 178.395
 18000 45384.4 252.402 316.38 198.443
 20000 49966.6 277.854 348.287 218.361
 20000 49844 276.793 346.532 219.098
 40000 95868.3 530.601 665.589 418.792
 60000 141747 781.903 984.212 617.62
 80000 187637 1033.18 1302.74 814.614
 100000 233577 1284.9 1622.92 1011.62
 120000 279331 1535.89 1942.34 1208.22
 140000 325335 1788.63 2263.48 1404.35
 160000 371308 2040.81 2583.77 1600.35
 180000 417285 2293.04 2902.53 1796.87
 200000 463153 2544.43 3222.06 1990.08
 200000 463493 2529.06 3225.84 1983.54
 400000 922428 5035.53 6420.16 3885.37
 600000 1.381e+06 7543.95 9592.26 5763.3
 800000 1.84098e+06 10057.6 12820.2 7642.75
 1e+06 2.3004e+06 12582.5 16044.2 9508.3
 1.2e+06 2.7595e+06 15124.1 19274 11380.3
 1.4e+06 3.21852e+06 17684.2 22516.4 13239
 1.6e+06 3.67651e+06 20253.9 25705.4 15077.5
 1.8e+06 4.13367e+06 22841.5 28900.2 16841.3
 2e+06 4.59289e+06 25421.2 32047 18643.5
 2e+06 4.60092e+06 25147.3 32504.4 19735.1
 4e+06 9.19537e+06 51332.8 64060.4 38587.1
 6e+06 1.37584e+07 77555 95399.2 54273.2
 8e+06 1.83407e+07 104117 125498 70225
 1e+07 2.29054e+07 130615 155997 88314
 1.2e+07 2.7501e+07 156567 187506 104463
 1.4e+07 3.20529e+07 181945 218901 122611
 1.6e+07 3.65885e+07 206755 251637 140723
 1.8e+07 4.11451e+07 233894 283854 157458
 2e+07 4.57145e+07 263249 316610 172304
 2e+07 4.58429e+07 243629 312838 175104
 4e+07 9.14979e+07 507118 637338 370814
 6e+07 1.3723e+08 781136 927265 533791
 8e+07 1.82701e+08 1.01519e+06 1.29157e+06 619225
 1e+08 2.31001e+08 1.37747e+06 1.65261e+06 686349
