# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -7384.6
200000 -7391.75
300000 -7392.89
400000 -7390.43
500000 -7390.63
600000 -7399.66
700000 -7392.65
800000 -7396.28
900000 -7394.16
1000000 -7394.66
1100000 -7388.78
1200000 -7400.02
1300000 -7397.27
1400000 -7398.71
1500000 -7393.83
1600000 -7396.47
1700000 -7393.96
1800000 -7398.29
1900000 -7396.5
2000000 -7385.93
2100000 -7391.15
2200000 -7388.01
2300000 -7394.37
2400000 -7396.17
2500000 -7394.86
2600000 -7397.4
2700000 -7392.23
2800000 -7391.76
2900000 -7397.24
3000000 -7391.01
3100000 -7398.6
3200000 -7390.01
3300000 -7390.06
3400000 -7399.17
3500000 -7382.93
3600000 -7394.6
3700000 -7391.08
3800000 -7392.53
3900000 -7393.37
4000000 -7400.25
4100000 -7399.51
4200000 -7391.7
4300000 -7399.04
4400000 -7391.93
4500000 -7390.11
4600000 -7395.54
4700000 -7402.43
4800000 -7396.29
4900000 -7396.47
5000000 -7395.42
5100000 -7398.06
5200000 -7399.78
5300000 -7391.32
5400000 -7399.76
5500000 -7397.62
5600000 -7399.64
5700000 -7392.35
5800000 -7391.98
5900000 -7391.75
6000000 -7403.28
6100000 -7401.1
6200000 -7396.56
6300000 -7393.41
6400000 -7401.05
6500000 -7407.39
6600000 -7393.02
6700000 -7390.06
6800000 -7389.35
6900000 -7393.92
7000000 -7394.97
7100000 -7393.34
7200000 -7398.93
7300000 -7388.84
7400000 -7395.72
7500000 -7395.5
7600000 -7388.7
7700000 -7394.26
7800000 -7394.27
7900000 -7403.21
8000000 -7402.35
8100000 -7396.65
8200000 -7396.08
8300000 -7401.84
8400000 -7392.71
8500000 -7404.48
8600000 -7395.76
8700000 -7396.21
8800000 -7390.64
8900000 -7398.65
9000000 -7404.64
9100000 -7402.72
9200000 -7394.3
9300000 -7395.83
9400000 -7392.88
9500000 -7395.19
9600000 -7387.74
9700000 -7391.05
9800000 -7396.69
9900000 -7390.63
10000000 -7393.66
