#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 1.38222e+09 1.38547e+09 1.38197e+09 1.38598e+09 1.38643e+09 1.3879e+09 1.38677e+09 1.38535e+09 1.60228e+09
 20 4.97941e+09 4.99188e+09 4.98044e+09 4.99577e+09 4.99568e+09 5.00325e+09 4.99823e+09 4.9925e+09 6.16033e+09
 30 9.96883e+09 9.99577e+09 9.97656e+09 1.00084e+10 1.0004e+10 1.00245e+10 1.00123e+10 9.99953e+09 1.3254e+10
 40 1.56846e+10 1.57305e+10 1.57074e+10 1.57593e+10 1.57457e+10 1.57851e+10 1.57634e+10 1.5741e+10 2.25121e+10
 50 2.16608e+10 2.17287e+10 2.17074e+10 2.17833e+10 2.17553e+10 2.18149e+10 2.17845e+10 2.17503e+10 3.36349e+10
 60 2.76455e+10 2.7738e+10 2.77239e+10 2.78291e+10 2.77817e+10 2.7857e+10 2.78226e+10 2.77745e+10 4.6369e+10
 70 3.35169e+10 3.36369e+10 3.36343e+10 3.37761e+10 3.37038e+10 3.37875e+10 3.37558e+10 3.36919e+10 6.04813e+10
 80 3.92614e+10 3.94125e+10 3.94264e+10 3.96122e+10 3.95079e+10 3.95952e+10 3.95717e+10 3.94897e+10 7.57529e+10
 90 4.49542e+10 4.51405e+10 4.51756e+10 4.54123e+10 4.52673e+10 4.53575e+10 4.53457e+10 4.52435e+10 9.19904e+10
 100 5.07192e+10 5.09435e+10 5.10038e+10 5.1298e+10 5.1103e+10 5.11997e+10 5.12002e+10 5.10757e+10 1.09034e+11
 100 5.07781e+10 5.09369e+10 5.10227e+10 5.11836e+10 5.12495e+10 5.13109e+10 5.1248e+10 5.11138e+10 1.09093e+11
 200 1.27595e+11 1.28386e+11 1.28608e+11 1.29812e+11 1.2894e+11 1.2891e+11 1.29221e+11 1.28811e+11 3.04737e+11
 300 2.28504e+11 2.30347e+11 2.31014e+11 2.33474e+11 2.31601e+11 2.31152e+11 2.32076e+11 2.31227e+11 5.22832e+11
 400 3.44293e+11 3.47456e+11 3.48841e+11 3.53372e+11 3.50027e+11 3.49121e+11 3.5084e+11 3.49249e+11 7.6151e+11
 500 4.71846e+11 4.76405e+11 4.78842e+11 4.85974e+11 4.81293e+11 4.79727e+11 4.82331e+11 4.79678e+11 1.02383e+12
 600 6.08799e+11 6.15374e+11 6.18759e+11 6.29297e+11 6.23213e+11 6.2103e+11 6.24513e+11 6.20432e+11 1.30812e+12
 700 7.53302e+11 7.62486e+11 7.66882e+11 7.81259e+11 7.73669e+11 7.71017e+11 7.75315e+11 7.69545e+11 1.60969e+12
 800 9.04421e+11 9.1647e+11 9.21685e+11 9.40319e+11 9.31124e+11 9.279e+11 9.33114e+11 9.25545e+11 1.92324e+12
 900 1.0605e+12 1.07543e+12 1.08226e+12 1.10506e+12 1.09408e+12 1.09089e+12 1.09668e+12 1.0871e+12 2.24481e+12
 1000 1.22103e+12 1.23936e+12 1.24789e+12 1.27504e+12 1.26159e+12 1.25863e+12 1.26509e+12 1.25349e+12 2.57305e+12
 1000 1.22381e+12 1.23616e+12 1.23987e+12 1.27424e+12 1.25984e+12 1.25798e+12 1.26402e+12 1.25172e+12 2.56444e+12
 2000 2.95673e+12 3.02285e+12 3.04006e+12 3.12283e+12 3.05138e+12 3.08082e+12 3.08501e+12 3.05362e+12 6.08835e+12
 3000 4.74719e+12 4.90705e+12 4.95059e+12 5.08402e+12 4.90644e+12 5.0318e+12 5.00742e+12 4.95176e+12 9.81769e+12
 4000 6.53702e+12 6.83738e+12 6.92019e+12 7.07128e+12 6.75155e+12 7.01698e+12 6.94661e+12 6.87391e+12 1.36168e+13
 5000 8.3337e+12 8.81119e+12 8.89006e+12 9.05639e+12 8.56717e+12 8.9784e+12 8.86732e+12 8.79172e+12 1.74996e+13
 6000 1.0138e+13 1.08251e+13 1.09049e+13 1.10247e+13 1.0375e+13 1.09097e+13 1.07698e+13 1.07109e+13 2.1384e+13
 7000 1.19477e+13 1.28248e+13 1.29357e+13 1.29989e+13 1.21724e+13 1.2806e+13 1.26591e+13 1.26232e+13 2.51854e+13
 8000 1.37509e+13 1.48112e+13 1.49011e+13 1.49552e+13 1.39217e+13 1.47264e+13 1.45344e+13 1.45158e+13 2.88539e+13
 9000 1.54951e+13 1.67859e+13 1.67929e+13 1.68786e+13 1.56742e+13 1.66751e+13 1.64093e+13 1.63888e+13 3.24965e+13
 10000 1.72159e+13 1.87701e+13 1.86379e+13 1.8783e+13 1.74194e+13 1.86314e+13 1.8278e+13 1.825e+13 3.61244e+13
 10000 1.84801e+13 1.86598e+13 1.85862e+13 1.89492e+13 1.73419e+13 1.84825e+13 1.82579e+13 1.83849e+13 3.71935e+13
 20000 3.59411e+13 3.8564e+13 3.72472e+13 3.72726e+13 3.30905e+13 3.82255e+13 3.61962e+13 3.6618e+13 7.39078e+13
 30000 5.11659e+13 5.71148e+13 5.55821e+13 5.43512e+13 4.7937e+13 5.67776e+13 5.30219e+13 5.36615e+13 1.08864e+14
 40000 6.55222e+13 7.46323e+13 7.2543e+13 7.18836e+13 6.44129e+13 7.57093e+13 7.06686e+13 7.07608e+13 1.38303e+14
 50000 8.19924e+13 9.40905e+13 9.2146e+13 9.09235e+13 8.3389e+13 9.47315e+13 8.96813e+13 8.95727e+13 1.69558e+14
 60000 9.6319e+13 1.12929e+14 1.11013e+14 1.08821e+14 1.02063e+14 1.11555e+14 1.07479e+14 1.07189e+14 2.03982e+14
 70000 1.08708e+14 1.31124e+14 1.30562e+14 1.29282e+14 1.20849e+14 1.29691e+14 1.26607e+14 1.2535e+14 2.39537e+14
 80000 1.20732e+14 1.48329e+14 1.49163e+14 1.49529e+14 1.39375e+14 1.48429e+14 1.45778e+14 1.4323e+14 2.75244e+14
 90000 1.31584e+14 1.6631e+14 1.65288e+14 1.70386e+14 1.58444e+14 1.66445e+14 1.65091e+14 1.60813e+14 3.11985e+14
 100000 1.43621e+14 1.85496e+14 1.81638e+14 1.90474e+14 1.77918e+14 1.83557e+14 1.83983e+14 1.78491e+14 3.49141e+14
 100000 1.42457e+14 1.9553e+14 2.02291e+14 2.08765e+14 1.83907e+14 1.85897e+14 1.92856e+14 1.87751e+14 3.32878e+14
 200000 2.9114e+14 3.79724e+14 3.68401e+14 4.01446e+14 3.65829e+14 3.79245e+14 3.82174e+14 3.67873e+14 7.26062e+14
 300000 4.58399e+14 5.50932e+14 5.20773e+14 5.81651e+14 5.88506e+14 4.9247e+14 5.54209e+14 5.36539e+14 1.08092e+15
 400000 6.3305e+14 7.34002e+14 6.36774e+14 7.38807e+14 7.69785e+14 5.64001e+14 6.90864e+14 6.81695e+14 1.47066e+15
 500000 8.47798e+14 9.96244e+14 7.8455e+14 9.23989e+14 9.96211e+14 6.41354e+14 8.53851e+14 8.6279e+14 1.8022e+15
 600000 1.07376e+15 1.30434e+15 9.74757e+14 1.16565e+15 1.25851e+15 6.97528e+14 1.04056e+15 1.07138e+15 2.07791e+15
 700000 1.32929e+15 1.55287e+15 1.18432e+15 1.4101e+15 1.55097e+15 8.24551e+14 1.26187e+15 1.29932e+15 2.36206e+15
 800000 1.54461e+15 1.78351e+15 1.42154e+15 1.70208e+15 1.86412e+15 9.62657e+14 1.50962e+15 1.53906e+15 2.68931e+15
 900000 1.71782e+15 1.99746e+15 1.64616e+15 2.05669e+15 2.17947e+15 1.03972e+15 1.75863e+15 1.77003e+15 3.06466e+15
 1e+06 1.90168e+15 2.22895e+15 1.90435e+15 2.39924e+15 2.52497e+15 1.05791e+15 1.99404e+15 2.00109e+15 3.49581e+15
 1e+06 2.17216e+15 1.52918e+15 2.01755e+15 2.52855e+15 3.06932e+15 1.91234e+15 2.5034e+15 2.26456e+15 2.39309e+15
