#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__H_Water_H_Water	MSD__H_Water_O_Water	MSD__O_Water_O_Water	
 1000 128.119 -8.07132 0.508482
 2000 217.504 -13.7025 0.863236
 3000 296.772 -18.6962 1.17784
 4000 368.324 -23.2039 1.46181
 5000 432.327 -27.236 1.71583
 6000 489.928 -30.8648 1.94444
 7000 540.61 -34.0577 2.14559
 8000 587.468 -37.0097 2.33156
 9000 632.016 -39.8161 2.50836
 10000 668.568 -42.1188 2.65343
 10000 668.895 -42.1394 2.65473
 20000 912.383 -57.4789 3.62109
 30000 1001.37 -63.0851 3.97427
 40000 1041.09 -65.5874 4.13191
 50000 1049.37 -66.1086 4.16475
 60000 1077.9 -67.9061 4.27799
 70000 1080.16 -68.0483 4.28695
 80000 1026.58 -64.6728 4.0743
 90000 1045.37 -65.8567 4.14888
 100000 1056.74 -66.5732 4.19402
 100000 1075.2 -67.7364 4.2673
 200000 1100.62 -69.3373 4.36816
 300000 1050.96 -66.2089 4.17107
 400000 1064.36 -67.0533 4.22427
 500000 1074.68 -67.7033 4.26522
 600000 1227.53 -77.3326 4.87185
 700000 1094.88 -68.9759 4.34538
 800000 1089.17 -68.6164 4.32274
 900000 1144.46 -72.0998 4.5422
 1e+06 1191.86 -75.086 4.73034
 1e+06 1812.4 -114.179 7.19317
 2e+06 1437.5 -90.5589 5.705
 3e+06 1729.01 -108.929 6.86258
 4e+06 931.365 -58.6837 3.69756
 5e+06 1612.12 -101.584 6.40111
 6e+06 1763.93 -111.158 7.00486
 7e+06 1171.83 -73.851 4.65425
 8e+06 1423.27 -89.6886 5.65183
 9e+06 3181.2 -200.38 12.6217
 1e+07 811.918 -51.1861 3.22698
 1e+07 811.918 -51.1861 3.22698
