#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__H_Water	MSD__O_Water	
 1000 715.768 311.117
 2000 1240.07 547.908
 3000 1738.54 777.787
 4000 2225.78 1006.27
 5000 2705.38 1233.97
 6000 3178.57 1460.86
 7000 3646.67 1687.16
 8000 4111.18 1913.24
 9000 4572.63 2138.95
 10000 5031.43 2364.32
 10000 5028.34 2362.97
 20000 9562.11 4614.95
 30000 14060.4 6862.09
 40000 18551.6 9107.95
 50000 23046.4 11356
 60000 27533.6 13599.4
 70000 32026.3 15845.4
 80000 36515.4 18090.2
 90000 41008.8 20337.5
 100000 45498.1 22583
 100000 45410.2 22545.6
 200000 90357.2 45025.1
 300000 135306 67498.8
 400000 180310 90002.2
 500000 225379 112539
 600000 270598 135149
 700000 315527 157602
 800000 360136 179907
 900000 404508 202098
 1e+06 448795 224231
 1e+06 451079 225437
 2e+06 894369 446965
 3e+06 1.345e+06 672138
 4e+06 1.79485e+06 896970
 5e+06 2.22608e+06 1.11254e+06
 6e+06 2.64543e+06 1.3222e+06
 7e+06 3.071e+06 1.53517e+06
 8e+06 3.49377e+06 1.74651e+06
 9e+06 3.96901e+06 1.98399e+06
 1e+07 4.44682e+06 2.22302e+06
 1e+07 4.44682e+06 2.22302e+06
