# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
2.54931 1.19944	1.19978	0.230206	0.230118	0.418868	0.418204	
2.56979 1.16132	1.16167	0.243085	0.242979	0.683782	0.682682	
2.59026 1.12719	1.12754	0.260074	0.259947	1.01442	1.01279	
2.61074 1.089	1.08934	0.277918	0.277768	1.38574	1.38355	
2.63122 1.04884	1.04917	0.297731	0.297555	1.78403	1.78131	
2.65169 1.01071	1.01102	0.321658	0.321451	2.15543	2.15234	
2.67217 0.970997	0.9713	0.347896	0.347656	2.50107	2.49776	
2.69265 0.935857	0.936145	0.374954	0.374677	2.76751	2.76422	
2.71312 0.903213	0.903485	0.404781	0.404463	2.94911	2.94605	
2.7336 0.869516	0.869768	0.437129	0.436766	3.04579	3.04313	
2.75408 0.840969	0.841202	0.472243	0.471831	3.06239	3.06022	
2.77455 0.813471	0.813684	0.510688	0.510222	3.00857	3.00693	
2.79503 0.789523	0.789715	0.54994	0.549417	2.9102	2.90908	
2.8155 0.76954	0.769713	0.591778	0.591195	2.75636	2.75571	
2.83598 0.751603	0.751756	0.636609	0.635962	2.5885	2.58824	
2.85646 0.736779	0.736912	0.684631	0.683916	2.41043	2.41049	
2.87693 0.723766	0.723879	0.737796	0.737009	2.22961	2.2299	
2.89741 0.716399	0.716493	0.789488	0.788631	2.05002	2.05048	
2.91789 0.707749	0.707823	0.844217	0.843288	1.87778	1.87835	
2.93836 0.705207	0.705262	0.903491	0.902489	1.72144	1.72208	
2.95884 0.701971	0.702006	0.963602	0.962531	1.58495	1.58562	
2.97932 0.70233	0.702345	1.02597	1.02483	1.45775	1.45843	
2.99979 0.704339	0.704335	1.08782	1.08663	1.34813	1.3488	
3.02027 0.705547	0.705522	1.15469	1.15344	1.25133	1.25199	
3.04074 0.709709	0.709663	1.21821	1.21691	1.16777	1.16841	
3.06122 0.716124	0.716058	1.27591	1.27458	1.09364	1.09424	
3.0817 0.723631	0.723544	1.33294	1.3316	1.03912	1.0397	
3.10217 0.730325	0.730217	1.38425	1.38291	0.991987	0.992537	
3.12265 0.739323	0.739193	1.43028	1.42896	0.950402	0.950925	
3.14313 0.748585	0.748434	1.47011	1.46883	0.913927	0.914421	
3.1636 0.760335	0.760163	1.50392	1.50269	0.884448	0.884915	
3.18408 0.770556	0.770362	1.52977	1.5286	0.861161	0.861603	
3.20456 0.783481	0.783265	1.54557	1.54448	0.846199	0.846619	
3.22503 0.793926	0.79369	1.55742	1.55642	0.82992	0.830316	
3.24551 0.807196	0.806938	1.55962	1.55872	0.818979	0.819354	
3.26598 0.819867	0.819588	1.55918	1.55838	0.813069	0.813424	
3.28646 0.834349	0.834049	1.553	1.55231	0.806545	0.806879	
3.30694 0.848255	0.847935	1.54011	1.53951	0.806597	0.806913	
3.32741 0.862537	0.862197	1.52731	1.52681	0.799313	0.799607	
3.34789 0.877365	0.877007	1.50787	1.50747	0.800607	0.800883	
3.36837 0.891684	0.891308	1.487	1.4867	0.799257	0.799512	
3.38884 0.907795	0.907402	1.46741	1.46719	0.801521	0.801758	
3.40932 0.922108	0.9217	1.44321	1.44307	0.804081	0.8043	
3.4298 0.936633	0.936211	1.41665	1.41659	0.806291	0.80649	
3.45027 0.953629	0.953194	1.39109	1.39111	0.811369	0.81155	
3.47075 0.968106	0.967661	1.36671	1.36679	0.814212	0.814375	
3.49123 0.982586	0.982131	1.34239	1.34253	0.820698	0.820842	
3.5117 0.997936	0.997474	1.31646	1.31665	0.825902	0.826028	
