#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2467.95 -116.859 -197.051 -156.625 24.9844 4.23533 -3.31043 32.0896 -2.62287 76.9359
 4000 4322.01 -210.962 -370.374 -281.611 45.3166 8.01972 -5.92746 60.17 -5.21162 138.962
 6000 6085.24 -304.088 -545.476 -403.701 65.4709 11.8602 -8.52254 88.2878 -7.77476 199.771
 8000 7785.4 -397.323 -718.981 -523.83 85.8545 15.6251 -11.1927 116.217 -10.2717 259.975
 10000 9500.13 -490.472 -895.541 -647.953 106.013 19.4367 -13.4268 144.393 -12.5307 320.16
 12000 11206.3 -585.034 -1069.98 -771.171 126.008 23.2251 -15.3617 172.386 -14.8879 379.023
 14000 12903.7 -680.159 -1244.67 -893.484 146.116 27.2621 -17.6712 200.26 -17.2012 438.576
 16000 14592.5 -774.074 -1418.35 -1017.56 165.991 31.2078 -19.8125 228.131 -19.5363 498.163
 18000 16311.6 -870.636 -1594.52 -1141.2 186.05 35.2818 -21.7592 256.093 -21.7616 557.523
 20000 17992.1 -965.653 -1767.03 -1261.57 205.922 39.2177 -23.7111 283.789 -24.4458 616.709
 20000 17967 -965.074 -1759.67 -1261.5 205.599 39.1764 -23.1568 281.579 -23.8875 615.761
 40000 34827.7 -1924.86 -3475.46 -2504.08 406.474 77.2102 -38.5601 559.207 -52.0974 1216.19
 60000 51659.1 -2875.16 -5195.31 -3757.37 606.745 111.063 -44.5146 841.299 -82.8584 1813.03
 80000 68794.1 -3856.27 -6925.74 -5032.04 806.738 148.965 -49.6386 1123.83 -116.762 2420.6
 100000 86071.5 -4825.93 -8656.31 -6382.52 1004.68 185.697 -53.6961 1403.58 -143.532 3042.97
 120000 103130 -5852.07 -10353.9 -7648.4 1208.72 228.988 -61.8826 1676.41 -175.052 3652.59
 140000 119712 -6824.85 -12025.4 -8873.45 1409.23 269.195 -74.6635 1948.4 -212.586 4267.74
 160000 136620 -7783.84 -13725 -10175 1605.07 306.308 -79.509 2226.77 -248.234 4893.82
 180000 153570 -8758.9 -15430.2 -11480.9 1800.47 348.223 -88.6531 2504.68 -284.974 5530.61
 200000 170549 -9696 -17164.9 -12779.9 1994.31 385.39 -95.3929 2789.14 -320.2 6157.82
 200000 170952 -9956.74 -17058.5 -12722.6 2004.39 414.069 -86.3793 2781 -391.451 6278.45
 400000 353295 -20788.3 -35661.5 -25483.3 4104.07 890.128 -89.0295 5763.3 -711.97 12249.4
 600000 540062 -31381.2 -55000.2 -38409.7 6213.03 1339.63 -155.288 8853.95 -980.514 18264.3
 800000 725207 -41541.4 -75314 -49098.6 8317.7 1739.97 -275.647 12211.6 -1402.45 23823.8
 1e+06 921343 -52951.3 -95963.1 -61596.4 10457.9 2273.59 -273.126 15448.5 -1603.35 29432.9
 1.2e+06 1.11233e+06 -63847.4 -116290 -73683.2 12598.8 2840.15 -517.214 18622.2 -1826.74 35289.7
 1.4e+06 1.30256e+06 -76119.5 -135779 -85318.5 14957.1 3444.62 -646.752 21661.9 -2123.16 40964.6
 1.6e+06 1.49693e+06 -88234.6 -154903 -99710.2 17239.8 4026.35 -677.275 24606.4 -2310.12 47343.9
 1.8e+06 1.69672e+06 -100589 -174222 -115437 19531.2 4563.76 -509.856 27622.2 -2508.14 53944.3
 2e+06 1.9019e+06 -113537 -193246 -133176 21864.9 5120.05 -200.623 30544.6 -2659.9 61079.4
 2e+06 1.86946e+06 -106711 -195367 -127288 19884.5 4604.71 1476.83 31835.9 -3828.7 58768.7
 4e+06 4.06685e+06 -251681 -385116 -341640 42543.9 11083.2 9758.91 60910.7 -6457.63 139703
 6e+06 6.55853e+06 -437654 -583185 -591215 69636.1 19129.3 24025.5 90420.4 -9386.37 226583
 8e+06 9.46506e+06 -687859 -788506 -892773 97679.2 35144.2 43719.3 114150 -7749.5 315273
 1e+07 1.21e+07 -919136 -929181 -1.2705e+06 118752 48594.6 72856.7 125352 1941.8 400845
 1.2e+07 1.50095e+07 -1.13213e+06 -1.11836e+06 -1.67163e+06 140721 58355.5 102101 144209 18482.5 479642
 1.4e+07 1.74556e+07 -1.28655e+06 -1.24952e+06 -2.11726e+06 156318 63037.6 129744 153958 41738.3 562499
 1.6e+07 1.96279e+07 -1.42801e+06 -1.36589e+06 -2.50167e+06 176526 64448.8 152569 166697 56195.7 648816
 1.8e+07 2.15046e+07 -1.53482e+06 -1.46899e+06 -2.85559e+06 193124 65731.4 167351 178990 67048.8 744059
 2e+07 2.41094e+07 -1.66144e+06 -1.6335e+06 -3.32334e+06 213209 63615.3 192886 199956 86563.2 848318
 2e+07 1.29625e+07 -1.21453e+06 -987746 -1.01613e+06 263079 18907.2 40626.5 188766 -81643.1 547929
 4e+07 1.45647e+07 -239907 -1.41676e+06 -2.1518e+06 130433 -40358.9 -8434.72 296902 -75300 1.07384e+06
 6e+07 1.46532e+07 -903407 -1.45599e+06 -1.07053e+06 202351 96171.1 -178222 161452 55375.3 583476
