#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.25859e+09 6.25845e+09 6.27709e+09 6.24955e+09 6.25132e+09 6.25067e+09 6.25051e+09 6.25619e+09 1.12315e+10
 40 1.95475e+10 1.9547e+10 1.96137e+10 1.95106e+10 1.95224e+10 1.95137e+10 1.95156e+10 1.95371e+10 4.11657e+10
 60 3.45863e+10 3.45817e+10 3.47169e+10 3.44985e+10 3.45288e+10 3.45143e+10 3.45138e+10 3.45596e+10 8.49097e+10
 80 4.96497e+10 4.96297e+10 4.98545e+10 4.94932e+10 4.95471e+10 4.95293e+10 4.95232e+10 4.95985e+10 1.38924e+11
 100 6.46605e+10 6.46186e+10 6.49499e+10 6.44223e+10 6.45077e+10 6.44849e+10 6.44717e+10 6.45802e+10 2.00329e+11
 120 8.00954e+10 8.00294e+10 8.04703e+10 7.97585e+10 7.98738e+10 7.98641e+10 7.98321e+10 7.99786e+10 2.66783e+11
 140 9.64325e+10 9.63498e+10 9.68888e+10 9.59811e+10 9.61229e+10 9.6162e+10 9.60887e+10 9.6276e+10 3.36706e+11
 160 1.13832e+11 1.13747e+11 1.14366e+11 1.1326e+11 1.13427e+11 1.13542e+11 1.1341e+11 1.13639e+11 4.09041e+11
 180 1.32087e+11 1.32004e+11 1.32692e+11 1.31394e+11 1.31576e+11 1.31784e+11 1.31585e+11 1.31855e+11 4.82686e+11
 200 1.50886e+11 1.50803e+11 1.5156e+11 1.50076e+11 1.50263e+11 1.50565e+11 1.50301e+11 1.50614e+11 5.56528e+11
 200 1.51113e+11 1.51067e+11 1.51677e+11 1.50058e+11 1.5027e+11 1.50416e+11 1.50248e+11 1.50663e+11 5.56115e+11
 400 3.58081e+11 3.577e+11 3.5962e+11 3.56333e+11 3.56758e+11 3.57071e+11 3.56721e+11 3.57419e+11 1.21638e+12
 600 5.85021e+11 5.82426e+11 5.87349e+11 5.80948e+11 5.82088e+11 5.82525e+11 5.81854e+11 5.83085e+11 1.60399e+12
 800 8.20544e+11 8.15534e+11 8.24237e+11 8.13615e+11 8.15941e+11 8.16511e+11 8.15356e+11 8.17256e+11 1.64414e+12
 1000 1.06e+12 1.05248e+12 1.06495e+12 1.0495e+12 1.05458e+12 1.05499e+12 1.05302e+12 1.05547e+12 1.43549e+12
 1200 1.30138e+12 1.29226e+12 1.30781e+12 1.28754e+12 1.29495e+12 1.29649e+12 1.29299e+12 1.29599e+12 1.18962e+12
 1400 1.54421e+12 1.53359e+12 1.55184e+12 1.52761e+12 1.53687e+12 1.53938e+12 1.53462e+12 1.53806e+12 1.04361e+12
 1600 1.78797e+12 1.77536e+12 1.79676e+12 1.76856e+12 1.77924e+12 1.78375e+12 1.77718e+12 1.78099e+12 1.02549e+12
 1800 2.03194e+12 2.01691e+12 2.04166e+12 2.01013e+12 2.02177e+12 2.02926e+12 2.02039e+12 2.0243e+12 1.0984e+12
 2000 2.27681e+12 2.25846e+12 2.28635e+12 2.25175e+12 2.26381e+12 2.27524e+12 2.2636e+12 2.26771e+12 1.19365e+12
 2000 2.28526e+12 2.26614e+12 2.30449e+12 2.2452e+12 2.27674e+12 2.2716e+12 2.26451e+12 2.27283e+12 1.18997e+12
 4000 4.73478e+12 4.71845e+12 4.79574e+12 4.64155e+12 4.70235e+12 4.79295e+12 4.71228e+12 4.72723e+12 1.27383e+12
 6000 7.23125e+12 7.2311e+12 7.29107e+12 7.0949e+12 7.15985e+12 7.34425e+12 7.19967e+12 7.22026e+12 1.344e+12
 8000 9.75063e+12 9.77654e+12 9.83855e+12 9.61234e+12 9.62221e+12 9.8953e+12 9.70995e+12 9.7414e+12 1.39577e+12
 10000 1.22663e+13 1.23408e+13 1.23444e+13 1.21583e+13 1.20857e+13 1.23881e+13 1.22107e+13 1.22533e+13 1.45461e+12
 12000 1.47581e+13 1.48865e+13 1.48167e+13 1.46797e+13 1.45645e+13 1.49182e+13 1.47208e+13 1.47606e+13 1.51601e+12
 14000 1.72282e+13 1.74257e+13 1.72771e+13 1.7215e+13 1.70404e+13 1.74512e+13 1.72355e+13 1.72654e+13 1.56626e+12
 16000 1.97177e+13 1.99573e+13 1.97504e+13 1.97653e+13 1.94872e+13 1.99912e+13 1.97479e+13 1.97721e+13 1.64491e+12
