#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 6686.7 36.5528 44.5602 31.6999
 4000 11472.4 63.5418 78.2707 53.0963
 6000 16104.5 89.7647 111.058 73.4967
 8000 20708.7 115.815 143.613 93.4977
 10000 25314.4 141.779 176.052 113.483
 12000 29901 167.519 208.301 133.417
 14000 34484.4 193.188 240.521 153.265
 16000 39081.4 218.799 272.757 172.999
 18000 43700.4 244.519 305.086 192.806
 20000 48279.1 269.997 337.1 212.382
 20000 48346.5 270.46 336.755 213.336
 40000 94244.4 524.201 657.09 406.107
 60000 140109 777.628 978.478 597.738
 80000 185972 1030.07 1299.38 790.478
 100000 231780 1281.23 1621.05 983.527
 120000 277600 1533.87 1943.81 1176.21
 140000 323474 1786.54 2267.35 1368.47
 160000 369283 2038.21 2591.19 1560.38
 180000 414953 2287.99 2915.74 1753.76
 200000 460727 2537.45 3242.11 1944.29
 200000 461089 2533.13 3244.4 1931.47
 400000 918442 5011.69 6455.11 3770.86
 600000 1.37718e+06 7486.23 9712.61 5648.33
 800000 1.83639e+06 9939.75 12959.2 7547.22
 1e+06 2.29554e+06 12438.1 16169.8 9430.86
 1.2e+06 2.75545e+06 14994.9 19434.9 11362.3
 1.4e+06 3.21511e+06 17609.6 22640.8 13385.4
 1.6e+06 3.67529e+06 20233.4 25812.2 15473.4
 1.8e+06 4.13623e+06 22900 28911.5 17499.1
 2e+06 4.59651e+06 25539 32035.6 19447.7
 2e+06 4.61413e+06 25961.5 32496.4 19851.8
 4e+06 9.2464e+06 52258.6 63592.9 39229.1
 6e+06 1.3857e+07 80553.8 92867 60132.2
 8e+06 1.84457e+07 108879 125093 82357.5
 1e+07 2.30349e+07 137545 156558 103627
 1.2e+07 2.76067e+07 167892 187606 123260
 1.4e+07 3.21313e+07 197059 219734 143146
 1.6e+07 3.66221e+07 224728 253264 162873
 1.8e+07 4.10559e+07 251515 286207 180217
 2e+07 4.54696e+07 276005 319855 198880
 2e+07 4.48302e+07 268234 309357 177809
 4e+07 8.912e+07 534705 699968 339647
