#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__O_Water	MSD__H_Water	
 1000 310.532 714.461
 2000 546.558 1237.08
 3000 775.462 1733.68
 4000 1002.88 2219.05
 5000 1229.21 2695.95
 6000 1454.95 3166.68
 7000 1680.35 3632.98
 8000 1905.42 4095.63
 9000 2130.12 4555.21
 10000 2355.03 5013.06
 10000 2354.19 5009.59
 20000 4602.21 9535.88
 30000 6850.65 14034.6
 40000 9095.51 18522.7
 50000 11342.9 23017.9
 60000 13584.3 27502.7
 70000 15824.7 31983
 80000 18064.5 36463.5
 90000 20308.1 40951.7
 100000 22555 45445.1
 100000 22585.9 45488.9
 200000 45145.4 90613.5
 300000 67564.8 135473
 400000 89898.4 180161
 500000 112171 224701
 600000 134470 269305
 700000 156552 313453
 800000 178515 357370
 900000 200326 400996
 1e+06 222267 444872
 1e+06 220509 441352
 2e+06 439733 879860
 3e+06 661530 1.32335e+06
 4e+06 888804 1.77788e+06
 5e+06 1.1179e+06 2.23633e+06
 6e+06 1.35457e+06 2.70977e+06
 7e+06 1.59393e+06 3.18841e+06
 8e+06 1.84673e+06 3.69359e+06
 9e+06 2.0632e+06 4.12701e+06
 1e+07 2.26999e+06 4.54083e+06
 1e+07 2.26999e+06 4.54083e+06
