# Radius 	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	finiterdf__O_Water_H_Water	rdf__O_Water_H_Water	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	
2.54931 0.422657	0.421987	0.229436	0.229349	1.19736	1.1977	
2.56979 0.681393	0.680297	0.24252	0.242415	1.1641	1.16445	
2.59026 1.01006	1.00843	0.259387	0.259261	1.12599	1.12633	
2.61074 1.38739	1.38519	0.277184	0.277035	1.0901	1.09044	
2.63122 1.78592	1.7832	0.297711	0.297535	1.04672	1.04705	
2.65169 2.1674	2.16429	0.32136	0.321154	1.01006	1.01038	
2.67217 2.50288	2.49957	0.34692	0.34668	0.970799	0.971103	
2.69265 2.76301	2.75973	0.374974	0.374697	0.935712	0.936	
2.71312 2.94818	2.94513	0.40396	0.403643	0.90027	0.900541	
2.7336 3.04676	3.0441	0.436871	0.436508	0.869586	0.869838	
2.75408 3.06121	3.05904	0.472943	0.47253	0.839414	0.839648	
2.77455 3.01071	3.00908	0.511027	0.51056	0.812369	0.812582	
2.79503 2.90477	2.90365	0.550285	0.549761	0.788774	0.788967	
2.8155 2.76508	2.76443	0.591891	0.591308	0.77008	0.770253	
2.83598 2.5951	2.59485	0.636281	0.635634	0.750121	0.750274	
2.85646 2.41465	2.4147	0.685269	0.684554	0.736378	0.736511	
2.87693 2.22645	2.22675	0.737267	0.736481	0.723281	0.723395	
2.89741 2.04981	2.05027	0.789371	0.788514	0.715123	0.715217	
2.91789 1.87794	1.87851	0.843909	0.842981	0.706545	0.706619	
2.93836 1.72389	1.72453	0.903249	0.902248	0.704081	0.704136	
2.95884 1.58104	1.58171	0.964815	0.963742	0.7014	0.701435	
2.97932 1.45407	1.45476	1.02659	1.02545	0.701424	0.701439	
2.99979 1.34946	1.35014	1.08917	1.08797	0.701992	0.701987	
3.02027 1.2491	1.24976	1.1524	1.15115	0.706302	0.706277	
3.04074 1.1694	1.17004	1.21422	1.21292	0.709989	0.709944	
3.06122 1.09688	1.09749	1.27728	1.27596	0.715741	0.715674	
3.0817 1.03755	1.03813	1.33209	1.33076	0.724045	0.723958	
3.10217 0.986833	0.987381	1.38664	1.38531	0.73037	0.730262	
3.12265 0.946967	0.947488	1.43165	1.43033	0.739286	0.739156	
3.14313 0.913802	0.914297	1.46959	1.46831	0.749485	0.749334	
3.1636 0.883938	0.884406	1.50522	1.50399	0.759731	0.759558	
3.18408 0.858514	0.858955	1.52885	1.52768	0.769138	0.768944	
3.20456 0.845025	0.845445	1.54623	1.54514	0.781739	0.781523	
3.22503 0.830419	0.830816	1.55607	1.55508	0.796233	0.795996	
3.24551 0.818797	0.819172	1.56152	1.56062	0.807032	0.806773	
3.26598 0.810876	0.81123	1.55842	1.55762	0.819612	0.819333	
3.28646 0.806622	0.806956	1.55299	1.55229	0.833477	0.833177	
3.30694 0.802663	0.802977	1.54091	1.54031	0.848048	0.847728	
3.32741 0.800339	0.800633	1.52545	1.52496	0.862912	0.862572	
3.34789 0.796327	0.7966	1.50886	1.50846	0.876579	0.87622	
3.36837 0.799389	0.799644	1.48608	1.48577	0.89086	0.890484	
3.38884 0.801939	0.802176	1.46435	1.46414	0.906319	0.905926	
3.40932 0.804967	0.805185	1.44203	1.44189	0.921323	0.920914	
3.4298 0.806185	0.806384	1.41836	1.41831	0.937357	0.936934	
3.45027 0.809246	0.809426	1.39332	1.39333	0.952325	0.951889	
3.47075 0.814425	0.814587	1.36637	1.36644	0.966834	0.966388	
3.49123 0.819092	0.819235	1.34346	1.3436	0.982174	0.981718	
3.5117 0.822465	0.82259	1.31561	1.31579	0.998257	0.997793	
3.53218 0.827902	0.828008	1.29013	1.29037	1.01271	1.01224	
3.55265 0.837729	0.837818	1.26481	1.26508	1.02765	1.02718	
3.57313 0.8418	0.841872	1.24242	1.24273	1.04212	1.04165	
3.59361 0.846271	0.846325	1.21659	1.21693	1.05639	1.05592	
3.61408 0.853264	0.853301	1.19336	1.19373	1.06849	1.06802	
3.63456 0.85922	0.85924	1.17425	1.17464	1.081	1.08054	
3.65504 0.864918	0.864922	1.15062	1.15102	1.09434	1.09388	
3.67551 0.874423	0.874411	1.1302	1.13062	1.10641	1.10597	
3.69599 0.878499	0.878471	1.10913	1.10956	1.11552	1.1151	
3.71647 0.885314	0.885271	1.09216	1.0926	1.12488	1.12448	
3.73694 0.895445	0.895388	1.07574	1.07618	1.1337	1.13331	
3.75742 0.900661	0.90059	1.06094	1.06139	1.14385	1.14348	
3.77789 0.907614	0.907529	1.0478	1.04825	1.1494	1.14905	
3.79837 0.915058	0.914961	1.03639	1.03684	1.15558	1.15527	
3.81885 0.926015	0.925906	1.02491	1.02536	1.16066	1.16037	
3.83932 0.933392	0.933272	1.0162	1.01664	1.16424	1.16398	
3.8598 0.938497	0.938367	1.00718	1.00762	1.1683	1.16807	
3.88028 0.946215	0.946076	1.0003	1.00075	1.16903	1.16883	
3.90075 0.951048	0.9509	0.995331	0.995771	1.16828	1.16812	
3.92123 0.962411	0.962256	0.989804	0.99024	1.16665	1.16652	
3.94171 0.968107	0.967946	0.985626	0.986058	1.16352	1.16342	
3.96218 0.976272	0.976105	0.982476	0.982904	1.1599	1.15983	
3.98266 0.98319	0.983019	0.979765	0.980189	1.15496	1.15492	
4.00314 0.994083	0.99391	0.979049	0.979469	1.14959	1.14958	
4.02361 0.998843	0.998669	0.97617	0.976584	1.14213	1.14215	
4.04409 1.00622	1.00605	0.974016	0.974425	1.13443	1.13448	
4.06456 1.0147	1.01453	0.972572	0.972976	1.1275	1.12757	
4.08504 1.02425	1.02408	0.972997	0.973396	1.12085	1.12095	
4.10552 1.02814	1.02798	0.971347	0.97174	1.11101	1.11113	
4.12599 1.03886	1.03869	0.97024	0.970628	1.10319	1.10333	
4.14647 1.04302	1.04287	0.970726	0.97111	1.09441	1.09457	
4.16695 1.05328	1.05313	0.969899	0.970277	1.08709	1.08726	
4.18742 1.05791	1.05778	0.968949	0.969321	1.08025	1.08043	
4.2079 1.06612	1.066	0.968831	0.969197	1.07136	1.07156	
4.22838 1.0713	1.07119	0.968911	0.969271	1.06526	1.06547	
4.24885 1.07736	1.07727	0.96745	0.967804	1.05972	1.05995	
4.26933 1.08185	1.08177	0.96635	0.966697	1.05551	1.05574	
4.2898 1.0866	1.08655	0.965789	0.966129	1.04941	1.04965	
4.31028 1.08876	1.08872	0.965505	0.965839	1.04464	1.04489	
4.33076 1.09699	1.09697	0.965095	0.965422	1.04264	1.0429	
4.35123 1.10062	1.10063	0.964661	0.964981	1.03849	1.03875	
4.37171 1.10042	1.10044	0.962581	0.962892	1.03632	1.0366	
4.39219 1.10261	1.10266	0.963448	0.963753	1.03459	1.03487	
4.41266 1.10701	1.10709	0.961038	0.961334	1.03316	1.03345	
4.43314 1.10891	1.10901	0.960499	0.960787	1.03134	1.03164	
4.45362 1.10919	1.10932	0.960076	0.960356	1.02997	1.03028	
4.47409 1.11181	1.11197	0.959175	0.959446	1.02888	1.02919	
4.49457 1.11258	1.11276	0.95891	0.959173	1.02898	1.0293	
4.51504 1.11197	1.11218	0.958471	0.958725	1.02641	1.02673	
4.53552 1.1101	1.11033	0.957191	0.957435	1.02593	1.02626	
4.556 1.11281	1.11307	0.956439	0.956674	1.02523	1.02556	
4.57647 1.10949	1.10978	0.95799	0.958216	1.02565	1.02598	
4.59695 1.10933	1.10966	0.957619	0.957836	1.02414	1.02448	
4.61743 1.10768	1.10803	0.957864	0.958072	1.02241	1.02276	
4.6379 1.10529	1.10567	0.957513	0.957711	1.02209	1.02244	
4.65838 1.10334	1.10374	0.959546	0.959735	1.02039	1.02075	
4.67886 1.1016	1.10203	0.959708	0.959889	1.01952	1.01988	
4.69933 1.09857	1.09903	0.960673	0.960845	1.01781	1.01818	
4.71981 1.09395	1.09442	0.96188	0.962043	1.01606	1.01643	
4.74029 1.09001	1.0905	0.962903	0.963057	1.01539	1.01576	
4.76076 1.08515	1.08567	0.963951	0.964098	1.01424	1.01461	
4.78124 1.08321	1.08375	0.966575	0.966713	1.01214	1.01252	
4.80171 1.07873	1.07929	0.968032	0.968164	1.00994	1.01031	
4.82219 1.0741	1.07468	0.969772	0.969897	1.00795	1.00833	
4.84267 1.06842	1.06901	0.972468	0.972586	1.00564	1.00602	
4.86314 1.06523	1.06583	0.974843	0.974955	1.00351	1.00389	
4.88362 1.06219	1.06281	0.977137	0.977243	1.00142	1.0018	
4.9041 1.05394	1.05457	0.978579	0.978681	0.998907	0.999287	
4.92457 1.05032	1.05097	0.982554	0.982651	0.996488	0.996866	
4.94505 1.04662	1.04727	0.983069	0.983162	0.9944	0.994776	
4.96553 1.04089	1.04156	0.985157	0.985246	0.992116	0.992489	
4.986 1.03668	1.03735	0.988487	0.988573	0.989702	0.990071	
5.00648 1.0314	1.03207	0.991712	0.991796	0.987627	0.987992	
5.02695 1.02516	1.02584	0.993196	0.993279	0.984133	0.984493	
5.04743 1.01818	1.01886	0.995634	0.995716	0.982284	0.982638	
5.06791 1.01441	1.01509	0.998915	0.998997	0.979948	0.980296	
5.08838 1.00783	1.00851	0.999925	1.00001	0.978146	0.978487	
5.10886 1.00462	1.0053	1.00271	1.00279	0.975812	0.976147	
5.12934 0.999191	0.999867	1.00478	1.00486	0.973568	0.973894	
5.14981 0.994868	0.99554	1.00667	1.00675	0.970802	0.971119	
5.17029 0.988905	0.98957	1.00875	1.00884	0.969249	0.969557	
5.19077 0.983493	0.98415	1.00996	1.01005	0.9677	0.967998	
5.21124 0.978533	0.979181	1.0111	1.0112	0.967184	0.967473	
5.23172 0.974705	0.975342	1.01271	1.01281	0.965219	0.965498	
5.2522 0.969404	0.970029	1.01374	1.01385	0.964338	0.964606	
5.27267 0.965627	0.96624	1.01643	1.01654	0.963034	0.963291	
5.29315 0.957814	0.95841	1.01612	1.01623	0.961852	0.962098	
5.31362 0.955317	0.955899	1.01914	1.01926	0.961483	0.961717	
5.3341 0.948502	0.949065	1.02021	1.02033	0.960638	0.960861	
5.35458 0.946037	0.946582	1.01943	1.01956	0.961151	0.961361	
5.37505 0.94112	0.941645	1.0199	1.02004	0.960275	0.960474	
5.39553 0.936555	0.937059	1.02145	1.0216	0.960923	0.96111	
5.41601 0.933391	0.933874	1.02137	1.02152	0.961796	0.961971	
5.43648 0.927944	0.928402	1.02123	1.02139	0.960813	0.960977	
5.45696 0.924085	0.924518	1.02104	1.02121	0.961748	0.9619	
5.47744 0.921978	0.922387	1.02047	1.02065	0.962522	0.962662	
5.49791 0.918935	0.919318	1.02088	1.02106	0.9638	0.963929	
5.51839 0.914065	0.914421	1.02014	1.02032	0.963961	0.964078	
5.53886 0.911359	0.911687	1.01894	1.01914	0.964866	0.964972	
5.55934 0.910834	0.911134	1.01901	1.01922	0.966801	0.966896	
5.57982 0.907119	0.907389	1.01695	1.01716	0.967656	0.967741	
