#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 3512.88 -159.303 -290.897 -271.673 34.8008 5.17933 -2.60245 41.4071 9.89973 88.3458
 4000 5398.91 -253.613 -466.331 -402.989 55.5 8.87488 -5.45484 69.6581 7.87786 151.017
 6000 7118.61 -345.956 -636.443 -523.454 75.7479 12.6001 -8.43456 97.3599 5.06528 212.172
 8000 8804.25 -437.795 -806.242 -643.642 95.707 16.3556 -11.2729 124.614 2.50081 272.062
 10000 10493 -529.842 -978.739 -768.054 115.533 20.2205 -14.0277 152.134 0.492145 332.296
 12000 12141.3 -619.52 -1148.05 -891.012 135.251 23.8958 -16.9727 179.437 -1.90174 393.084
 14000 13788.3 -710.108 -1318.45 -1010.29 155.109 27.6556 -20.2822 206.929 -4.32148 453.375
 16000 15443.8 -802.865 -1486.41 -1132.03 175.104 31.5247 -23.1842 233.923 -7.05207 513.863
 18000 17093.9 -895.219 -1655.88 -1250.83 195.188 35.4777 -26.1439 261.248 -9.97428 573.848
 20000 18738.6 -987.677 -1823.93 -1370.45 215.294 39.3175 -29.0523 288.404 -13.0029 634.172
 20000 18980 -1002.43 -1845.62 -1376.47 216.641 39.93 -26.8756 291.166 -12.4755 630.23
 40000 35313.3 -1912.11 -3523.23 -2591.23 409.686 79.8427 -54.6411 559.696 -36.2859 1230.18
 60000 52026.3 -2859.79 -5238.82 -3804.39 610.828 124.271 -89.8654 829.783 -56.9415 1835.35
 80000 69031.2 -3808.47 -6986.58 -5050.37 802.159 176.161 -127.815 1101.61 -80.8476 2463.15
 100000 86162.8 -4794.16 -8722.63 -6310.94 1001.08 228.968 -162.086 1371.95 -106.418 3091.9
 120000 103511 -5806.14 -10484.3 -7563.23 1201.44 283.419 -194.669 1643.33 -128.8 3712.09
 140000 120519 -6814.5 -12199.5 -8805.93 1405.84 334.232 -225.122 1909.3 -148.098 4315.82
 160000 137544 -7805.7 -13908.6 -10090.9 1608.76 384.098 -255.488 2171.84 -161.205 4919.93
 180000 154932 -8808.04 -15636.5 -11460.3 1806.58 435.948 -280.409 2434.29 -168.358 5533.23
 200000 172169 -9789.43 -17367.9 -12796.2 2004 484.523 -304.802 2699.67 -178.968 6146.3
 200000 176008 -9654.98 -17627.2 -14087 1975.57 470.615 -282.316 2664.66 40.0109 6138.69
 400000 343027 -19808.2 -34486.1 -25760.9 3999.94 1016.54 -608.754 5300.37 -301.558 12279.8
 600000 503375 -29975.2 -51272.1 -34931 5901.5 1609.99 -857.337 8030.87 -945.848 17952.5
 800000 662438 -40553.5 -67896.1 -43212.1 7769.98 2274.38 -1097.62 10683 -1580.81 23252.2
 1e+06 828368 -51618.1 -85025.1 -52453.8 9768.47 2998.31 -1472.48 13329.2 -2081.21 28844
 1.2e+06 1.00466e+06 -63368.5 -102982 -62878.7 11823.1 3749.29 -1687.78 16023.9 -2418.39 34273.4
 1.4e+06 1.17616e+06 -73860.9 -121252 -72430.4 13825.6 4381.1 -2068.45 18814.6 -2693.53 39486.6
 1.6e+06 1.3562e+06 -84373.6 -140280 -83428.8 15847.6 5027.16 -2520.91 21651.7 -2783.79 44884.9
 1.8e+06 1.53782e+06 -95285.4 -158748 -95991.7 17848.2 5701.86 -2798.74 24357.7 -2842.06 50608
 2e+06 1.7327e+06 -106868 -178698 -109452 19667.3 6509.01 -2868.48 27191.3 -2783.83 56106
 2e+06 1.76155e+06 -100709 -186321 -113819 18754.9 6551.08 -3999.79 28008.3 -1652.34 57268.2
 4e+06 3.52415e+06 -181072 -361901 -283416 34994.2 9445.2 -3542.74 53035.9 4887.14 110229
 6e+06 5.14791e+06 -257485 -511615 -469066 53205.7 11069.3 -4504.02 75200.4 10400.3 174290
 8e+06 6.69138e+06 -323380 -669724 -615902 67840.5 15442.6 -11127.4 98006.7 13313.3 237646
 1e+07 7.81459e+06 -372824 -766537 -762950 80869.1 18054.3 -17592.3 110318 19005.6 293847
 1.2e+07 8.54588e+06 -417433 -828534 -844225 95618.4 19066.8 -24714.1 120531 18326.7 339845
 1.4e+07 9.69733e+06 -497815 -924457 -956224 110823 22089.1 -22838.2 136048 15051.3 390609
 1.6e+07 1.08614e+07 -598546 -1.03892e+06 -996456 132151 26888.6 -26610.5 152908 13532.8 416147
 1.8e+07 1.20193e+07 -674414 -1.10966e+06 -1.18147e+06 151501 25625.8 -22807.5 161233 24521.4 459282
 2e+07 1.31991e+07 -771899 -1.14814e+06 -1.41903e+06 172217 24248.7 -12082.2 163615 36753.2 510202
 2e+07 1.25605e+07 -883589 -1.12346e+06 -1.05149e+06 161443 43768.4 3740.26 131400 74376 246136
 4e+07 2.97734e+07 -2.83004e+06 -1.94576e+06 -3.05362e+06 450280 115823 173590 181931 174072 560729
 6e+07 4.81989e+07 -4.75642e+06 -2.85539e+06 -5.36813e+06 787716 177689 284150 249041 286321 1.06107e+06
 8e+07 7.81957e+07 -6.91467e+06 -5.42172e+06 -8.08896e+06 971848 338220 487737 505875 468035 1.4242e+06
 1e+08 8.32925e+07 -7.71482e+06 -5.12261e+06 -9.56487e+06 1.26165e+06 392481 222476 372456 578344 2.16793e+06
