# Time-averaged data for fix TEAve
# TimeStep v_TotEn
30100000 -14037
30200000 -14039.1
30300000 -14036.8
30400000 -14034.5
30500000 -14034.1
30600000 -14039.7
30700000 -14034.8
30800000 -14025.7
30900000 -14031.2
31000000 -14042.5
31100000 -14039.6
31200000 -14037.9
31300000 -14031.9
31400000 -14033.4
31500000 -14030
31600000 -14038.9
31700000 -14030.5
31800000 -14040.3
31900000 -14038.1
32000000 -14031.8
32100000 -14028
32200000 -14032.8
32300000 -14043.3
32400000 -14035.1
32500000 -14034.1
32600000 -14025
32700000 -14039.2
32800000 -14036
32900000 -14034.7
33000000 -14039.5
33100000 -14034.8
33200000 -14029.3
33300000 -14038
33400000 -14035.6
33500000 -14040.3
33600000 -14041.6
33700000 -14034.7
33800000 -14037.6
33900000 -14031.4
34000000 -14036.5
34100000 -14028.3
34200000 -14037.3
34300000 -14032
34400000 -14028.6
34500000 -14034.2
34600000 -14035
34700000 -14039.9
34800000 -14029.2
34900000 -14042.8
35000000 -14032.5
35100000 -14036.3
35200000 -14039
35300000 -14032.7
35400000 -14038.2
35500000 -14039.3
35600000 -14040.6
35700000 -14039.1
35800000 -14031.7
35900000 -14028.8
36000000 -14035.2
36100000 -14036.5
36200000 -14033.8
36300000 -14031.1
36400000 -14040.2
36500000 -14035.1
36600000 -14031.8
36700000 -14043.4
36800000 -14039.9
36900000 -14041.8
37000000 -14031.9
37100000 -14034.4
37200000 -14027.2
37300000 -14033.7
37400000 -14030.3
37500000 -14039.8
37600000 -14035.9
37700000 -14037.3
37800000 -14029.9
37900000 -14032.7
38000000 -14032.3
38100000 -14029.4
38200000 -14038.5
38300000 -14039.5
38400000 -14032.9
38500000 -14030.4
38600000 -14034.1
38700000 -14041.8
38800000 -14034.8
38900000 -14035.7
39000000 -14032.4
39100000 -14029.9
39200000 -14033.8
39300000 -14035.4
39400000 -14033.1
39500000 -14036.9
39600000 -14033.9
39700000 -14033.9
39800000 -14028.4
39900000 -14034.5
40000000 -14036
40100000 -14039.1
40200000 -14035.3
40300000 -14031.7
40400000 -14034.8
40500000 -14042.9
40600000 -14034.5
40700000 -14036.7
40800000 -14031
40900000 -14041.6
41000000 -14035
41100000 -14040.3
41200000 -14031.2
41300000 -14037.3
41400000 -14035.4
41500000 -14036.6
41600000 -14042.6
41700000 -14032.9
41800000 -14034.5
41900000 -14041
42000000 -14040.4
42100000 -14036.8
42200000 -14030.4
42300000 -14023.3
42400000 -14034
42500000 -14035.7
42600000 -14031.7
42700000 -14040.3
42800000 -14028.6
42900000 -14036.1
43000000 -14032.9
43100000 -14030.6
43200000 -14035.6
43300000 -14041.1
43400000 -14027
43500000 -14027
43600000 -14033.8
43700000 -14036.9
43800000 -14038
43900000 -14035.5
44000000 -14029.6
44100000 -14033.1
44200000 -14032.3
44300000 -14033.4
44400000 -14039
44500000 -14033.5
44600000 -14038.1
44700000 -14031.2
44800000 -14034.4
44900000 -14032.3
45000000 -14034.1
45100000 -14037.4
45200000 -14030.4
45300000 -14032.1
45400000 -14032.5
45500000 -14043.8
45600000 -14036.9
45700000 -14025
45800000 -14031.8
45900000 -14042
46000000 -14040.1
46100000 -14043.5
46200000 -14032
46300000 -14039.9
46400000 -14038
46500000 -14037.1
46600000 -14038.4
46700000 -14030.7
46800000 -14032.2
46900000 -14034.5
47000000 -14045
47100000 -14035.5
47200000 -14031.9
47300000 -14035
47400000 -14035
47500000 -14030
47600000 -14035
47700000 -14036
47800000 -14030.8
47900000 -14033.1
48000000 -14039.8
48100000 -14029.9
48200000 -14030.1
48300000 -14032.5
48400000 -14033.7
48500000 -14039.4
48600000 -14030.1
48700000 -14033.9
48800000 -14042.9
48900000 -14029.5
49000000 -14029.6
49100000 -14035.2
49200000 -14042.9
49300000 -14030.7
49400000 -14036.7
49500000 -14033.9
49600000 -14043.2
49700000 -14036.2
49800000 -14028
49900000 -14041.6
50000000 -14038.5
