#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 8344.06 46.8459 54.1456 44.3006
 4000 13229.6 74.3751 88.3648 66.1976
 6000 17878 100.692 121.204 86.5487
 8000 22457.1 126.487 153.511 106.362
 10000 27079.9 152.505 185.91 126.512
 12000 31672.8 178.264 218.028 146.46
 14000 36282.8 204.036 250.191 166.406
 16000 40855.1 229.606 282.076 186.18
 18000 45474.1 255.41 314.117 206.025
 20000 50086.3 281.155 346.142 225.958
 20000 50007 280.581 345.43 224.984
 40000 95859.7 535.66 661.439 422.517
 60000 141859 791.681 978.645 621.687
 80000 187664 1046.01 1294.99 821.274
 100000 233576 1300.75 1611.98 1017.04
 120000 279405 1555.7 1927.89 1209.58
 140000 325486 1811.13 2244.9 1402.3
 160000 371375 2067.03 2560.32 1594.12
 180000 417166 2323.04 2874.51 1788.4
 200000 463135 2580.02 3190.75 1983.07
 200000 463071 2571.54 3181.54 1992.49
 400000 921486 5140.49 6319.89 3977.37
 600000 1.37939e+06 7703.89 9452.41 6005.77
 800000 1.83736e+06 10310.3 12559.9 7927.53
 1e+06 2.29503e+06 12924.8 15713.3 9908.84
 1.2e+06 2.75278e+06 15563.8 18838.4 11822.2
 1.4e+06 3.21091e+06 18216.4 21929.8 13736.4
 1.6e+06 3.67027e+06 20878 24997 15682.8
 1.8e+06 4.12932e+06 23522.2 28095 17629.5
 2e+06 4.58842e+06 26167.3 31170.2 19517.2
 2e+06 4.59047e+06 25828.4 31105.4 20368.7
 4e+06 9.19288e+06 51909.7 60875.7 40503.3
 6e+06 1.38294e+07 78275.8 90212.3 60993.7
 8e+06 1.84394e+07 104639 121170 83269.2
 1e+07 2.30474e+07 131407 151092 105241
 1.2e+07 2.75647e+07 157750 182011 126631
 1.4e+07 3.21072e+07 183490 212873 147683
 1.6e+07 3.66786e+07 209942 243534 168521
 1.8e+07 4.12603e+07 235471 272532 188627
 2e+07 4.58676e+07 261236 302655 209711
 2e+07 4.62844e+07 266178 312587 164445
 4e+07 9.29733e+07 531505 632044 416635
 6e+07 1.40695e+08 818397 923955 734552
 8e+07 1.8874e+08 1.16941e+06 1.2358e+06 990388
 1e+08 2.32021e+08 1.55944e+06 1.56193e+06 1.31018e+06
