#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 6709.22 34.0758 44.1345 31.642
 4000 11512.6 60.9385 77.9135 53.2658
 6000 16130.4 86.9689 110.532 73.7051
 8000 20735.6 112.909 143.036 94.0113
 10000 25332.3 138.675 175.401 114.336
 12000 29923.3 164.354 207.652 134.555
 14000 34523.7 190.002 239.887 154.908
 16000 39119.9 215.554 271.94 175.246
 18000 43711 241.089 303.964 195.306
 20000 48278.2 266.482 335.731 215.161
 20000 48289.8 266.901 335.593 216.142
 40000 94165 521.131 653.853 412.97
 60000 139907 775.731 970.342 609.851
 80000 185731 1029.5 1285.86 812.947
 100000 231488 1283.23 1604.3 1013.79
 120000 277175 1537.72 1922.69 1210.92
 140000 323023 1792.07 2244.23 1408.9
 160000 368718 2044.77 2566.1 1610.05
 180000 414159 2297.29 2886.68 1811.54
 200000 459935 2550.8 3210.88 2013.73
 200000 459732 2545.28 3196.96 1981.05
 400000 915466 5068.51 6410.44 4041.87
 600000 1.37061e+06 7635.68 9644.41 6041.69
 800000 1.82562e+06 10132.2 12927.2 8083.72
 1e+06 2.27962e+06 12632.3 16213.3 10124.5
 1.2e+06 2.73377e+06 15099.7 19466.5 12061
 1.4e+06 3.18849e+06 17550.2 22710 13856.8
 1.6e+06 3.64493e+06 19967 25922.3 15737.9
 1.8e+06 4.10169e+06 22410.3 29147.8 17623
 2e+06 4.55853e+06 24862.8 32344.9 19436
 2e+06 4.54063e+06 25169.4 33037 20096.1
 4e+06 9.12508e+06 49118.5 64871.6 38404.1
 6e+06 1.37018e+07 74025.9 97029.2 54687.9
 8e+06 1.83006e+07 100010 131016 69747.2
 1e+07 2.28388e+07 124303 162864 85749.7
 1.2e+07 2.73696e+07 146571 196402 104416
 1.4e+07 3.18714e+07 167666 229859 120724
 1.6e+07 3.64693e+07 187377 264275 138571
 1.8e+07 4.11362e+07 206658 300016 161827
 2e+07 4.58225e+07 225371 335219 189165
 2e+07 4.47948e+07 214474 336754 178488
 4e+07 9.36375e+07 413053 680679 462281
