#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 3230.15 -247.934 -333.301 -87.6041 34.8274 9.06815 3.29057 110.218 2.46095 14.9557
 4000 4829.81 -364.346 -531.355 -145.263 53.708 8.32291 5.25646 195.526 1.13493 27.6046
 6000 6203.5 -469.752 -715.738 -200.141 70.9038 6.88511 7.09943 277.32 -0.333103 39.9403
 8000 7508.65 -573.16 -898.502 -254.88 87.9116 5.18522 8.92709 359.089 -1.68103 52.2227
 10000 8821.77 -679.214 -1083.15 -309.77 105.107 3.61072 10.7842 440.896 -3.12965 64.6945
 12000 10096.7 -783.135 -1265.37 -363.523 122.163 1.7083 12.7198 522.364 -4.868 77.0423
 14000 11429.5 -893.862 -1453.19 -418.529 139.978 0.425225 14.837 603.979 -6.38058 89.3474
 16000 12719.6 -1001.07 -1638.64 -472.881 157.477 -0.845629 16.8283 684.409 -7.65756 101.54
 18000 14020.3 -1109.81 -1819.75 -527.722 175.129 -2.11566 18.8972 762.873 -9.02736 113.579
 20000 15296.3 -1217.97 -1998.3 -581.335 192.641 -3.27849 20.9227 839.855 -10.3494 125.469
 20000 15485.7 -1234.1 -1996.71 -601.949 194.17 -4.18681 22.9833 840.995 -10.0888 126.267
 40000 28081.7 -2299.83 -3750.43 -1141.24 369.252 -20.0156 44.6022 1622.06 -28.4296 245.599
 60000 40889.1 -3382.39 -5566.93 -1649.16 544.355 -31.9723 63.5994 2422.38 -47.4874 361.655
 80000 53449.9 -4440.23 -7312.21 -2176.66 715.58 -45.0152 83.479 3196.75 -65.9799 480.217
 100000 66200.5 -5516.59 -9116.59 -2721.5 890.829 -60.3882 106.36 3999.84 -80.32 596.316
 120000 79304.1 -6632.33 -10891.9 -3291.51 1072.68 -81.2701 131.271 4790.23 -89.8088 713.217
 140000 92281.9 -7726.24 -12661.1 -3869.18 1252.46 -107.833 157.596 5604.47 -106.103 834.157
 160000 105642 -8865.49 -14453.3 -4454.65 1434.64 -126.615 183.815 6412.77 -121.088 956.114
 180000 118197 -9930.47 -16084.6 -5046.56 1612.22 -162.238 211.756 7194.59 -139.743 1078.1
 200000 131232 -11055.7 -17736.8 -5654.39 1798.32 -198.845 242.837 7982.85 -158.841 1201.01
 200000 135476 -11168.6 -18947.6 -5856.08 1835.63 -232.015 244.55 8466.57 -117.537 1227.48
 400000 267615 -22471.4 -35933.6 -12117.6 3631.29 -506.785 604.227 16478.5 -371.601 2478.27
 600000 392165 -32560 -53765.3 -17912.9 5157.59 -532.27 914.179 24163.1 -540.812 3629.03
 800000 524682 -43876.2 -71490.7 -23789.5 6842.32 -542.464 1289.69 31767 -751.889 4710.62
 1e+06 656160 -55310.9 -88749.3 -29515.1 8577.71 -643.274 1661.87 39607.8 -1071.37 5836.07
 1.2e+06 775975 -65501.3 -104918 -34782.1 10113.4 -746.121 2024.61 47276.7 -1581.97 6975.05
 1.4e+06 893324 -75533.8 -121362 -39607.1 11694.4 -938.149 2338.37 55216.8 -2044.79 8056.68
 1.6e+06 1.00368e+06 -84112 -138883 -43987.8 13058.6 -1271.66 2687.07 64177.1 -2680.99 9067.73
 1.8e+06 1.10014e+06 -92350.8 -153964 -46840 14534.2 -1896.57 2966.49 73048.4 -3446.31 9867.1
 2e+06 1.19344e+06 -101025 -167979 -48968 16094.4 -2517.64 3226.98 81528 -4250.5 10559.3
 2e+06 1.14883e+06 -97287.1 -173654 -39335 16353.2 -3227.67 2278.57 87242.4 -5315.48 10184
 4e+06 2.25081e+06 -211307 -293987 -76035.3 35623.8 -8978.9 6122.46 159837 -10983.4 17459.2
 6e+06 3.15212e+06 -323480 -361972 -93897 55035.2 -12795.1 7827.72 205302 -16772.2 23285
 8e+06 4.29435e+06 -441732 -516504 -108384 72927.5 -7847.43 7684.04 251474 -13917.8 25406.1
 1e+07 5.62712e+06 -580341 -697522 -127654 90326.1 6029.03 8267.45 293954 -14926.8 30062.9
 1.2e+07 7.55543e+06 -762020 -986695 -166703 109506 29166.1 11347 355028 -13768.2 34663.9
 1.4e+07 9.2478e+06 -941508 -1.23301e+06 -173527 129624 51012.7 13153.5 404578 -15125.4 34609.2
 1.6e+07 1.11581e+07 -1.1545e+06 -1.47635e+06 -187441 154763 73097.8 15958.3 465488 -25225.3 40445.9
 1.8e+07 1.29928e+07 -1.39396e+06 -1.63697e+06 -194730 190976 78134.3 19419.1 543164 -40413.7 46592
 2e+07 1.50295e+07 -1.64353e+06 -1.85303e+06 -203228 224771 98218.2 19462.3 598606 -50126.1 54943.1
 2e+07 1.28241e+07 -1.14613e+06 -2.35863e+06 -74926.5 184463 5447.83 12012.3 1.05431e+06 -67734.4 44514.2
 4e+07 4.32275e+07 -5.03521e+06 -5.54202e+06 8291.04 670799 530976 -58118.7 1.00756e+06 -13509.8 96283.5
 6e+07 9.95837e+07 -1.12479e+07 -1.08941e+07 -1.72464e+06 1.49788e+06 929895 35093.6 1.60043e+06 393035 145942
