#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 5.7967e+09 5.79683e+09 5.79681e+09 5.79245e+09 5.78543e+09 5.78664e+09 5.78817e+09 5.79161e+09 1.017e+10
 40 1.79509e+10 1.79519e+10 1.79515e+10 1.79358e+10 1.79197e+10 1.7919e+10 1.79248e+10 1.79355e+10 3.71817e+10
 60 3.14628e+10 3.14705e+10 3.14716e+10 3.14314e+10 3.14164e+10 3.14148e+10 3.14209e+10 3.14399e+10 7.66005e+10
 80 4.4751e+10 4.47715e+10 4.47803e+10 4.46962e+10 4.46938e+10 4.46912e+10 4.46937e+10 4.47233e+10 1.25368e+11
 100 5.78071e+10 5.78384e+10 5.78682e+10 5.77138e+10 5.77328e+10 5.7728e+10 5.77248e+10 5.777e+10 1.80939e+11
 120 7.10987e+10 7.11464e+10 7.11967e+10 7.09463e+10 7.09984e+10 7.09898e+10 7.09781e+10 7.10458e+10 2.41104e+11
 140 8.5129e+10 8.52203e+10 8.52711e+10 8.49153e+10 8.50107e+10 8.49902e+10 8.49721e+10 8.5066e+10 3.04416e+11
 160 1.00118e+11 1.00291e+11 1.00315e+11 9.98686e+10 1.00007e+11 9.99712e+10 9.9949e+10 1.00066e+11 3.70023e+11
 180 1.15879e+11 1.16158e+11 1.16134e+11 1.1562e+11 1.15795e+11 1.15741e+11 1.15719e+11 1.15854e+11 4.37015e+11
 200 1.32095e+11 1.32482e+11 1.32395e+11 1.31837e+11 1.32043e+11 1.31957e+11 1.31945e+11 1.32097e+11 5.04424e+11
 200 1.32005e+11 1.3224e+11 1.32319e+11 1.31837e+11 1.32063e+11 1.32025e+11 1.31975e+11 1.3206e+11 5.04141e+11
 400 3.09407e+11 3.11008e+11 3.10823e+11 3.09344e+11 3.09886e+11 3.09461e+11 3.09563e+11 3.09903e+11 1.13735e+12
 600 5.01216e+11 5.03664e+11 5.03626e+11 5.00044e+11 5.01074e+11 4.99529e+11 5.00215e+11 5.01263e+11 1.57891e+12
 800 6.99386e+11 7.01903e+11 7.02668e+11 6.9487e+11 6.97251e+11 6.95773e+11 6.95965e+11 6.98106e+11 1.71623e+12
 1000 9.00912e+11 9.03154e+11 9.04634e+11 8.9108e+11 8.95758e+11 8.95589e+11 8.94143e+11 8.97646e+11 1.58609e+12
 1200 1.10403e+12 1.10597e+12 1.10781e+12 1.08854e+12 1.09475e+12 1.09744e+12 1.09358e+12 1.09852e+12 1.34765e+12
 1400 1.30719e+12 1.30949e+12 1.31144e+12 1.28699e+12 1.29439e+12 1.29994e+12 1.29377e+12 1.30001e+12 1.14523e+12
 1600 1.51022e+12 1.5135e+12 1.51539e+12 1.48567e+12 1.49481e+12 1.50319e+12 1.49456e+12 1.50195e+12 1.04917e+12
 1800 1.71378e+12 1.71797e+12 1.72001e+12 1.6841e+12 1.69547e+12 1.70676e+12 1.69544e+12 1.70417e+12 1.06528e+12
 2000 1.91715e+12 1.92305e+12 1.92473e+12 1.88327e+12 1.89673e+12 1.91131e+12 1.8971e+12 1.90692e+12 1.14956e+12
 2000 1.92018e+12 1.9187e+12 1.92748e+12 1.88108e+12 1.88856e+12 1.91998e+12 1.89654e+12 1.90677e+12 1.17245e+12
 4000 3.95275e+12 3.98262e+12 3.99027e+12 3.87304e+12 3.90972e+12 3.99191e+12 3.92489e+12 3.94502e+12 1.316e+12
 6000 5.99525e+12 6.03445e+12 6.04824e+12 5.89817e+12 5.93906e+12 6.04589e+12 5.96104e+12 5.98702e+12 1.39957e+12
 8000 8.05452e+12 8.06445e+12 8.13666e+12 7.92399e+12 7.93644e+12 8.1452e+12 8.00188e+12 8.03521e+12 1.5144e+12
 10000 1.01394e+13 1.0102e+13 1.02625e+13 9.96805e+12 9.96021e+12 1.02339e+13 1.00541e+13 1.00996e+13 1.59016e+12
 12000 1.22098e+13 1.20746e+13 1.23593e+13 1.20517e+13 1.20306e+13 1.23088e+13 1.21303e+13 1.2164e+13 1.66582e+12
 14000 1.42981e+13 1.40342e+13 1.44656e+13 1.41474e+13 1.41167e+13 1.43753e+13 1.42131e+13 1.42342e+13 1.75854e+12
 16000 1.63498e+13 1.59877e+13 1.65662e+13 1.61994e+13 1.62298e+13 1.64544e+13 1.62945e+13 1.62972e+13 1.85655e+12
 18000 1.84068e+13 1.79789e+13 1.86691e+13 1.82115e+13 1.83814e+13 1.84997e+13 1.83642e+13 1.83592e+13 1.93089e+12
 20000 2.04522e+13 1.99777e+13 2.0768e+13 2.02022e+13 2.0561e+13 2.0533e+13 2.04321e+13 2.0419e+13 2.01872e+12
 20000 2.08563e+13 1.95698e+13 2.06534e+13 1.97284e+13 2.00913e+13 2.10847e+13 2.03015e+13 2.03248e+13 1.97023e+12
 40000 4.19728e+13 3.92003e+13 4.0879e+13 3.90124e+13 4.15839e+13 4.07072e+13 4.04345e+13 4.05343e+13 2.79668e+12
