#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 10384.6 37.4751 64.4317 27.6064
 4000 16161.4 58.4575 95.6411 43.6172
 6000 21459.5 77.6261 123.384 58.4244
 8000 26689.5 96.5094 150.709 73.0005
 10000 31912.1 115.292 177.771 87.5545
 12000 37134.9 133.963 204.812 102.039
 14000 42401.3 152.795 232.011 116.579
 16000 47626.1 171.445 259.003 130.944
 18000 52829.4 189.998 285.676 145.243
 20000 58078.5 208.751 312.592 159.678
 20000 57887.4 208.337 312.464 159.221
 40000 110184 394.539 581.573 302.267
 60000 162416 580.188 848.455 444.742
 80000 214555 765.122 1112.81 586.284
 100000 266801 951.075 1378.55 728.341
 120000 319050 1137.42 1641.58 869.676
 140000 371255 1322.5 1907.04 1011.78
 160000 423319 1506.59 2172.97 1151.98
 180000 475684 1691.12 2437.08 1294.32
 200000 527827 1873.78 2700.45 1435.45
 200000 527771 1878.06 2709.5 1436.58
 400000 1.05223e+06 3726.27 5378.14 2860.04
 600000 1.57502e+06 5574.32 7999.12 4281.13
 800000 2.09859e+06 7434.75 10557.9 5661.39
 1e+06 2.62341e+06 9309.34 13190.4 7055.85
 1.2e+06 3.14668e+06 11174 15835.1 8453.02
 1.4e+06 3.67048e+06 13093 18477.6 9862.41
 1.6e+06 4.19348e+06 15002.6 21121.1 11244.9
 1.8e+06 4.71789e+06 16894.5 23760.2 12654.4
 2e+06 5.24453e+06 18776.8 26459.6 14046.9
 2e+06 5.24279e+06 18733.4 25473.2 13843.9
 4e+06 1.04875e+07 36862.5 51829.7 28137.7
 6e+06 1.57582e+07 53962.1 77752.3 42361.2
 8e+06 2.1003e+07 71750.1 104913 56995.1
 1e+07 2.62277e+07 90559 133474 71174
 1.2e+07 3.14098e+07 109921 163596 86055.5
 1.4e+07 3.66357e+07 129827 196760 100714
 1.6e+07 4.18079e+07 149314 232060 116270
 1.8e+07 4.69529e+07 168047 265743 132159
 2e+07 5.21114e+07 187052 299477 147621
 2e+07 5.24434e+07 182741 296334 157625
 4e+07 1.03727e+08 352165 634137 333155
 6e+07 1.5487e+08 500714 914556 508625
 8e+07 2.05421e+08 699799 1.25858e+06 697116
 1e+08 2.54115e+08 938063 1.74684e+06 846114
 1.2e+08 3.02985e+08 1.22267e+06 2.22477e+06 989374
