#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2224.16 -156.464 -220.154 -63.9905 31.6967 -4.95243 -3.41251 113.427 -2.94998 20.6679
 4000 3717.05 -263.979 -403.328 -119.479 50.3092 -7.41054 -1.98906 198.342 -4.90825 33.823
 6000 5065.31 -367.38 -582.707 -174.057 67.6521 -9.85085 -0.135742 280.518 -6.68348 46.2977
 8000 6358.39 -470.152 -761.399 -228.861 84.7494 -12.273 1.81043 362.644 -8.48236 58.7695
 10000 7631.34 -573.076 -940.706 -283.431 101.8 -14.3617 3.71495 444.067 -10.3157 71.2987
 12000 8892.32 -676.596 -1116.34 -338.058 118.919 -16.6394 5.63195 524.773 -12.2806 83.8709
 14000 10138.5 -779.739 -1292.18 -391.96 136.08 -18.8432 7.50808 605.159 -14.3294 96.4098
 16000 11396.6 -883.424 -1468.08 -446.908 153.217 -21.0424 9.52045 685.46 -16.3035 108.848
 18000 12670.4 -989.14 -1644.85 -502.583 170.584 -23.0387 11.5407 765.511 -18.2164 121.396
 20000 13919.4 -1093.31 -1820.49 -556.365 187.818 -25.0456 13.4621 845.686 -20.3899 133.95
 20000 13785.2 -1093.32 -1788.25 -547.446 188.762 -26.5947 13.0229 844.784 -24.1598 134.618
 40000 26213 -2106.31 -3576.62 -1088.47 358.915 -49.7979 31.355 1658.96 -42.4338 258.589
 60000 38303.6 -3124.16 -5277.61 -1604.02 528.668 -71.9879 49.6634 2451.35 -67.513 381.552
 80000 50619.3 -4160.19 -6972.25 -2136.36 699.803 -93.2436 70.0261 3235.76 -92.4841 504.533
 100000 62730.2 -5170.03 -8656.96 -2672.35 868.134 -117.468 89.6132 4019 -114.365 629.043
 120000 74833.8 -6194.4 -10250.1 -3237.04 1038.57 -142.89 110.793 4755.9 -129.836 753.495
 140000 86937.6 -7209.72 -11878.8 -3782.36 1207.8 -167.185 129.733 5505.7 -146.493 877.526
 160000 98872 -8199.71 -13528.9 -4319.77 1375.85 -197.061 147.859 6275.39 -160.958 999.104
 180000 110219 -9137.47 -15113.3 -4837.29 1539.08 -230.897 163.59 7039.06 -178.578 1120.16
 200000 121779 -10068 -16780.5 -5356.84 1701.58 -267.509 179.053 7818.73 -184.038 1236.33
 200000 123540 -10357.7 -16748.6 -5494.91 1731.83 -222.125 192.629 7663.67 -159.717 1238.84
 400000 238887 -20057.6 -32311.1 -10725.5 3396.09 -576.734 386.626 15201 -358.55 2428.49
 600000 363925 -30194.9 -49349.4 -16906.3 5096.41 -841.496 583.251 22680 -270.206 3689.13
 800000 482292 -40185.4 -64620.2 -22673.4 6790.38 -1196.05 801.049 29715.3 -231.131 4846.43
 1e+06 601072 -49873.8 -79249.9 -29437 8416.38 -1655.54 1117.12 36685.3 -149.149 6073.91
 1.2e+06 721458 -59697.2 -94112.5 -36337.8 10029.8 -2009.32 1442.33 43457.3 -42.6353 7300.54
 1.4e+06 840962 -69055.2 -109404 -43310.3 11603 -2396.8 1709.75 50283.5 171.557 8568.46
 1.6e+06 953155 -78183.8 -122441 -50318.8 13206.2 -2986.49 2004.91 56681.6 412.296 9799.39
 1.8e+06 1.05716e+06 -85738.9 -136118 -57034.5 14626.9 -3573.84 2162.88 62922.6 891.888 10993.4
 2e+06 1.16662e+06 -94381.5 -150464 -63156.8 16195.5 -4033.43 2295.69 69200.1 1326.86 12122.2
 2e+06 1.11582e+06 -86416.6 -154104 -59475.3 14570.6 -2538.13 1715.37 69527.5 -96.2425 12853.5
 4e+06 2.13039e+06 -166012 -294589 -113013 29572.9 -6655.83 1961.76 132013 3484.13 24212.2
 6e+06 2.79224e+06 -213366 -408960 -138745 40016.4 -10436.1 539.223 190045 1983.59 34053.9
 8e+06 3.42704e+06 -274268 -486024 -160866 50870.7 -7241.56 -2304.81 218655 -1289.06 46248.8
 1e+07 4.23557e+06 -340489 -612971 -188703 60509.2 -1034.26 -3808.19 259364 -3771.21 57381.3
 1.2e+07 5.21488e+06 -413465 -776496 -227247 68190.7 8676.71 -2901.15 311490 -9228.87 69560.5
 1.4e+07 6.17104e+06 -453305 -999485 -273205 70856.2 20336.1 -4138.34 372797 -8022.66 82796.6
 1.6e+07 7.11418e+06 -492130 -1.23752e+06 -307493 74744.9 32337.1 -7687.24 435706 -4649.94 95146.9
 1.8e+07 7.71573e+06 -516911 -1.41067e+06 -315298 79320.6 41503.2 -14138.4 483573 -4324.15 106936
 2e+07 8.51214e+06 -559521 -1.59067e+06 -342527 87873 49041.9 -21024.1 534668 -1457.06 122765
 2e+07 1.22011e+07 -881676 -2.02851e+06 -537782 118061 54914 14461 647292 32153.7 97048.7
 4e+07 1.5184e+07 -914541 -2.68701e+06 -834548 163516 15662.4 -23337.6 1.05087e+06 6757.16 248332
 6e+07 1.56029e+07 -1.30388e+06 -2.7176e+06 -349546 348032 -47582.3 -163789 1.34142e+06 -67298.7 385333
 8e+07 8.00021e+06 -1.01091e+06 -2.25129e+06 904093 530364 -289544 -368054 1.82344e+06 -128609 412166
 1e+08 2.52181e+07 -3.39976e+06 -4.82154e+06 1.71561e+06 816927 122740 -450204 2.02317e+06 -215000 384208
 1.2e+08 3.02763e+07 -5.97135e+06 -464842 1.59898e+06 1.47337e+06 -424753 -444700 1.49146e+06 -168925 376538
