#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 10322.2 40.7842 58.7672 22.7433
 4000 16097.7 62.0171 89.4017 38.2975
 6000 21278 80.6885 116.4 52.858
 8000 26557.1 99.8843 144.003 67.5566
 10000 31789.7 118.715 171.196 82.1244
 12000 37052.2 137.661 198.749 96.7293
 14000 42319.2 156.6 226.319 111.279
 16000 47472.3 174.884 253.185 125.612
 18000 52727.3 193.581 280.564 140.091
 20000 57962.7 212.191 307.697 154.564
 20000 57989.7 212.649 306.946 154.433
 40000 110271 397.346 576.323 297.964
 60000 162532 581.905 849.329 441.528
 80000 214768 767.114 1120.89 584.205
 100000 266917 953.427 1391.84 727.323
 120000 319261 1140.18 1664.33 870.726
 140000 371485 1326.16 1935.17 1013.55
 160000 423692 1512.36 2208.67 1157
 180000 475734 1696.72 2481.68 1299.87
 200000 527915 1881.95 2753.57 1443.04
 200000 527627 1881.91 2744.66 1445.18
 400000 1.04888e+06 3724.78 5515.74 2864.82
 600000 1.56934e+06 5538.47 8276.36 4274.3
 800000 2.09109e+06 7387.24 11048.5 5671.63
 1e+06 2.61385e+06 9223.19 13814.9 7065.94
 1.2e+06 3.13539e+06 11060 16534.7 8433.62
 1.4e+06 3.65584e+06 12889.6 19290.9 9788.02
 1.6e+06 4.17714e+06 14740.8 21974.1 11104.3
 1.8e+06 4.69971e+06 16584.6 24730.3 12392.5
 2e+06 5.22271e+06 18404.4 27434 13675.1
 2e+06 5.22583e+06 18538.6 26443.5 13497
 4e+06 1.04669e+07 36666 53857.1 25794.3
 6e+06 1.571e+07 54534.8 80061.2 38023.9
 8e+06 2.0975e+07 72983 107740 50881.3
 1e+07 2.61865e+07 93248.8 134477 64136
 1.2e+07 3.13853e+07 114268 160410 78348
 1.4e+07 3.66465e+07 134914 184786 91776.4
 1.6e+07 4.19141e+07 156794 210304 105224
 1.8e+07 4.72009e+07 177557 232425 118641
 2e+07 5.24735e+07 198767 254642 132238
 2e+07 5.20283e+07 204164 258630 135647
 4e+07 1.03164e+08 454335 511288 257889
 6e+07 1.53531e+08 669411 715585 358613
 8e+07 2.03752e+08 897406 1.11191e+06 461874
 1e+08 2.5275e+08 1.15556e+06 1.39284e+06 522602
 1.2e+08 3.03021e+08 1.72067e+06 1.78621e+06 540337
