# Time-averaged data for fix TEAve
# TimeStep v_TotEn
30100000 -14039.9
30200000 -14033.5
30300000 -14041
30400000 -14034.8
30500000 -14033.7
30600000 -14027.9
30700000 -14034.2
30800000 -14038.3
30900000 -14030.3
31000000 -14034
31100000 -14034.3
31200000 -14037.8
31300000 -14034.4
31400000 -14041.3
31500000 -14036.8
31600000 -14039.1
31700000 -14035.5
31800000 -14032.8
31900000 -14036.1
32000000 -14035.6
32100000 -14042
32200000 -14040.4
32300000 -14037.8
32400000 -14042.5
32500000 -14034.7
32600000 -14036.7
32700000 -14022.6
32800000 -14029.3
32900000 -14033
33000000 -14040.6
33100000 -14030.2
33200000 -14027.9
33300000 -14032.2
33400000 -14029.1
33500000 -14035.7
33600000 -14033.3
33700000 -14025.7
33800000 -14034.1
33900000 -14036.3
34000000 -14034.1
34100000 -14037.2
34200000 -14035.8
34300000 -14029.6
34400000 -14038.3
34500000 -14029.9
34600000 -14031.9
34700000 -14031.1
34800000 -14027.3
34900000 -14033.1
35000000 -14036.4
35100000 -14034.1
35200000 -14035.4
35300000 -14033.5
35400000 -14036.1
35500000 -14031.1
35600000 -14032
35700000 -14038.3
35800000 -14029.6
35900000 -14029.6
36000000 -14036
36100000 -14032.7
36200000 -14039.4
36300000 -14042.2
36400000 -14037.1
36500000 -14033.7
36600000 -14030.6
36700000 -14027.7
36800000 -14036
36900000 -14034.6
37000000 -14038.8
37100000 -14035.8
37200000 -14039.9
37300000 -14030
37400000 -14032.4
37500000 -14028.9
37600000 -14024.2
37700000 -14033.8
37800000 -14039.3
37900000 -14042.6
38000000 -14033.2
38100000 -14034.3
38200000 -14029.3
38300000 -14033.4
38400000 -14028
38500000 -14033.3
38600000 -14039
38700000 -14035.7
38800000 -14031.6
38900000 -14039
39000000 -14032.2
39100000 -14040.8
39200000 -14034.5
39300000 -14036.9
39400000 -14033.3
39500000 -14032.9
39600000 -14038.4
39700000 -14034.7
39800000 -14040.1
39900000 -14033.8
40000000 -14025.5
40100000 -14032.3
40200000 -14029.6
40300000 -14039.7
40400000 -14032.4
40500000 -14031.4
40600000 -14029.2
40700000 -14033
40800000 -14027.2
40900000 -14035.2
41000000 -14029.1
41100000 -14033.5
41200000 -14035.7
41300000 -14036.7
41400000 -14032.9
41500000 -14039.3
41600000 -14031
41700000 -14038.3
41800000 -14032.7
41900000 -14032.8
42000000 -14036.7
42100000 -14024.8
42200000 -14034.5
42300000 -14029.7
42400000 -14036.6
42500000 -14030.4
42600000 -14032.8
42700000 -14033.2
42800000 -14032.9
42900000 -14023.9
43000000 -14035
43100000 -14033.8
43200000 -14039.3
43300000 -14035.1
43400000 -14030.5
43500000 -14038.6
43600000 -14035.7
43700000 -14038.3
43800000 -14031.3
43900000 -14032.5
44000000 -14037.6
44100000 -14031
44200000 -14043.8
44300000 -14026.3
44400000 -14028.6
44500000 -14040.3
44600000 -14029.4
44700000 -14039.1
44800000 -14032.6
44900000 -14038.5
45000000 -14032.6
45100000 -14025.1
45200000 -14034.8
45300000 -14033.6
45400000 -14032.9
45500000 -14038.9
45600000 -14033.2
45700000 -14034.2
45800000 -14035
45900000 -14037.4
46000000 -14029.7
46100000 -14034.7
46200000 -14030.6
46300000 -14041.9
46400000 -14038
46500000 -14036.2
46600000 -14037.8
46700000 -14045.3
46800000 -14032
46900000 -14026.8
47000000 -14032.2
47100000 -14033.4
47200000 -14038
47300000 -14041.6
47400000 -14035.8
47500000 -14041.3
47600000 -14029.4
47700000 -14033.6
47800000 -14039.1
47900000 -14033.2
48000000 -14031
48100000 -14037.1
48200000 -14041.1
48300000 -14040.3
48400000 -14031.7
48500000 -14033.1
48600000 -14033
48700000 -14030.2
48800000 -14035.3
48900000 -14032.6
49000000 -14023.9
49100000 -14036.6
49200000 -14029.1
49300000 -14032.1
49400000 -14034.2
49500000 -14035.4
49600000 -14032.4
49700000 -14037.2
49800000 -14032.3
49900000 -14026.7
50000000 -14030.6
